Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Id,Gene_Db_Id,Gene_Type,Genomic_Start_Position
1,0,12909,143,143,0,10807
0,0,6110,101,100,0,3849
0,0,457048,91,90,1,454787
0,0,478833,231,231,0,476677
0,0,16869,152,152,0,14662
0,0,552888,219,219,1,550654
0,0,835809,98,97,0,833647
1,0,3770,50,49,0,732
1,0,828777,110,109,1,827212
1,0,9061,55,54,1,6806
0,0,2776,155,155,0,509
1,0,76342,180,180,1,73994
0,0,1167843,145,145,1,1165567
1,0,3747,25,24,0,1363
0,1,692573,70,69,0,690150
1,0,27924,8,7,0,26149
0,0,754574,176,176,0,752403
0,0,1157625,117,117,1,1155433
1,0,12933,114,114,1,10912
1,0,96434,222,222,1,94266
1,0,45480,198,198,1,43330
0,0,604953,81,80,0,602554
0,0,5633,14,13,1,4134
0,0,763015,84,83,1,760970
1,0,4215,72,71,0,1969
0,0,480713,38,37,0,478230
1,0,114439,10,9,1,112868
0,0,14957,64,63,0,12933
0,0,356577,108,107,1,354673
0,0,45278,102,101,0,42840
1,0,50723,121,121,1,48507
0,0,562476,174,174,1,560179
1,0,56175,86,85,0,53914
1,0,1621,65,64,1,2
0,0,1009290,45,44,0,1006993
1,0,11646,124,124,0,9286
0,0,487264,96,95,0,485114
1,0,47037,178,178,0,44773
0,0,371476,173,173,0,369323
0,0,477337,12,11,0,476408
1,0,828692,196,196,0,827244
1,0,53359,116,116,1,52601
0,0,1062,4,3,0,1
1,0,441740,94,93,1,439797
1,0,81519,13,12,1,79698
1,0,65232,218,218,0,62692
0,0,707127,48,47,0,704929
1,0,76316,30,29,0,74154
0,0,777368,224,224,1,775140
1,0,3230,128,128,0,921
1,0,2056,49,48,0,2
0,0,4947,46,45,0,2638
1,0,372955,230,230,1,370655
0,0,2326647,18,17,0,2325364
1,0,11060,142,142,1,8994
1,0,4184,235,235,0,1923
1,0,59089,41,40,0,56687
1,0,113111,168,168,1,111105
1,0,79561,118,118,0,77369
0,0,1451239,129,129,1,1449053
0,0,805063,181,181,1,803291
1,0,170211,123,123,1,168412
1,0,4516,53,52,0,3179
0,0,611448,112,112,0,610807
1,0,5046,160,160,0,2860
0,0,1375691,120,120,1,1373202
1,0,4025,166,166,0,1761
1,0,2650,26,25,0,386
0,0,689616,83,82,1,687517
1,0,335828,156,156,1,333633
0,0,1204656,199,199,1,1202680
1,0,7012,7,6,1,5501
1,0,2096,146,146,1,747
0,0,1138,6,5,0,2
0,0,1116077,153,153,1,1113876
0,0,1189025,190,190,1,1186812
0,0,496899,103,102,1,495853
1,0,15153,208,208,0,12949
0,0,1027491,77,76,0,1024990
1,0,20107,69,68,0,17801
0,0,799420,225,225,1,796943
1,0,391932,9,8,0,389746
0,0,3932,163,163,0,1401
0,0,914046,63,62,0,913312
0,0,244454,159,159,0,243822
0,0,394758,21,20,0,393970
0,0,574603,171,171,0,572120
1,0,4883,42,41,1,2628
0,0,252998,132,132,1,250869
0,0,2976,165,165,0,781
1,0,92964,95,94,1,90784
1,0,7454,52,51,0,5259
1,0,654471,76,75,1,652312
0,0,2907,36,35,0,667
1,0,4593,2,1,0,2230
1,0,1705791,90,89,0,1703299
0,0,598394,170,170,1,596190
0,0,2152,11,10,0,38
0,0,507624,193,193,0,505363
0,0,459000,175,175,1,456733
0,0,123424,232,232,1,121439
1,0,53099,223,223,0,50910
1,0,3147,43,42,0,535
0,0,7548,54,53,0,5362
0,0,11573,111,110,0,9210
1,0,81116,5,4,0,80040
0,0,703891,73,72,0,701787
1,0,351915,202,202,0,350539
1,0,6111,24,23,0,4843
1,0,299939,227,227,1,297915
1,0,115059,161,161,0,112891
1,0,1036,16,15,0,2
1,0,28523,82,81,0,26538
0,0,547726,135,135,1,545198
0,0,19404,201,201,0,17227
0,0,1039862,78,77,0,1037046
1,0,2191081,89,88,0,2188577
0,0,52834,185,185,1,50840
1,0,13918,122,122,1,11750
1,0,18062,134,134,1,16122
1,0,62927,150,150,1,60651
1,0,34512,92,91,1,32440
0,0,5683,56,55,0,3845
0,0,1835456,207,207,1,1833030
0,0,711734,32,31,0,710958
0,0,482055,113,113,0,479794
1,0,89110,209,209,1,86993
1,0,71096,139,139,0,68619
1,0,7735,187,187,0,5258
0,0,2352753,131,131,0,2351474
0,0,5117,217,217,1,2943
1,0,120751,188,188,0,119534
0,0,9642,212,212,0,7252
0,0,28514,0,111,0,26043
1,0,1699,87,86,0,101
0,0,3774,19,18,1,1570
0,0,468090,40,39,1,465892
0,0,811009,211,211,1,808763
0,0,619207,205,205,1,617003
0,0,369971,60,59,0,367785
1,0,10067,29,28,1,8418
0,0,1108,162,162,1,1
0,0,3468,71,70,0,1171
0,0,813661,183,183,1,811541
0,0,560608,182,182,0,558551
0,0,961848,154,154,1,959689
0,0,915393,62,61,0,914149
1,0,6868,186,186,0,4559
1,0,50074,191,191,0,47909
0,0,487691,31,30,0,485538
1,0,17178,109,108,1,14941
0,0,669010,133,133,0,666635
1,0,2335,172,172,0,101
1,0,798,167,167,0,1
0,0,1159648,144,144,0,1157084
1,0,140815,228,228,0,140096
1,0,3637,164,164,0,1680
1,0,5471,138,138,0,3207
1,0,5333,22,21,0,3093
1,0,8253,104,103,1,6340
0,0,477141,200,200,0,476586
0,0,5583,100,99,0,3223
1,0,20192,204,204,1,18165
0,0,636865,80,79,1,634829
0,0,180595,119,119,0,178343
0,0,827,15,14,0,3
1,0,122003,229,229,1,119982
1,0,16433,195,195,0,14709
1,0,35613,197,197,1,33460
0,0,16106,74,73,1,14127
0,0,194620,125,125,0,192110
1,0,85349,66,65,0,84366
1,0,303473,216,216,0,301437
1,0,49973,27,26,0,48072
0,0,7225,107,106,0,4853
1,0,3201,59,58,0,2560
1,0,17152,137,137,0,14774
1,0,43304,158,158,0,40902
1,0,52112,105,104,0,49749
1,0,316113,226,226,0,313945
1,0,3704,23,22,0,1446
1,0,4679,115,115,0,2307
1,0,60946,147,147,1,58898
0,0,1287,20,19,1,1
1,0,3133,51,50,0,824
0,0,23314,236,236,0,21104
0,0,763294,177,177,0,761027
0,0,411395,37,36,1,410220
1,0,51771,234,234,1,49540
0,0,469090,34,33,1,466913
0,0,909502,75,74,0,907241
1,0,68193,148,148,0,66007
1,0,315631,215,215,0,313523
0,0,480279,206,206,1,478171
0,0,609383,79,78,1,607077
0,0,377705,99,98,0,375522
