Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,ProCyclingStatsCyclistId,Nationality,Birthplace,UciRiderId,Languages,WeightKg,Birthdate,SportsTeam,FirstName,GoogleKnowledgeGraphId,CyclingArchivesCyclistId,FirstCyclingRiderId,HeightCm,CyclingDiscipline
0,7,27794.0,12923.0,8,140821,7,2,58528.0,4,65.0,1,9,9,10,36053.0,2961,176.0,2
0,5,65914.0,28613.0,5,194407,1,3,107712.0,3,,11,0,6,4,111061.0,45815,,2
0,8,84444.0,,9,209865,9,5,266691.0,1,,10,2,11,7,140707.0,51252,182.0,2
0,8,72506.0,26775.0,9,207051,2,12,,3,56.0,8,3,5,6,132960.0,68868,164.0,2
0,6,65227.0,26509.0,6,194909,8,1,111440.0,3,57.0,9,1,7,2,99609.0,46163,173.0,2
0,3,38255.0,16936.0,7,133702,4,0,58398.0,2,,2,11,8,10,52226.0,6227,184.0,2
0,8,,,9,180953,1,10,,3,,6,10,12,10,,38318,,0
0,1,92428.0,32221.0,0,238711,1,9,490235.0,3,,13,7,0,8,130986.0,113439,182.0,2
1,4,20237.0,6686.0,1,137172,0,6,57762.0,0,70.0,0,4,1,10,35734.0,1867,182.0,2
0,9,66570.0,27708.0,10,202331,9,8,109775.0,0,58.0,12,12,12,1,119805.0,65025,170.0,1
0,10,49495.0,23426.0,2,177246,5,4,87061.0,3,,5,8,2,0,88470.0,37748,181.0,2
0,0,,23403.0,4,182517,9,7,99665.0,0,58.0,4,12,4,3,95077.0,27295,173.0,2
0,8,,28143.0,9,215844,6,13,608813.0,3,,7,5,10,5,122627.0,91151,,0
0,2,52116.0,19994.0,3,132360,3,11,75170.0,1,55.0,3,6,3,9,67513.0,10990,173.0,2
