Gender,PosthumousTitle,GoogleKnowledgeGraphId,MotherName,MiddleName,DeathDate,SiblingName,FullName,BirthDate
0,60,85,0,0,25,0,8,67
0,62,65,17,1,33,0,66,86
1,2,27,26,1,70,0,54,60
1,58,36,27,1,24,0,33,28
0,37,85,17,0,83,0,7,69
0,47,50,15,0,80,0,69,30
0,47,64,17,0,84,0,59,76
1,65,10,2,0,81,0,46,40
1,55,48,9,1,15,0,16,68
1,47,13,15,0,85,0,1,0
1,26,33,3,1,16,2,26,55
1,4,38,0,1,63,0,56,74
1,14,14,26,1,54,0,20,46
1,11,30,15,1,43,0,32,53
1,28,2,13,0,41,0,42,59
0,47,49,10,0,79,0,60,66
0,35,81,7,0,77,0,77,38
0,67,72,14,0,2,0,82,6
0,31,52,15,0,31,0,74,85
1,17,25,23,1,60,0,45,16
1,75,6,6,1,21,0,41,12
1,70,18,10,0,76,0,15,81
0,59,59,1,0,10,0,83,17
1,73,19,15,1,52,0,27,80
0,43,74,9,0,45,0,81,42
0,32,83,6,1,62,0,14,9
1,19,34,9,1,39,0,51,50
0,52,45,15,0,9,0,62,19
0,56,58,25,0,32,0,63,43
1,69,32,9,1,13,0,19,47
0,0,24,14,0,0,0,58,4
0,30,55,17,0,42,0,12,79
0,44,67,9,0,19,0,80,64
1,25,4,1,1,11,0,48,39
1,1,84,22,1,38,1,47,23
0,47,42,20,0,7,0,4,51
1,13,8,3,1,48,0,36,48
1,47,37,18,1,78,0,44,63
0,47,53,15,0,79,0,10,71
1,9,20,11,1,46,0,21,37
1,66,77,4,1,72,1,43,14
0,27,1,5,0,4,0,68,7
1,74,21,22,1,44,0,31,2
0,24,44,4,0,6,0,73,32
0,20,80,7,0,65,0,85,29
0,61,39,21,0,28,0,84,27
0,72,43,15,0,27,0,65,57
0,41,51,1,0,67,0,9,11
1,78,17,10,1,66,0,25,44
1,49,26,15,1,20,0,52,21
0,79,63,10,0,75,0,76,41
1,47,7,15,1,85,0,22,35
0,38,41,15,0,74,0,75,84
1,3,29,15,1,53,0,38,70
0,40,46,11,0,73,0,87,18
0,36,85,24,0,55,0,5,24
1,16,28,12,1,71,0,49,45
1,6,23,8,1,69,0,55,62
1,47,31,17,1,17,0,34,83
0,54,69,17,0,13,0,61,58
1,22,11,13,1,36,0,35,52
0,39,62,13,0,57,0,67,67
1,8,12,9,1,47,0,37,78
0,48,71,5,0,37,0,86,20
1,15,9,10,1,59,0,17,77
1,77,76,8,1,35,0,30,56
0,71,56,13,0,26,0,64,72
1,50,15,14,1,1,0,24,3
1,10,5,14,1,68,0,53,61
0,45,70,25,0,22,0,6,54
1,64,78,7,1,40,0,40,13
1,12,35,15,1,51,0,28,31
1,21,16,2,1,5,0,50,22
1,18,79,2,1,12,1,16,15
1,29,3,10,1,29,0,29,36
0,46,40,3,0,18,0,70,32
0,57,73,21,0,23,0,2,34
0,42,85,17,0,50,0,71,65
0,33,66,0,0,82,0,78,82
0,47,54,8,0,64,0,72,33
0,34,47,26,1,61,0,13,49
1,7,0,11,1,49,0,39,8
1,5,75,26,0,58,0,23,75
0,53,61,14,1,34,0,11,5
0,51,57,19,0,30,0,79,10
1,68,82,16,1,56,0,57,1
0,63,68,9,0,14,0,0,73
1,76,22,11,1,8,0,18,26
0,23,60,26,0,3,0,3,25
