TransportNetworkType,TrafficSignImage,CommonsCategory,FreebaseId,AdministrativeEntity,TerminusLocation
0,50,44,58,11,23
0,15,8,30,17,31
0,30,24,54,19,31
1,1,63,58,29,31
0,45,39,22,12,33
0,28,22,53,16,31
1,1,61,58,35,42
3,66,63,19,29,31
1,0,58,58,13,14
0,19,12,13,28,21
4,65,72,58,33,32
1,5,62,8,21,31
0,17,10,16,19,36
0,57,52,58,21,39
3,67,73,6,37,4
0,34,28,46,21,38
0,41,35,55,24,7
0,24,17,34,34,1
0,53,48,5,22,43
0,11,4,58,32,12
0,23,16,39,30,16
0,6,19,18,17,31
0,32,26,45,36,19
3,68,75,31,36,28
0,16,9,48,17,31
0,8,1,33,18,13
1,0,57,58,10,6
0,14,7,17,17,31
0,55,50,51,15,18
0,36,30,40,7,31
0,31,25,25,17,34
0,13,6,49,9,17
3,65,71,1,31,3
0,56,51,27,22,8
0,27,21,10,17,31
3,61,66,14,17,21
0,7,0,58,25,43
3,60,65,15,2,31
3,62,67,23,7,43
0,25,18,35,3,9
0,54,49,58,11,23
0,44,38,12,0,20
3,58,74,58,36,10
0,42,36,42,24,30
0,37,31,41,21,43
1,3,54,3,6,31
0,33,27,37,21,40
1,4,60,7,33,32
0,52,47,47,20,31
1,0,59,58,13,26
0,43,37,58,13,27
0,29,23,52,15,2
0,47,41,56,33,29
0,35,29,11,32,24
2,58,77,58,0,25
0,46,40,43,1,32
1,2,53,0,30,41
0,20,13,57,17,31
1,0,56,58,27,5
0,48,42,21,36,11
3,59,64,26,17,43
0,22,15,58,30,22
0,26,20,36,8,31
0,18,11,50,23,31
3,63,68,4,31,31
0,40,34,38,4,44
0,10,3,9,0,25
3,64,70,2,29,31
0,12,5,29,17,31
3,63,69,58,33,32
0,58,45,58,11,0
3,69,76,28,32,32
0,21,14,58,14,35
0,51,46,58,32,24
0,9,2,32,18,15
0,49,43,20,26,37
1,1,63,58,29,31
0,38,32,24,22,43
1,58,55,58,33,32
0,39,33,44,5,43
