GENDER,POSTHUMOUS_TITLE,GIVEN_NAME,GOOGLE_KNOWLEDGE_GRAPH_ID,MOTHER_NAME,MIDDLE_NAME,DEATH_DATE,SIBLING_NAME,FAMILY_NAME,FULL_NAME,BIRTH_DATE
1,75,2,17,17,1,7,0,0,29,31
0,60,4,64,17,1,36,0,0,66,86
1,3,2,31,15,1,53,0,0,36,70
1,56,2,37,27,1,25,0,0,31,28
0,37,3,85,17,0,83,0,1,7,69
0,47,3,50,15,0,80,0,1,69,30
0,47,3,63,17,0,84,0,1,59,76
1,63,3,10,2,0,81,0,1,45,41
1,53,2,48,9,1,16,0,0,15,68
1,47,3,13,15,0,85,0,1,1,0
1,24,2,34,3,1,17,2,0,25,55
1,4,2,39,0,1,64,0,0,56,74
1,70,2,22,15,1,34,0,0,39,46
1,78,2,76,8,1,37,0,0,28,56
1,26,3,2,13,0,43,0,1,41,59
0,47,3,49,10,0,79,0,1,60,66
0,35,3,81,7,0,77,0,1,77,39
0,65,3,71,14,0,2,0,1,82,5
0,31,3,73,17,1,56,0,0,61,13
1,15,2,27,23,1,61,0,0,44,16
1,74,2,6,6,1,22,0,0,40,11
1,68,3,18,10,0,76,0,1,14,81
0,57,3,59,1,0,11,0,1,83,17
1,72,2,19,15,1,52,0,0,26,80
0,43,3,74,9,0,46,0,1,81,43
0,32,6,83,6,1,63,0,0,13,8
1,17,2,35,9,1,41,0,0,50,51
0,58,3,85,0,0,26,0,1,8,67
0,54,3,58,25,0,35,0,1,63,44
1,67,2,33,9,1,14,0,0,18,48
0,0,3,26,14,0,0,0,1,58,4
0,29,3,55,17,0,44,0,1,11,79
0,44,3,66,9,0,20,0,1,80,64
1,23,2,4,1,1,12,0,0,47,40
1,1,2,84,22,1,40,1,0,46,23
0,47,3,43,20,0,8,0,1,4,52
1,11,2,8,3,1,49,0,0,34,49
1,47,2,38,18,1,78,0,0,43,63
0,47,3,53,15,0,79,0,1,10,71
1,9,2,20,11,1,47,0,0,20,37
1,64,2,77,4,1,72,1,0,42,14
0,25,3,1,5,0,4,0,1,68,6
1,73,2,21,22,1,45,0,0,30,2
0,22,3,45,4,0,6,0,1,73,32
0,18,3,80,7,0,66,0,1,85,29
0,59,3,40,21,0,29,0,1,84,27
0,71,3,44,15,0,28,0,1,65,57
0,41,3,51,1,0,67,0,1,9,10
1,76,2,25,5,1,31,0,0,24,38
1,49,2,28,15,1,21,0,0,51,21
0,79,3,62,10,0,75,0,1,76,42
1,47,2,7,15,1,85,0,0,21,35
0,38,3,42,15,0,74,0,1,75,84
1,5,3,75,26,0,59,0,1,22,75
0,40,3,46,11,0,73,0,1,87,18
0,36,3,85,24,0,55,0,1,5,24
1,14,2,30,12,1,71,0,0,48,45
1,20,2,11,13,1,38,0,0,33,53
1,47,2,32,17,1,18,0,0,32,83
0,52,3,68,17,0,14,0,1,62,58
1,12,2,14,26,1,54,0,0,19,47
0,39,3,61,13,0,58,0,1,67,67
1,8,2,12,9,1,48,0,0,35,78
0,48,3,70,5,0,39,0,1,86,19
1,6,2,24,8,1,69,0,0,55,62
1,2,2,29,26,1,70,0,0,53,60
0,69,3,56,13,0,27,0,1,64,72
1,50,2,15,14,1,1,0,0,23,3
1,10,2,5,14,1,68,0,0,52,61
0,45,3,69,25,0,23,0,1,6,54
1,62,2,78,7,1,42,0,0,38,12
1,77,0,23,11,1,9,0,0,17,26
1,19,2,16,2,1,5,0,0,49,22
1,16,2,79,2,1,13,1,0,15,15
1,27,2,3,10,1,30,0,0,27,36
0,46,3,41,3,0,19,0,1,70,32
0,55,3,72,21,0,24,0,1,2,34
0,42,3,85,17,0,51,0,1,71,65
0,33,3,65,0,0,82,0,1,78,82
0,47,3,54,8,0,65,0,1,72,33
0,34,1,47,26,1,62,0,0,12,50
1,7,2,0,11,1,50,0,0,37,7
1,13,2,9,10,1,60,0,0,16,77
0,30,3,52,15,0,33,0,1,74,85
0,51,3,57,19,0,32,0,1,79,9
1,66,5,82,16,1,57,0,0,57,1
0,61,3,67,9,0,15,0,1,0,73
1,28,3,36,15,0,10,0,1,54,20
0,21,3,60,26,0,3,0,1,3,25
