Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,CyclistName,Biography,Nationality,Birthplace,UciRiderId,Languages,WeightKg,Birthdate,OlympediaPeopleId,FirstName,GoogleKnowledgeGraphId,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,HeightCm,CyclingDiscipline
0,9,61536.0,23427.0,10,10153.0,177662,12,9,5,18,97741,2,65.0,13,,9,12,95079,27289,4,181.0,1
0,3,61640.0,21812.0,4,10093.0,170183,4,11,6,5,97091,3,58.0,9,144171.0,3,0,91127,20384,5,176.0,1
0,16,12832.0,7751.0,17,75813.0,140343,18,6,7,17,862522,4,65.0,1,135250.0,17,13,25301,929,11,183.0,1
0,12,,27818.0,8,,202644,10,10,5,2,109776,2,70.0,17,,11,8,123107,65437,7,185.0,0
1,0,49682.0,17893.0,14,39580.0,134456,15,2,10,4,553301,0,58.0,5,143135.0,14,13,65130,6242,10,172.0,2
0,15,49154.0,16941.0,2,300070.0,140071,2,13,2,3,75873,6,54.0,3,133264.0,1,13,39969,3213,11,164.0,0
0,7,51602.0,20770.0,9,,138672,11,5,7,16,86539,4,60.0,8,,8,1,81864,18564,11,178.0,1
0,1,69634.0,26526.0,15,5000.0,194619,16,14,8,9,149727,5,66.0,16,146565.0,15,4,115790,45992,6,176.0,0
0,6,19654.0,5165.0,3,44426.0,140889,3,4,2,8,32744,6,55.0,0,126069.0,2,13,17455,900,11,166.0,0
0,14,47214.0,16722.0,16,34792.0,140674,17,13,1,14,64531,4,71.0,4,132670.0,16,13,52973,6228,12,183.0,0
0,17,86654.0,29568.0,7,,235390,8,0,0,15,148689,4,,11,,10,7,154976,88703,7,184.0,0
0,8,69878.0,26378.0,6,,206876,7,3,2,12,162777,4,,14,,6,3,118440,61639,2,168.0,0
0,11,83295.0,28377.0,12,84000.0,212377,13,1,1,0,587366,4,62.0,18,141007.0,12,6,141854,84019,7,171.0,1
0,10,,,11,,222319,9,15,9,1,111531,6,,15,,7,9,145129,63610,8,,0
0,13,57472.0,21342.0,13,317302.0,178184,14,7,3,7,91656,4,62.0,6,142266.0,13,10,66785,23097,9,170.0,1
0,4,52116.0,19994.0,5,21760.0,132360,6,8,4,11,75170,1,55.0,7,142859.0,5,11,67513,10990,3,173.0,0
0,2,,23308.0,0,3693.0,181289,0,3,2,13,101693,6,,10,,11,2,95963,34755,1,,1
0,10,,27134.0,11,,187029,5,15,9,10,91106,6,,12,,4,5,107615,37392,7,,0
0,5,52495.0,19900.0,1,8437.0,141005,1,12,6,6,58947,3,65.0,2,134608.0,0,13,57565,14122,0,178.0,1
