GENDER,SIBLING_NAME,FAMILY_SURNAME,BIRTH_DATE,FIRST_NAME,DEATH_DATE,GOOGLE_KNOWLEDGE_GRAPH_ID,MIDDLE_NAME,MOTHER_NAME,POSTHUMOUS_TITLE
0,0,1,68,4,25,85,0,0,61
0,0,0,86,6,34,65,1,16,63
1,0,0,59,3,72,29,1,25,2
1,0,0,27,3,24,36,1,26,59
0,0,1,70,4,84,85,0,16,39
0,0,1,29,4,81,50,0,14,49
0,0,1,77,4,85,64,0,16,49
1,0,1,39,4,82,11,0,2,66
1,0,0,69,3,17,48,1,9,56
1,0,0,34,3,86,7,1,14,49
1,2,0,54,3,18,33,1,3,27
1,0,0,75,3,65,38,1,0,4
1,0,0,45,3,54,14,1,25,15
1,0,0,52,3,43,31,1,14,12
1,0,1,58,4,41,2,0,12,29
0,0,1,67,4,80,49,0,10,49
0,0,1,37,4,78,81,0,7,37
0,0,1,4,4,1,72,0,13,68
0,0,1,85,4,32,52,0,14,33
1,0,0,43,3,29,21,1,13,76
1,0,0,7,5,55,17,1,14,9
1,0,1,82,4,77,18,0,10,71
0,0,1,15,4,11,59,0,1,60
1,0,0,81,3,52,19,1,14,74
0,0,1,41,4,45,74,0,9,45
0,0,0,8,8,64,83,1,6,34
1,0,0,63,3,61,8,1,14,80
0,0,0,17,4,9,45,0,14,53
0,0,1,42,4,33,58,0,24,57
1,0,0,46,3,15,32,1,9,70
0,0,1,2,4,0,26,0,13,0
0,0,1,80,4,42,55,0,16,32
0,0,1,65,4,20,67,0,9,46
1,0,0,38,3,13,4,1,1,26
1,1,0,22,3,39,84,1,21,1
0,0,1,50,4,7,42,0,19,49
1,0,0,20,3,21,28,1,14,51
1,0,0,64,3,79,37,1,17,49
0,0,1,72,4,80,53,0,14,49
1,0,0,36,3,46,20,1,11,10
1,1,0,12,3,73,77,1,4,67
0,0,1,5,4,3,1,0,5,28
1,0,0,14,3,62,27,1,22,17
0,0,1,31,4,5,44,0,4,24
0,0,1,28,4,67,80,0,7,19
0,0,1,26,4,28,39,0,20,62
0,0,1,56,4,27,43,0,14,73
0,0,1,10,4,69,51,0,1,43
1,0,0,44,3,68,16,1,10,79
1,0,1,19,4,10,34,0,14,31
0,0,1,40,4,76,63,0,10,81
1,0,0,62,3,6,6,1,3,25
0,0,1,84,4,75,41,0,14,40
1,0,0,71,3,53,30,1,14,3
0,0,1,16,4,74,46,0,11,42
0,0,1,23,4,56,85,0,23,38
1,0,0,47,3,12,23,1,16,22
1,0,0,61,3,71,25,1,8,6
1,0,0,48,3,48,9,1,3,14
0,0,1,57,4,15,69,0,16,55
1,0,0,51,3,37,12,1,12,21
0,0,1,68,4,58,62,0,12,41
1,0,0,79,3,47,13,1,9,8
0,0,1,18,4,38,71,0,5,50
1,0,0,78,3,60,10,1,10,16
1,0,0,55,3,36,76,1,8,78
0,0,1,73,4,26,56,0,12,72
1,0,0,1,3,44,22,1,21,75
1,0,0,60,3,70,5,1,13,11
0,0,1,53,4,22,70,0,24,47
1,0,0,11,3,40,78,1,7,65
1,0,0,30,3,51,35,1,14,13
1,0,0,21,3,4,15,1,2,20
1,1,0,13,3,14,79,1,2,18
1,0,0,35,3,30,3,1,10,30
0,0,1,31,4,19,40,0,3,48
0,0,1,33,4,23,73,0,20,58
0,0,1,66,4,50,85,0,16,44
0,0,1,83,4,83,66,0,0,35
0,0,1,32,4,66,54,0,8,49
0,0,0,49,2,63,47,1,25,36
1,0,0,6,3,49,0,1,11,7
1,0,1,76,4,59,75,0,25,5
0,0,0,3,1,35,61,1,13,54
0,0,1,9,4,31,57,0,18,52
1,0,0,0,7,57,82,1,15,69
0,0,1,74,4,16,68,0,9,64
1,0,0,25,0,8,24,1,11,77
0,0,1,24,4,2,60,0,25,23
