GENDER,POSTHUMOUS_TITLE,GOOGLE_KNOWLEDGE_GRAPH_ID,MOTHER_NAME,MIDDLE_NAME,DEATH_DATE,SIBLING_NAME,FULL_NAME,BIRTH_DATE
0,61,85,0,0,25,0,7,68
0,63,65,16,1,34,0,66,86
1,2,29,25,1,72,0,53,59
1,59,36,26,1,24,0,33,27
0,39,85,16,0,84,0,6,70
0,49,50,14,0,81,0,69,29
0,49,64,16,0,85,0,59,77
1,66,11,2,0,82,0,46,39
1,56,48,9,1,17,0,15,69
1,49,7,14,1,86,0,21,34
1,27,33,3,1,18,2,24,54
1,4,38,0,1,65,0,56,75
1,15,14,25,1,54,0,19,45
1,12,31,14,1,43,0,31,52
1,29,2,12,0,41,0,42,58
0,49,49,10,0,80,0,60,67
0,37,81,7,0,78,0,77,37
0,68,72,13,0,1,0,82,4
0,33,52,14,0,32,0,74,85
1,76,21,13,1,29,0,35,43
1,9,17,14,1,55,0,34,7
1,71,18,10,0,77,0,14,82
0,60,59,1,0,11,0,83,15
1,74,19,14,1,52,0,25,81
0,45,74,9,0,45,0,81,41
0,34,83,6,1,64,0,13,8
1,80,8,14,1,61,0,49,63
0,53,45,14,0,9,0,62,17
0,57,58,24,0,33,0,63,42
1,70,32,9,1,15,0,18,46
0,0,26,13,0,0,0,58,2
0,32,55,16,0,42,0,11,80
0,46,67,9,0,20,0,80,65
1,26,4,1,1,13,0,48,38
1,1,84,21,1,39,1,47,22
0,49,42,19,0,7,0,3,50
1,51,28,14,1,21,0,51,20
1,49,37,17,1,79,0,44,64
0,49,53,14,0,80,0,9,72
1,10,20,11,1,46,0,20,36
1,67,77,4,1,73,1,43,12
0,28,1,5,0,3,0,68,5
1,17,27,22,1,62,0,45,14
0,24,44,4,0,5,0,73,31
0,19,80,7,0,67,0,85,28
0,62,39,20,0,28,0,84,26
0,73,43,14,0,27,0,65,56
0,43,51,1,0,69,0,8,10
1,79,16,10,1,68,0,23,44
1,31,34,14,0,10,0,54,19
0,81,63,10,0,76,0,76,40
1,25,6,3,1,6,0,32,62
0,40,41,14,0,75,0,75,84
1,3,30,14,1,53,0,39,71
0,42,46,11,0,74,0,87,16
0,38,85,23,0,56,0,4,23
1,22,23,16,1,12,0,30,47
1,6,25,8,1,71,0,55,61
1,14,9,3,1,48,0,37,48
0,55,69,16,0,15,0,61,57
1,21,12,12,1,37,0,36,51
0,41,62,12,0,58,0,67,68
1,8,13,9,1,47,0,38,79
0,50,71,5,0,38,0,86,18
1,16,10,10,1,60,0,16,78
1,78,76,8,1,36,0,28,55
0,72,56,12,0,26,0,64,73
1,75,22,21,1,44,0,29,1
1,11,5,13,1,70,0,52,60
0,47,70,24,0,22,0,5,53
1,65,78,7,1,40,0,41,11
1,13,35,14,1,51,0,26,30
1,20,15,2,1,4,0,50,21
1,18,79,2,1,14,1,15,13
1,30,3,10,1,30,0,27,35
0,48,40,3,0,19,0,70,31
0,58,73,20,0,23,0,1,33
0,44,85,16,0,50,0,71,66
0,35,66,0,0,83,0,78,83
0,49,54,8,0,66,0,72,32
0,36,47,25,1,63,0,12,49
1,7,0,11,1,49,0,40,6
1,5,75,25,0,59,0,22,76
0,54,61,13,1,35,0,10,3
0,52,57,18,0,31,0,79,9
1,69,82,15,1,57,0,57,0
0,64,68,9,0,16,0,0,74
1,77,24,11,1,8,0,17,25
0,23,60,25,0,2,0,2,24
