GENDER,SIBLING_NAME,FAMILY_SURNAME,BIRTH_DATE,FIRST_NAME,DEATH_DATE,FULL_NAME,GOOGLE_KNOWLEDGE_GRAPH_ID,MOTHER_NAME,POSTHUMOUS_TITLE
0,0,1,68,4,25,7,85,0,61
0,0,0,86,6,34,66,65,16,63
1,0,0,59,3,72,53,29,25,2
1,0,0,27,3,24,33,36,26,59
0,0,1,70,4,84,6,85,16,39
0,0,1,29,4,81,69,50,14,49
0,0,1,77,4,85,59,64,16,49
1,0,1,39,4,82,46,11,2,66
1,0,0,69,3,17,15,48,9,56
1,0,0,34,3,86,21,7,14,49
1,2,0,54,3,18,24,33,3,27
1,0,0,75,3,65,56,38,0,4
1,0,0,45,3,54,19,14,25,15
1,0,0,52,3,43,31,31,14,12
1,0,1,58,4,41,42,2,12,29
0,0,1,67,4,80,60,49,10,49
0,0,1,37,4,78,77,81,7,37
0,0,1,4,4,1,82,72,13,68
0,0,1,85,4,32,74,52,14,33
1,0,0,43,3,29,35,21,13,76
1,0,0,7,5,55,34,17,14,9
1,0,1,82,4,77,14,18,10,71
0,0,1,15,4,11,83,59,1,60
1,0,0,81,3,52,25,19,14,74
0,0,1,41,4,45,81,74,9,45
0,0,0,8,8,64,13,83,6,34
1,0,0,63,3,61,49,8,14,80
0,0,0,17,4,9,62,45,14,53
0,0,1,42,4,33,63,58,24,57
1,0,0,46,3,15,18,32,9,70
0,0,1,2,4,0,58,26,13,0
0,0,1,80,4,42,11,55,16,32
0,0,1,65,4,20,80,67,9,46
1,0,0,38,3,13,48,4,1,26
1,1,0,22,3,39,47,84,21,1
0,0,1,50,4,7,3,42,19,49
1,0,0,20,3,21,51,28,14,51
1,0,0,64,3,79,44,37,17,49
0,0,1,72,4,80,9,53,14,49
1,0,0,36,3,46,20,20,11,10
1,1,0,12,3,73,43,77,4,67
0,0,1,5,4,3,68,1,5,28
1,0,0,14,3,62,45,27,22,17
0,0,1,31,4,5,73,44,4,24
0,0,1,28,4,67,85,80,7,19
0,0,1,26,4,28,84,39,20,62
0,0,1,56,4,27,65,43,14,73
0,0,1,10,4,69,8,51,1,43
1,0,0,44,3,68,23,16,10,79
1,0,1,19,4,10,54,34,14,31
0,0,1,40,4,76,76,63,10,81
1,0,0,62,3,6,32,6,3,25
0,0,1,84,4,75,75,41,14,40
1,0,0,71,3,53,39,30,14,3
0,0,1,16,4,74,87,46,11,42
0,0,1,23,4,56,4,85,23,38
1,0,0,47,3,12,30,23,16,22
1,0,0,61,3,71,55,25,8,6
1,0,0,48,3,48,37,9,3,14
0,0,1,57,4,15,61,69,16,55
1,0,0,51,3,37,36,12,12,21
0,0,1,68,4,58,67,62,12,41
1,0,0,79,3,47,38,13,9,8
0,0,1,18,4,38,86,71,5,50
1,0,0,78,3,60,16,10,10,16
1,0,0,55,3,36,28,76,8,78
0,0,1,73,4,26,64,56,12,72
1,0,0,1,3,44,29,22,21,75
1,0,0,60,3,70,52,5,13,11
0,0,1,53,4,22,5,70,24,47
1,0,0,11,3,40,41,78,7,65
1,0,0,30,3,51,26,35,14,13
1,0,0,21,3,4,50,15,2,20
1,1,0,13,3,14,15,79,2,18
1,0,0,35,3,30,27,3,10,30
0,0,1,31,4,19,70,40,3,48
0,0,1,33,4,23,1,73,20,58
0,0,1,66,4,50,71,85,16,44
0,0,1,83,4,83,78,66,0,35
0,0,1,32,4,66,72,54,8,49
0,0,0,49,2,63,12,47,25,36
1,0,0,6,3,49,40,0,11,7
1,0,1,76,4,59,22,75,25,5
0,0,0,3,1,35,10,61,13,54
0,0,1,9,4,31,79,57,18,52
1,0,0,0,7,57,57,82,15,69
0,0,1,74,4,16,0,68,9,64
1,0,0,25,0,8,17,24,11,77
0,0,1,24,4,2,2,60,25,23
