Gene_Classification,Genomic_End_Position,Gene_Id,Gene_Db_Id,Encoded_Protein,Gene_Type,Genomic_Start_Position,Strand_Orientation
0,3408436,5,5,2,0,3406694,1
0,11827525,19,19,2,0,11825876,0
1,2789368,3,3,4,1,2788047,0
0,15222966,26,26,0,0,15221143,1
0,2484598,2,2,2,0,2482946,1
0,16536814,29,29,2,0,16535087,1
0,11110825,17,17,2,0,11109716,0
0,19198058,34,34,2,0,19196265,0
0,15208834,25,25,5,0,15207657,0
0,21652250,38,38,2,0,21651465,1
0,8102835,10,10,5,0,8101324,1
0,4856229,6,6,5,0,4855079,0
0,8714764,11,11,5,0,8714108,0
0,13536464,23,23,2,0,13535010,1
0,16035426,28,28,3,0,16034275,0
0,11338656,18,18,3,0,11337604,0
0,6315281,8,8,3,0,6314564,0
0,109749,41,41,2,0,108094,1
0,19719069,36,36,2,0,19717789,1
0,11903031,20,20,3,0,11901664,0
0,13602436,24,24,2,0,13600727,1
0,16940003,31,31,2,0,16938267,1
0,12475698,22,22,2,0,12473968,0
0,19493479,35,35,5,0,19491830,1
0,729313,0,0,2,0,727583,0
0,10013846,14,14,6,0,10011450,1
0,2078700,1,1,1,0,2077966,1
0,17697736,32,32,2,0,17696702,1
0,15966851,27,27,2,0,15965034,0
0,10739420,16,16,3,0,10738391,1
0,21644712,37,37,3,0,21643691,0
0,5858117,7,7,3,0,5857149,0
0,10151192,15,15,2,0,10149456,0
0,9226812,12,12,2,0,9225424,1
0,24170195,40,40,2,0,24168318,0
0,9500152,13,13,2,0,9498311,1
0,3114645,4,4,2,0,3113716,1
0,18084214,33,33,2,0,18082439,1
0,7265620,9,9,2,0,7263896,0
0,12085133,21,21,3,0,12083649,0
0,23930113,39,39,3,0,23929616,1
0,16543225,30,30,2,0,16541663,1
