StrandOrientation,GenomicEndPosition,GeneId,GeneDbId,EncodedProtein,GeneType,GenomicStartPosition
0,12688657,52,52,3,0,12687579
0,2176074,8,8,2,0,2173822
1,3332030,18,18,2,0,3330351
1,8184305,33,33,2,0,8183049
1,22366722,86,86,2,0,22365805
0,18034173,71,71,7,0,18033193
0,14022240,58,58,3,0,14021446
1,11725924,49,49,3,0,11723685
1,2409527,11,11,2,0,2408865
0,22780026,90,90,7,0,22779001
0,2995357,16,16,2,0,2993120
1,6934931,30,30,3,0,6934113
1,16426637,63,63,2,0,16424412
1,16563937,67,67,2,0,16562831
0,4427449,22,22,2,0,4425197
1,20342521,74,74,2,0,20341259
1,9869998,41,41,2,0,9867056
0,1047729,7,7,5,0,1047100
0,4868024,24,24,2,0,4867473
1,11448216,47,47,2,0,11446408
0,3393019,19,19,2,0,3390758
0,23802860,95,95,3,0,23802345
0,4172542,20,20,2,0,4171208
0,11996370,51,51,3,0,11994619
1,24301722,98,98,2,0,24299593
0,505867,3,3,0,1,504683
0,11898553,50,50,2,0,11896367
1,13398519,55,55,2,0,13396177
1,6650810,29,29,5,0,6649504
1,8804662,36,36,7,0,8802437
0,5436724,26,26,3,0,5435818
0,2564774,12,12,4,1,2562631
1,12831055,53,53,2,0,12829310
0,5271180,25,25,2,0,5270266
1,23447838,92,92,7,0,23447218
1,1016782,5,5,2,0,1014533
0,23802012,94,94,6,1,23801011
0,8028195,32,32,2,0,8026444
1,20485261,75,75,2,0,20483000
1,12836026,54,54,2,0,12834782
0,21211189,79,79,2,0,21210206
0,21783921,83,83,6,1,21781632
0,1021038,6,6,2,0,1018726
0,2207377,9,9,2,0,2205470
1,22435858,87,87,2,0,22433813
0,459187,2,2,3,0,458294
0,2662025,13,13,3,0,2661276
0,6392825,28,28,2,0,6390597
0,13837817,57,57,2,0,13836696
1,20509228,76,76,7,0,20508290
0,625564,4,4,4,1,623563
0,15552221,62,62,2,0,15549750
0,22028199,85,85,3,0,22026512
1,22708989,88,88,2,0,22707574
0,9613514,40,40,2,0,9612390
0,9006166,37,37,5,0,9005404
1,16508468,65,65,2,0,16506867
1,8623885,34,34,3,0,8621853
1,16554165,66,66,2,0,16551901
1,11372104,46,46,3,0,11370677
1,23973217,97,97,2,0,23972078
0,15485527,61,61,2,0,15483887
0,20802281,77,77,3,0,20801291
1,7083780,31,31,2,0,7082506
0,10376605,43,43,4,1,10374419
1,18081210,72,72,2,0,18078931
1,8798973,35,35,7,0,8796721
1,17714007,70,70,2,0,17711731
1,23838762,96,96,2,0,23836501
0,10143236,42,42,2,0,10141842
0,14402075,60,60,4,1,14401099
1,4795291,23,23,5,0,4794295
1,23794678,93,93,3,0,23793193
1,10637386,44,44,2,0,10636079
0,11464520,48,48,3,0,11462589
0,21705992,82,82,3,0,21705274
0,6168822,27,27,3,0,6167727
1,4287060,21,21,2,0,4285357
0,22756821,89,89,2,0,22754536
0,49903,0,0,2,0,48200
1,9176690,39,39,5,0,9175716
1,2956426,15,15,5,0,2955563
0,239835,1,1,3,0,239235
1,3263510,17,17,2,0,3262518
0,21479783,81,81,2,0,21478365
1,21130236,78,78,2,0,21127996
0,17420742,69,69,2,0,17418463
1,22835806,91,91,3,0,22834331
0,14023398,59,59,3,0,14022418
0,17296111,68,68,4,1,17294360
1,16505641,64,64,2,0,16503965
0,24595701,99,99,1,0,24593912
1,2921001,14,14,2,0,2918737
0,11181620,45,45,6,1,11179739
0,13567233,56,56,3,0,13566216
0,21997160,84,84,7,0,21996177
1,2408736,10,10,3,0,2407756
0,19120773,73,73,2,0,19118842
0,9015817,38,38,5,0,9013593
0,21301605,80,80,7,0,21300769
