Gene_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Genomic_Start_Position,Strand_Orientation
0,0,301826,244,299487,0
1,0,32772,97,29866,1
0,0,373899,28,371611,1
0,0,736453,78,733583,0
0,1,190552,79,188093,1
0,0,1516533,42,1514173,1
0,0,476728,160,474101,0
0,0,54199,31,51578,1
0,0,988200,208,985546,1
0,0,1062895,235,1060310,1
0,0,246580,86,243767,0
0,0,758419,44,756089,0
0,0,488327,204,485541,0
1,0,322020,238,319249,0
0,0,33755,26,30969,0
0,0,355891,246,353552,0
0,0,993191,43,990858,1
1,0,1150558,194,1147775,1
0,0,1152306,223,1149583,0
0,0,1161129,167,1158613,0
1,0,32977,217,30248,1
0,0,33431,25,30843,1
0,0,184674,5,182293,0
0,0,1757922,190,1755496,1
0,0,553480,175,550610,0
0,0,16153,29,13502,0
0,0,292921,247,290183,1
0,0,256062,180,253732,0
0,0,25495,49,22811,0
0,0,8691,197,6085,1
0,0,180436,214,177890,1
0,0,15222,213,12538,1
0,0,867065,116,864531,0
0,0,1966199,103,1963551,1
0,0,557682,144,555076,0
0,0,1024944,234,1022305,0
0,0,519004,253,516413,0
0,0,1176004,166,1173581,0
0,0,156435,33,153649,1
0,0,447956,178,445458,1
0,0,735391,128,733043,0
0,0,1102343,227,1099539,0
0,0,1314205,89,1311887,0
0,0,1034195,210,1031508,1
0,0,650434,38,647633,1
0,0,1800605,108,1797939,1
0,0,125132,80,122370,1
1,0,17633,21,14982,0
0,0,4209,121,1423,0
0,0,187941,233,185287,0
0,0,1065877,200,1063010,0
0,0,432191,135,429708,0
0,0,536061,258,533287,0
0,0,568671,174,566338,1
1,0,1123469,222,1120611,0
0,0,443238,158,440629,0
0,0,422008,202,419294,0
1,0,86749,153,84020,1
0,0,50888,152,48174,1
1,0,107074,256,104540,0
0,0,622377,40,620053,0
0,0,404953,162,402317,0
0,0,352788,251,350182,1
0,0,185153,23,182502,0
1,0,389747,165,387120,0
