StrandOrientation,GenomicStartPosition,GenomicEndPosition,GeneDbId
0,154221,155219,154
0,433053,434666,127
0,1522857,1524263,34
1,830434,831522,12
0,9590,10687,111
1,1107152,1108489,110
0,32737,33930,48
0,339975,340376,73
0,564966,566165,32
0,5433,6500,29
1,495068,496522,95
0,446896,447552,1
1,1493559,1494962,35
0,405798,405983,7
1,725125,726501,37
1,1116176,1117420,109
0,615924,617159,56
0,1403372,1404649,106
0,2247,3182,20
0,552229,553803,92
1,532,1359,82
0,492284,492874,55
0,511070,512575,152
1,1687962,1689293,40
0,6249,7259,6
0,452175,452810,96
1,67296,68405,136
0,1001194,1002291,88
1,525035,526360,149
1,1897875,1898756,44
0,1944244,1944921,122
1,1071,2480,74
1,437293,437973,97
1,208193,209311,49
1,1070148,1071422,143
0,1865636,1867030,43
0,14641,15753,10
0,579490,580857,33
1,9307,10644,94
0,366097,367224,148
1,1266495,1267766,60
0,1497708,1499180,116
1,624868,626028,38
0,289018,290343,72
0,1171051,1172370,108
1,410007,411413,90
0,41221,42426,101
1,531106,532332,150
1,1787623,1789020,71
1,522770,523945,114
1,599905,601068,113
0,149964,151073,138
0,1732098,1733432,126
0,918156,919364,85
1,1651012,1651899,45
0,226948,228042,115
0,431189,432268,5
0,986558,987463,87
0,1750310,1751668,125
0,209817,211061,153
0,17596,18783,25
0,63997,65502,28
1,753767,754771,52
0,2016848,2018230,119
0,207000,207419,57
1,597786,598434,75
1,1246854,1248251,61
1,558766,559992,91
1,230514,231983,83
0,422017,423600,145
1,7716,9275,46
1,2089121,2090497,19
0,471425,472615,51
0,411703,412929,50
0,1933010,1933792,4
1,1777100,1778404,124
0,1092211,1093548,134
0,1740772,1741983,14
0,436320,437003,64
1,154689,155993,112
1,145715,146779,93
0,379126,379854,79
0,1014583,1015761,63
0,1275858,1277102,65
0,307640,308539,81
1,51379,52782,135
0,1,852,47
1,233434,233697,2
1,1571525,1572694,69
1,2051877,2053277,18
1,596868,597683,128
0,22417,23787,24
0,493452,494627,39
1,1586445,1587887,120
1,168840,169772,30
0,1412150,1413484,11
0,53844,54854,26
0,2156019,2157389,42
1,4900,6378,58
0,437786,439354,102
0,1071504,1072628,132
1,209856,211328,151
0,58461,59441,100
1,1803316,1804221,70
1,1505442,1506761,117
0,1142492,1143832,133
0,6122,6733,23
0,11150,12244,27
0,1419405,1420721,68
0,66767,67849,99
0,340480,340851,8
0,296987,298468,78
0,2,586,0
0,1398122,1398991,107
1,457881,458510,15
0,898190,899374,76
0,11954,13267,21
0,1458433,1459767,36
1,6742,7956,31
0,161326,162444,139
0,482659,484137,80
0,261617,262696,59
0,1682645,1683736,13
0,496600,497535,155
0,112967,114367,137
0,799199,799780,140
0,415855,417432,103
1,1369569,1370954,67
1,317777,318880,147
0,798498,799094,54
1,7366,8841,16
0,35940,37052,129
1,1361035,1361937,105
1,173582,174865,131
1,3,485,3
1,26910,27971,84
0,402012,403184,98
1,83866,85134,89
0,1950669,1951553,123
0,1384861,1386264,104
1,2073437,2074708,17
1,1064159,1065367,142
1,923378,924253,86
0,382214,383794,22
0,1364481,1365596,66
0,935551,936561,77
0,1025604,1026521,62
1,23234,24760,144
1,303281,304330,146
1,16457,17944,130
0,812281,813285,53
1,1622125,1622991,121
0,348280,349644,9
1,1546002,1547471,118
0,4708,6048,41
1,1046660,1047742,141
