Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,CurrentTeam,MemoireDuCyclismeCyclistId,Nationality,SportType,BirthPlace,UciRiderId,WeightKg,BirthDate,OlympediaPeopleId,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,HeightCm,FreebaseId
0,0,47589.0,20960,19,12247.0,158017,3,67463.0,8,5,19,74994.0,83.0,15,146671.0,12,17,65329,16724.0,4,193.0,1
0,5,6679.0,2086,2,170534.0,140786,0,12728.0,4,3,9,22143.0,82.0,5,125460.0,6,1,9414,377.0,12,184.0,17
0,8,66256.0,25157,8,22666.0,189438,7,,2,3,14,96372.0,65.0,22,2103277.0,15,7,97448,41249.0,11,174.0,18
0,22,,4184,22,,140324,5,,5,3,11,500336.0,68.0,9,,21,20,20130,1318.0,6,182.0,11
0,14,,9803,16,,139811,2,,5,3,18,582454.0,66.0,13,,7,14,30128,700.0,8,183.0,3
0,3,7299.0,4819,3,10959.0,140705,3,6203.0,0,0,2,30859.0,73.0,8,,9,2,17957,705.0,12,188.0,16
0,12,,1265,14,,139808,15,,1,0,11,14103.0,,0,,18,12,4373,2153.0,3,,4
0,6,6978.0,4377,6,7658.0,140865,12,1203.0,6,0,10,198213.0,76.0,11,111607.0,8,5,18964,31.0,9,181.0,10
0,17,729.0,344,10,4558.0,140848,10,552.0,5,3,11,349962.0,76.0,1,122028.0,2,9,517,464.0,12,190.0,15
0,7,16313.0,3333,7,134950.0,140752,3,19461.0,0,3,6,44513.0,74.0,7,126409.0,20,6,18746,150.0,12,181.0,8
0,2,8760.0,4179,1,42225.0,140749,3,6915.0,6,3,12,32691.0,78.0,12,121169.0,11,0,19407,406.0,2,181.0,14
0,13,,24107,15,,176926,1,,8,1,20,89262.0,,21,,14,13,74368,37470.0,8,,18
0,16,22870.0,1646,18,,140614,9,9856.0,3,3,15,32145.0,70.0,10,111647.0,19,16,19086,346.0,12,186.0,12
0,1,52844.0,19391,0,2315.0,132228,4,,1,0,5,75144.0,,16,,5,0,61758,7572.0,8,,18
0,18,61547.0,23429,4,,176731,13,,1,5,1,736192.0,74.0,20,,17,3,64800,37219.0,10,186.0,18
0,15,,17011,17,,134430,6,,6,4,7,75578.0,,2,,3,15,65908,,0,,2
0,9,62729.0,23558,9,20811.0,181257,11,,1,3,4,97437.0,75.0,18,142164.0,1,8,101407,27121.0,7,192.0,18
0,19,55907.0,20793,21,2918.0,168755,17,,5,3,13,461093.0,73.0,17,,0,19,66627,16610.0,5,178.0,6
0,10,11713.0,1041,11,,140802,8,16183.0,6,2,17,32155.0,63.0,6,111609.0,16,9,15413,408.0,12,176.0,13
0,4,30223.0,9896,5,8676.0,140300,18,6601.0,1,2,3,58401.0,,14,133437.0,10,4,36780,1715.0,1,183.0,0
0,21,11313.0,587,13,,138674,16,7891.0,7,3,8,20700.0,,4,,13,11,11876,673.0,12,,9
0,11,58428.0,21992,12,23650.0,168776,14,,5,3,16,86895.0,,19,,17,10,77835,16793.0,11,179.0,5
1,20,3516.0,1303,20,31384.0,140584,12,2720.0,9,5,0,,75.0,3,106895.0,4,18,12756,271.0,12,190.0,7
