StrandOrientation,GenomicEndPosition,GeneDbId,GeneLabel,ChromosomeLocation,EncodedProtein,OrthologousGene,GenomicStartPosition
1,1662950,12,12,16,2,18,1661937
0,395492,78,78,6,2,9,394080
0,1957918,58,58,18,8,50,1956215
0,740372,21,21,14,9,23,739299
1,1356346,49,49,18,8,30,1354634
0,428550,44,44,5,2,41,427162
0,545819,20,20,14,24,26,544815
0,807440,73,73,12,17,37,806025
0,120630,13,13,3,24,48,119065
0,2350,4,4,24,13,6,965
1,183296,64,64,4,19,5,181743
1,96204,72,72,36,5,6,95182
1,2122182,1,1,18,2,13,2120788
0,440871,74,74,6,2,29,439477
1,373406,52,52,19,2,27,371496
1,276965,33,33,2,14,12,276033
1,2133734,56,56,17,1,0,2133172
0,1720929,29,29,16,24,2,1719919
0,802557,80,80,11,16,28,801154
1,464293,18,18,7,2,46,462872
0,461547,47,47,5,2,41,460189
0,406809,79,79,18,11,19,405529
0,432759,17,17,7,22,8,431323
0,488962,25,25,2,1,42,488378
1,603942,61,61,14,2,26,602953
1,649350,2,2,18,10,25,647746
1,1053526,26,26,18,18,14,1052240
0,434782,75,75,6,10,35,433358
0,587224,82,82,5,2,15,585836
0,6897,3,3,23,24,22,5479
0,421131,40,40,6,10,16,419701
1,1480218,10,10,18,2,53,1478512
0,1111176,70,70,15,24,15,1109698
0,385849,48,48,5,2,41,384458
0,413826,41,41,6,2,29,412408
1,5338,43,43,1,24,24,4406
0,472830,46,46,5,2,41,471442
0,190053,63,63,10,2,14,189334
0,489416,5,5,2,0,42,489063
0,3277,16,16,20,21,32,1805
1,375903,6,6,2,6,4,374896
0,445437,42,42,18,11,11,444157
0,401095,19,19,8,2,3,399644
1,5790,23,23,28,17,34,4375
1,17774,67,67,22,2,45,16488
0,1623870,28,28,16,10,43,1622425
0,1178108,71,71,15,18,3,1176633
0,1206373,51,51,18,0,11,1204937
0,915863,35,35,14,1,23,915636
1,10843,65,65,33,0,49,9875
0,2077637,30,30,17,10,39,2076276
1,161,66,66,34,1,38,3
0,4346,59,59,31,20,7,2898
0,411951,36,36,13,2,30,410611
0,1613551,57,57,17,2,24,1612028
1,486119,27,27,15,24,15,484647
1,21672,11,11,27,0,21,20227
1,848504,0,0,17,10,26,847224
1,1885991,14,14,18,12,30,1884423
1,224155,34,34,7,20,51,222680
0,42175,60,60,32,20,45,40730
0,1861827,32,32,17,13,10,1860490
1,2138530,55,55,17,2,24,2137184
1,6645,69,69,35,2,20,5179
1,21584,8,8,9,2,47,19890
0,452391,22,22,6,19,16,450994
0,129767,81,81,0,15,33,128835
1,1181813,54,54,16,0,44,1181490
0,384182,76,76,6,4,13,382887
1,407538,24,24,0,0,31,407386
0,406516,39,39,6,10,13,405110
0,19699,9,9,26,2,17,17999
0,1461,38,38,30,2,36,1
0,1673448,15,15,18,6,30,1672462
1,56906,7,7,25,19,52,55425
0,5370,62,62,21,2,45,3925
0,377047,77,77,6,2,40,375671
0,1876953,31,31,17,21,0,1875676
1,1345315,50,50,18,3,30,1343381
0,401051,45,45,5,0,1,400292
0,18574,37,37,29,1,8,17966
0,1142020,53,53,16,23,43,1140743
1,39044,68,68,35,7,9,37485
