Entity_Type,Genomic_End_Position,Gene_Id,Gene_Db_Id,Orthologous_Gene_Id,Encoded_Protein,Genomic_Start_Position,Gene_Category,Strand_Orientation
0,13483838,100,100,7,0,13482798,0,1
0,10815148,84,84,7,1,10814110,0,1
0,6955492,54,54,2,0,6953756,0,0
0,8380600,65,65,7,1,8379902,0,1
0,9240256,75,75,2,4,9238329,0,1
0,9377132,78,78,7,4,9376461,0,0
0,3221626,27,27,7,4,3220494,0,0
0,2102690,15,15,7,10,2100093,0,1
0,20755404,143,143,1,1,20753741,0,0
0,12160930,92,92,2,7,12160046,0,1
0,2680808,19,19,2,15,2679423,0,0
0,1401408,10,10,7,0,1400647,0,0
0,20867515,144,144,1,0,20866022,0,0
0,9200825,74,74,7,4,9199485,0,1
1,6638754,53,53,8,3,6637225,1,0
0,6441604,52,52,7,1,6440312,0,0
0,15741,0,0,7,17,14537,0,1
0,18526135,133,133,1,0,18525296,0,0
0,5430215,43,43,7,21,5429553,0,0
0,9310089,76,76,7,1,9309220,0,0
0,17383110,123,123,1,4,17381675,0,1
0,23649517,155,155,1,1,23648664,0,1
0,6362947,51,51,2,4,6361372,0,1
0,12665749,96,96,7,0,12664313,0,1
0,20333137,141,141,1,0,20331131,0,0
0,2737107,20,20,2,4,2736457,0,1
0,981427,6,6,7,4,980799,0,0
1,3054496,24,24,6,3,3053067,1,0
0,2642795,18,18,7,15,2641014,0,0
0,3511059,31,31,7,4,3509868,0,0
0,14412758,108,108,2,22,14411913,0,0
0,23514561,154,154,1,0,23513521,0,1
0,15376311,113,113,7,17,15375121,0,0
0,4838125,39,39,7,8,4836803,0,0
0,12246771,93,93,7,1,12245099,0,0
0,18735986,134,134,1,14,18734498,0,0
0,7567593,59,59,2,0,7566580,0,1
0,3453161,30,30,7,0,3451287,0,0
0,18766836,135,135,3,1,18765534,0,1
0,7857029,61,61,7,0,7856016,0,1
0,13282465,99,99,7,24,13280789,0,0
0,2579015,16,16,7,10,2576673,0,0
0,14839696,111,111,7,1,14837926,0,0
0,11412405,86,86,7,1,11411355,0,0
0,13967339,105,105,7,15,13965975,0,0
0,34835,165,165,0,18,33567,0,1
0,7776355,60,60,7,0,7775540,0,1
1,4299137,34,34,9,3,4297472,1,1
0,13580138,101,101,7,1,13578653,0,1
0,11497432,88,88,7,1,11496159,0,0
0,8750931,70,70,2,0,8750116,0,0
1,8422594,66,66,9,2,8420066,1,0
0,14931220,112,112,7,0,14928527,0,0
0,3097194,25,25,2,0,3096508,0,0
0,12488986,94,94,7,1,12486822,0,1
0,6016720,47,47,7,1,6015477,0,1
0,1662089,13,13,7,4,1659698,0,1
0,14479105,110,110,7,1,14478302,0,0
0,11473094,87,87,2,0,11472201,0,1
0,2912105,22,22,7,0,2911437,0,1
0,938369,5,5,7,1,937674,0,0
0,24218799,160,160,1,0,24217882,0,0
0,18429380,131,131,3,1,18428231,0,1
0,421354,1,1,7,10,418907,0,0
0,2597044,17,17,7,13,2596686,0,1
0,22342311,151,151,1,0,22341328,0,1
0,23902858,158,158,1,1,23901544,0,1
0,15398283,114,114,7,0,15396637,0,1
0,42748,167,167,5,13,41047,0,1
0,2862968,21,21,7,4,2861630,0,1
0,11737964,91,91,2,1,11736173,0,0
0,16416071,119,119,2,19,16413631,0,1
0,23866829,157,157,1,1,23865703,0,1
0,16025845,118,118,2,7,16025135,0,0
0,11600931,89,89,7,1,11599714,0,1
1,563875,4,4,9,5,561461,1,0
0,6088421,48,48,7,0,6085950,0,0
0,13013122,98,98,2,0,13011857,0,0
0,16835079,120,120,1,20,16833925,0,1
0,19131431,137,137,3,10,19128978,0,1
0,6835,163,163,0,13,4667,0,1
0,21425326,148,148,1,0,21423191,0,1
0,17573162,126,126,1,0,17572161,0,0
0,6956172,55,55,2,1,6955569,0,0
0,17736253,128,128,3,1,17735340,0,0
0,6283351,50,50,7,1,6282458,0,0
0,4102721,33,33,7,11,4101290,0,1
1,14476110,109,109,8,2,14473687,1,0
0,3312359,29,29,2,0,3311109,0,1
0,12849258,97,97,7,1,12848426,0,1
0,2003214,14,14,2,4,2002366,0,0
1,17401205,124,124,8,12,17399302,1,1
0,16920482,121,121,1,17,16919435,0,1
0,8297673,63,63,7,1,8296462,0,1
0,3235158,28,28,7,1,3233849,0,1
0,19651669,139,139,3,0,19648997,0,0
0,4365383,35,35,7,21,4363173,0,1
1,9136441,73,73,9,12,9134295,1,0
0,17627223,127,127,3,1,17625592,0,1
1,3802426,32,32,8,12,3800009,1,0
0,15431493,115,115,7,9,15429022,0,1
1,40361,166,166,4,16,37650,1,1
0,10601584,81,81,2,1,10600723,0,1
0,5210452,41,41,2,23,5209340,0,1
0,13980614,106,106,7,1,13979644,0,1
0,21703774,149,149,1,1,21701900,0,0
0,18038313,129,129,3,1,18037247,0,1
0,23311866,153,153,1,1,23310921,0,0
0,4622430,37,37,7,21,4620634,0,1
0,8068432,62,62,2,1,8066724,0,0
0,3049161,23,23,7,23,3048399,0,0
0,424362,2,2,7,20,423166,0,0
0,10835283,85,85,2,0,10832824,0,1
1,8836279,71,71,9,6,8834339,1,1
0,8377941,64,64,7,1,8377093,0,1
0,21033305,146,146,1,0,21032577,0,1
0,21840929,150,150,3,0,21839502,0,1
1,8706530,69,69,8,2,8704372,1,0
0,448516,3,3,7,15,445739,0,0
0,1005104,7,7,2,1,1003707,0,1
0,5764705,46,46,7,1,5763288,0,1
0,20567359,142,142,3,0,20566544,0,1
0,13953853,104,104,2,0,13952477,0,0
0,1044324,9,9,2,4,1043726,0,0
0,18150907,130,130,1,4,18149782,0,1
0,7207112,57,57,2,0,7205454,0,1
0,20915947,145,145,1,0,20914958,0,1
0,14201412,107,107,2,20,14200354,0,1
0,19133424,138,138,3,0,19132048,0,1
0,22586503,152,152,1,7,22583996,0,1
0,6170322,49,49,7,1,6168823,0,1
0,5212347,42,42,7,0,5211163,0,1
0,10790484,83,83,7,0,10789222,0,0
0,4756236,38,38,7,4,4754812,0,0
0,19032389,136,136,3,0,19030515,0,1
0,24324304,161,161,1,1,24323249,0,0
0,18449802,132,132,3,1,18448896,0,0
0,5646569,45,45,7,0,5645517,0,0
0,4431456,36,36,7,25,4430512,0,1
0,8662629,68,68,7,0,8661322,0,0
0,1565906,12,12,7,4,1564519,0,1
0,5596435,44,44,7,1,5595701,0,0
0,17542792,125,125,1,1,17541345,0,0
0,24075061,159,159,3,1,24073248,0,1
0,13813861,102,102,2,0,13812362,0,0
0,3098509,26,26,7,0,3097631,0,0
0,17214370,122,122,1,15,17212826,0,1
0,23718778,156,156,1,1,23717642,0,0
0,9294,164,164,5,13,6891,0,1
0,4910787,40,40,7,4,4909550,0,1
0,15742919,116,116,7,0,15740403,0,1
0,13816694,103,103,7,15,13815414,0,0
0,16024976,117,117,7,7,16024497,0,0
0,10514318,80,80,7,0,10512900,0,0
0,9311660,77,77,7,0,9310200,0,0
0,11655236,90,90,2,0,11654436,0,1
0,8661219,67,67,2,0,8660182,0,0
0,7303713,58,58,2,4,7302490,0,1
0,12567288,95,95,7,1,12566661,0,1
0,24717108,162,162,3,1,24715475,0,1
0,1471242,11,11,7,1,1469688,0,1
0,21107478,147,147,1,1,21106076,0,0
0,7009171,56,56,7,1,7008393,0,1
0,10634319,82,82,7,0,10632709,0,1
0,1005618,8,8,7,1,1005001,0,1
1,8987276,72,72,8,3,8985246,1,0
0,20286216,140,140,1,4,20285100,0,1
0,10429864,79,79,7,4,10428729,0,1
