Gene_Classification,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,1174010,188,188,2,99,1168695,0
0,7476,0,1,2,101,127,0
0,609988,155,155,1,122,605538,1
1,1168419,160,160,3,34,1158055,1
0,1169344,40,40,1,26,1158920,0
1,18759,149,149,3,73,8548,1
0,52109,58,58,1,57,41772,1
0,18044,36,36,1,11,13358,1
0,424181,138,138,1,60,413739,0
0,225503,222,222,1,114,215040,0
0,940675,89,89,1,33,930293,1
0,330111,108,108,1,70,322282,0
0,458221,52,52,1,109,447770,1
0,328819,66,66,1,65,318764,0
0,18045,173,173,1,61,7588,0
0,83617,101,101,1,88,73238,1
1,743366,12,12,3,91,733188,0
1,723117,129,129,3,8,714922,0
1,796435,42,42,3,133,786038,0
1,296067,109,109,3,72,288610,0
0,5595,7,7,2,135,1,1
0,818767,118,118,1,120,810066,0
0,573981,156,156,1,122,563530,0
0,390898,218,218,1,70,380639,1
0,6832,25,25,2,102,2,1
0,46065,190,190,1,69,35644,1
0,842551,211,211,1,7,832124,0
0,63253,174,174,1,75,52823,1
0,78813,196,196,1,138,72588,1
0,149649,113,113,2,26,143326,0
0,816094,68,68,1,90,805796,0
1,11516,31,31,3,63,2172,0
0,26884,63,63,1,50,16478,1
0,22907,1,2,2,22,17262,1
0,5929,148,148,1,14,3,0
0,193120,183,183,2,95,183374,0
0,9732,191,191,1,19,1,0
0,970184,184,184,1,82,959784,1
0,213628,100,100,1,127,203258,0
1,647211,114,114,3,134,636820,0
0,138304,215,215,1,48,127910,1
0,13701,150,150,1,78,3220,1
0,328850,46,46,1,16,318795,0
0,6482,4,4,2,62,3,0
0,2345195,165,165,1,138,2334792,0
1,13525,107,107,3,96,3143,0
0,459416,64,64,1,137,449073,1
0,13412,85,85,1,75,3015,1
0,252973,111,111,1,137,245186,1
0,62951,94,94,1,84,52593,1
0,347060,219,219,2,137,339083,1
0,45907,205,205,2,17,38978,1
0,141214,130,130,1,38,130814,1
1,789447,212,212,3,112,779023,0
0,475972,78,78,2,81,470489,0
0,409474,179,179,1,24,399029,1
0,47512,123,123,1,16,39092,1
0,802151,13,13,1,113,791817,1
0,33876,199,199,1,66,23431,0
0,1717944,170,170,2,80,1709332,1
0,745319,39,39,1,132,734937,0
0,891588,19,19,1,23,881293,0
1,934030,201,201,3,27,926063,1
0,127475,171,171,1,87,117093,1
0,6144,65,65,1,41,3,0
0,31191,119,119,1,52,20812,1
0,7954,192,192,2,62,2,0
0,229560,213,213,1,92,219184,1
0,571102,14,14,1,104,563645,0
0,69531,217,217,1,48,59128,1
0,13163,67,67,1,47,2601,0
0,5956,21,21,1,132,733,0
1,12411,133,133,3,4,1858,1
0,7614,2,0,0,3,1030,1
0,54831,125,125,1,96,44338,1
0,2370774,163,163,1,93,2360422,0
0,40663,197,197,1,123,30197,1
0,24830,102,102,1,38,14646,1
1,79790,207,207,3,5,69342,1
0,64484,127,127,2,96,55971,1
1,127990,147,147,3,121,117557,1
0,32850,186,186,1,99,28143,1
0,207695,54,54,1,110,204667,0
0,36235,216,216,1,49,25871,1
0,11492,32,32,1,54,5925,1
1,1233807,177,177,3,134,1224493,1
0,30892,75,75,1,122,20468,0
0,54812,6,6,1,105,50482,1
0,311779,49,49,1,67,306168,0
0,53674,203,203,1,138,43286,1
0,21015,77,77,1,58,14486,1
0,5481,153,153,2,36,1,0
1,9243,23,23,3,12,3028,1
0,89016,116,116,1,15,78604,1
1,574518,141,141,3,97,565420,0
1,27113,193,193,3,136,16665,1
0,71128,82,82,1,18,60752,1
0,347622,84,84,1,109,337195,0
0,65194,22,22,1,40,54806,0
0,6388,121,121,1,126,323,1
0,243214,167,167,1,51,232769,0
0,42086,37,37,1,114,31758,0
0,11147,33,33,2,115,4143,0
0,22103,169,169,1,51,14689,1
0,239506,159,159,2,65,231410,0
1,217558,3,3,3,71,208664,0
0,1049310,61,61,1,42,1038856,0
0,8611,115,115,1,46,3,0
0,62219,38,38,1,131,51870,0
0,11755,17,17,1,64,1460,0
0,586972,45,45,1,13,576509,0
0,88568,198,198,1,53,78117,1
1,11231,99,99,3,117,2115,1
0,623676,90,90,1,22,613279,0
0,11537,175,175,1,83,1098,1
0,505288,11,11,1,128,494840,0
0,780586,126,126,1,10,770171,0
0,158064,214,214,1,98,147781,1
0,12312,195,195,2,9,7990,1
0,1352921,106,106,1,45,1342479,0
0,353296,97,97,2,9,348857,1
0,13465,34,34,1,81,4539,0
0,1147531,122,122,1,1,1137248,0
1,595061,50,50,3,87,584655,0
0,1048694,137,137,1,35,1038261,0
1,214744,9,9,3,37,206012,1
0,3341,189,189,2,89,3,0
0,7213,73,73,1,29,1,1
0,225073,35,35,1,38,217409,1
0,5392,79,79,1,107,2,0
0,610602,140,140,1,124,600223,0
0,548110,151,151,1,77,541838,0
1,47046,60,60,3,64,36631,0
0,2017022,5,5,2,100,2011656,0
1,566844,202,202,3,77,556376,0
0,39653,24,24,1,57,33702,1
0,5905,55,55,1,52,1,1
1,1020605,200,200,3,20,1014285,0
0,17336,69,69,1,76,6891,1
0,18048,70,70,1,61,7666,0
0,19647,57,57,1,107,9304,1
0,796416,187,187,1,6,789632,0
0,252780,210,210,1,111,242332,0
0,18102,16,16,1,118,7759,0
1,8750,10,10,3,106,352,0
0,230403,209,209,1,60,222871,0
0,638425,172,172,1,44,628055,0
0,34341,15,15,2,105,26002,1
0,5467,74,74,2,74,2,0
0,6239,135,135,2,57,3,1
0,5231,26,26,1,131,1,1
0,1301475,104,104,1,53,1291027,1
0,536745,47,47,1,103,531839,0
1,1351353,152,152,3,134,1340908,0
0,107347,18,18,1,119,100946,1
0,5029,28,28,2,68,2,1
0,82139,162,162,1,21,71676,1
0,534898,112,112,2,101,529028,1
