StrandOrientation,OrthologId,GenomicEndPosition,GeneId,GeneDbId,EncodedProtein,GeneType,ChromosomeId,GenomicStartPosition
0,72,313057,144,144,16,0,15,312338
1,27,81801,39,39,10,0,44,80905
0,83,36547,222,222,9,0,37,35690
1,35,2151652,65,65,9,0,20,2150759
1,14,749937,92,92,16,0,14,749176
1,52,1088191,237,237,16,0,19,1087412
1,4,432941,203,203,0,1,14,432381
1,20,497744,120,120,34,1,15,496932
1,87,33929,165,165,19,0,2,32910
1,73,1227756,105,105,26,0,20,1227118
1,87,652441,51,51,2,1,8,651695
0,41,402463,84,84,20,0,5,401243
0,27,18040,107,107,22,0,57,16886
1,63,394684,23,23,1,0,14,394031
1,55,1098996,238,238,3,0,19,1097833
1,55,663709,103,103,10,0,19,662936
0,75,738,2,2,0,0,23,1
1,0,12258,152,152,22,0,68,11053
0,60,2162466,64,64,10,0,20,2161639
1,3,937169,155,155,2,1,19,936387
1,13,269718,146,146,2,1,20,269074
1,8,946792,5,5,21,0,14,945539
1,2,15525,109,109,8,0,32,14710
1,84,563168,88,88,2,1,14,561921
1,43,477748,119,119,2,1,15,476525
0,60,731234,55,55,10,0,20,730422
0,27,1832,59,59,21,0,46,591
0,24,217780,244,244,11,0,5,216641
1,19,1034038,239,239,12,0,19,1032938
0,84,779639,93,93,2,1,14,778437
0,37,10709,218,218,2,1,77,9531
0,39,23056,191,191,18,0,73,22262
1,4,667923,91,91,2,1,14,666610
0,6,497406,34,34,2,1,4,496306
1,38,365512,36,36,22,0,4,364310
0,27,9985,148,148,0,0,65,9303
0,94,13702,26,26,2,1,41,12743
0,8,1057942,131,131,21,0,14,1056725
0,57,589228,206,206,22,0,14,588062
1,0,10217,29,29,21,0,42,9084
1,25,182780,41,41,2,1,12,181743
0,50,196658,242,242,14,0,5,195561
0,63,387281,11,11,22,0,14,386064
0,3,1887968,127,127,2,1,19,1886823
1,27,1860,159,159,0,0,69,1114
0,8,581117,205,205,15,0,14,580287
0,72,386514,171,171,21,0,15,385279
1,57,599280,204,204,10,0,14,598465
0,55,745129,158,158,2,1,9,744176
0,60,1422032,54,54,15,0,20,1421220
1,12,1921338,125,125,2,1,19,1920505
0,27,28969,25,25,1,0,40,28568
0,72,1173402,230,230,18,0,15,1172566
0,81,210588,243,243,19,0,5,209491
0,79,17599,76,76,2,1,50,16553
0,63,1049347,132,132,15,0,14,1048619
0,28,358168,101,101,24,0,19,357524
0,80,1247221,176,176,2,1,18,1246121
0,8,878597,140,140,10,0,14,877761
0,27,18090,95,95,30,0,52,17131
0,79,1778534,129,129,13,0,19,1777443
0,72,1193619,231,231,1,0,15,1192936
1,100,5205,96,96,2,1,53,4201
1,54,2202990,63,63,24,0,20,2202343
0,95,153559,234,234,30,0,79,152606
0,91,4472,216,216,22,0,75,3321
1,54,975187,116,116,30,0,20,974237
0,54,1745136,190,190,16,0,20,1744339
1,62,19523,46,46,22,0,29,18321
0,94,38006,197,197,10,0,74,37197
1,68,1147481,173,173,7,0,18,1146423
1,32,226729,42,42,0,0,12,226322
0,69,76658,38,38,0,1,44,76494
1,54,983808,114,114,30,0,20,982858
0,96,914563,154,154,26,0,19,913814
0,72,400728,172,172,0,0,15,399566
1,73,979496,115,115,30,0,20,978543
1,43,493669,121,121,34,1,15,492404
1,93,3831,166,166,2,1,72,3070
0,67,3587,160,160,2,1,70,2544
1,27,19594,30,30,10,0,43,18863
1,73,1447013,53,53,25,0,20,1446237
0,83,31870,221,221,10,0,37,31118
1,88,531335,169,169,0,0,1,530982
0,72,462427,170,170,10,0,15,461594
1,35,1905082,66,66,10,0,20,1904309
0,54,1474427,52,52,27,0,20,1473666
0,58,1098330,232,232,9,0,15,1097515
0,47,41345,77,77,33,1,31,40839
1,10,2102,111,111,2,1,58,1101
0,49,1062126,196,196,23,0,16,1060936
0,8,705599,90,90,18,0,14,704769
1,5,77581,7,7,19,0,8,76523
0,8,837722,210,210,0,0,14,837087
1,44,1677,74,74,28,0,48,712
0,72,272963,214,214,16,0,15,272211
0,16,11639,198,198,2,1,74,10170
1,28,2187940,182,182,24,0,19,2187290
0,99,1471918,179,179,5,0,18,1470884
1,27,2879,133,133,10,0,61,2091
1,85,1675,215,215,10,0,35,854
1,4,551759,86,86,2,1,14,550737
1,22,9906,4,4,21,0,24,8728
0,8,863354,139,139,9,0,14,862533
0,2,2556,167,167,2,1,33,1318
1,12,2049687,185,185,2,1,19,2048413
0,38,384191,37,37,14,0,4,383100
1,53,323886,157,157,25,0,11,323095
0,89,571633,47,47,10,0,7,570836
0,13,663114,17,17,2,1,20,662260
1,23,826530,13,13,18,0,19,825718
0,0,31139,60,60,21,0,47,29922
0,17,1229889,175,175,19,0,18,1228786
0,80,1218003,106,106,0,0,20,1217665
0,4,290434,79,79,2,1,14,289571
1,5,1022329,213,213,18,0,14,1021526
1,1,27009,44,44,2,1,29,25858
1,97,987733,113,113,0,0,20,987176
1,33,11743,224,224,10,0,37,10985
1,25,295086,99,99,2,1,12,293887
1,63,941707,6,6,10,0,14,940901
0,59,12102,220,220,0,0,36,11231
0,48,1588977,122,122,31,0,18,1588012
0,61,644758,118,118,25,0,6,643769
1,90,17814,235,235,28,0,79,16873
1,96,750678,153,153,24,0,19,750031
1,44,1790,8,8,2,1,25,1116
1,64,7239,180,180,2,1,0,5971
0,40,41030,150,150,2,1,67,39978
0,0,19059,164,164,10,0,71,18244
1,4,1152958,193,193,2,1,14,1151783
0,73,1694274,67,67,24,0,20,1693627
1,34,2521,108,108,2,1,57,1283
0,72,247509,143,143,10,0,15,246700
0,97,684782,56,56,30,0,20,683826
0,8,1070767,194,194,10,0,14,1069991
0,25,137805,156,156,2,1,12,136807
1,8,461022,201,201,29,0,14,460051
0,46,1577124,187,187,11,0,19,1576114
1,0,11189,49,49,22,0,45,10047
0,102,5008,9,9,10,0,26,4142
0,0,39296,61,61,21,0,47,38151
1,5,375903,35,35,19,0,4,374896
0,91,12268,236,236,21,0,80,10958
1,80,2029082,21,21,21,0,20,2027874
0,27,13009,151,151,22,0,67,11804
0,89,550504,48,48,10,0,7,549704
1,66,7162,223,223,10,0,37,6368
0,34,556235,168,168,2,1,1,555144
0,72,1148502,228,228,10,0,15,1147669
0,76,381597,15,15,2,1,10,380962
