Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position
1,13483838,100,0,13482798
1,10815148,84,1,10814110
0,6955492,54,0,6953756
1,8380600,65,1,8379902
1,9240256,75,4,9238329
0,9377132,78,4,9376461
0,3221626,27,4,3220494
1,2102690,15,10,2100093
0,20755404,143,1,20753741
1,12160930,92,7,12160046
0,2680808,19,15,2679423
0,1401408,10,0,1400647
0,20867515,144,0,20866022
1,9200825,74,4,9199485
0,6638754,53,3,6637225
0,6441604,52,1,6440312
1,15741,0,17,14537
0,18526135,133,0,18525296
0,5430215,43,21,5429553
0,9310089,76,1,9309220
1,17383110,123,4,17381675
1,23649517,155,1,23648664
1,6362947,51,4,6361372
1,12665749,96,0,12664313
0,20333137,141,0,20331131
1,2737107,20,4,2736457
0,981427,6,4,980799
0,3054496,24,3,3053067
0,2642795,18,15,2641014
0,3511059,31,4,3509868
0,14412758,108,22,14411913
1,23514561,154,0,23513521
0,15376311,113,17,15375121
0,4838125,39,8,4836803
0,12246771,93,1,12245099
0,18735986,134,14,18734498
1,7567593,59,0,7566580
0,3453161,30,0,3451287
1,18766836,135,1,18765534
1,7857029,61,0,7856016
0,13282465,99,24,13280789
0,2579015,16,10,2576673
0,14839696,111,1,14837926
0,11412405,86,1,11411355
0,13967339,105,15,13965975
1,34835,165,18,33567
1,7776355,60,0,7775540
1,4299137,34,3,4297472
1,13580138,101,1,13578653
0,11497432,88,1,11496159
0,8750931,70,0,8750116
0,8422594,66,2,8420066
0,14931220,112,0,14928527
0,3097194,25,0,3096508
1,12488986,94,1,12486822
1,6016720,47,1,6015477
1,1662089,13,4,1659698
0,14479105,110,1,14478302
1,11473094,87,0,11472201
1,2912105,22,0,2911437
0,938369,5,1,937674
0,24218799,160,0,24217882
1,18429380,131,1,18428231
0,421354,1,10,418907
1,2597044,17,13,2596686
1,22342311,151,0,22341328
1,23902858,158,1,23901544
1,15398283,114,0,15396637
1,42748,167,13,41047
1,2862968,21,4,2861630
0,11737964,91,1,11736173
1,16416071,119,19,16413631
1,23866829,157,1,23865703
0,16025845,118,7,16025135
1,11600931,89,1,11599714
0,563875,4,5,561461
0,6088421,48,0,6085950
0,13013122,98,0,13011857
1,16835079,120,20,16833925
1,19131431,137,10,19128978
1,6835,163,13,4667
1,21425326,148,0,21423191
0,17573162,126,0,17572161
0,6956172,55,1,6955569
0,17736253,128,1,17735340
0,6283351,50,1,6282458
1,4102721,33,11,4101290
0,14476110,109,2,14473687
1,3312359,29,0,3311109
1,12849258,97,1,12848426
0,2003214,14,4,2002366
1,17401205,124,12,17399302
1,16920482,121,17,16919435
1,8297673,63,1,8296462
1,3235158,28,1,3233849
0,19651669,139,0,19648997
1,4365383,35,21,4363173
0,9136441,73,12,9134295
1,17627223,127,1,17625592
0,3802426,32,12,3800009
1,15431493,115,9,15429022
1,40361,166,16,37650
1,10601584,81,1,10600723
1,5210452,41,23,5209340
1,13980614,106,1,13979644
0,21703774,149,1,21701900
1,18038313,129,1,18037247
0,23311866,153,1,23310921
1,4622430,37,21,4620634
0,8068432,62,1,8066724
0,3049161,23,23,3048399
0,424362,2,20,423166
1,10835283,85,0,10832824
1,8836279,71,6,8834339
1,8377941,64,1,8377093
1,21033305,146,0,21032577
1,21840929,150,0,21839502
0,8706530,69,2,8704372
0,448516,3,15,445739
1,1005104,7,1,1003707
1,5764705,46,1,5763288
1,20567359,142,0,20566544
0,13953853,104,0,13952477
0,1044324,9,4,1043726
1,18150907,130,4,18149782
1,7207112,57,0,7205454
1,20915947,145,0,20914958
1,14201412,107,20,14200354
1,19133424,138,0,19132048
1,22586503,152,7,22583996
1,6170322,49,1,6168823
1,5212347,42,0,5211163
0,10790484,83,0,10789222
0,4756236,38,4,4754812
1,19032389,136,0,19030515
0,24324304,161,1,24323249
0,18449802,132,1,18448896
0,5646569,45,0,5645517
1,4431456,36,25,4430512
0,8662629,68,0,8661322
1,1565906,12,4,1564519
0,5596435,44,1,5595701
0,17542792,125,1,17541345
1,24075061,159,1,24073248
0,13813861,102,0,13812362
0,3098509,26,0,3097631
1,17214370,122,15,17212826
0,23718778,156,1,23717642
1,9294,164,13,6891
1,4910787,40,4,4909550
1,15742919,116,0,15740403
0,13816694,103,15,13815414
0,16024976,117,7,16024497
0,10514318,80,0,10512900
0,9311660,77,0,9310200
1,11655236,90,0,11654436
0,8661219,67,0,8660182
1,7303713,58,4,7302490
1,12567288,95,1,12566661
1,24717108,162,1,24715475
1,1471242,11,1,1469688
0,21107478,147,1,21106076
1,7009171,56,1,7008393
1,10634319,82,0,10632709
1,1005618,8,1,1005001
0,8987276,72,3,8985246
1,20286216,140,4,20285100
1,10429864,79,4,10428729
