StrandOrientation,GeneDescription,GenomicEndPosition,GeneDbId,ChromosomeLocation,EncodedProtein,GenomicStartPosition
0,0,457299,23,18,5,444493
1,0,619973,32,25,9,615033
1,0,600126,1,0,5,586135
0,0,1468307,49,38,5,1454373
1,0,1085442,48,37,5,1072750
1,0,201028,116,44,3,198806
0,0,581702,93,64,5,580836
0,0,2295923,57,52,5,2283465
0,0,371878,14,11,5,357770
0,0,71996,97,62,6,70521
1,0,174817,122,74,8,161213
0,0,1061578,8,6,5,1048943
1,0,173849,71,55,5,160050
0,0,70420,96,62,6,68651
1,0,3524450,53,51,5,3523044
1,0,1128847,17,14,5,1116164
1,0,151125,114,43,5,146248
0,0,225452,81,69,6,219942
1,0,228655,62,50,2,216317
1,0,50841,113,43,5,46996
0,0,10553720,107,46,6,10551144
1,0,252137,61,49,5,238338
0,0,3008823,54,52,5,2996095
0,0,6424585,105,46,5,6421568
0,0,318888,15,12,2,306757
0,0,1492996,4,2,0,1480268
1,0,223727,47,37,5,211032
0,0,441009,34,26,5,428203
1,0,534020,12,9,5,520023
0,0,672069,63,53,5,659329
0,0,584215,5,3,5,569336
1,0,717468,90,67,6,715738
1,0,160124,115,43,6,152517
1,0,734032,37,29,0,720668
1,0,87262,121,74,7,74336
0,0,1324696,124,76,8,1314128
0,0,938171,58,47,5,925431
1,0,676825,79,70,0,663824
1,0,149332,85,68,0,139650
0,0,69098,112,42,5,55130
0,0,792589,73,57,5,778640
0,0,10979405,108,46,5,10975584
1,0,580175,41,32,9,575436
0,0,1038075,46,36,4,1025062
0,0,314367,25,20,2,302236
0,0,947681,56,52,9,942792
1,0,717862,55,52,1,704939
0,0,2397623,127,77,8,2385656
1,0,563442,92,60,6,561070
1,0,709031,45,36,5,695619
0,0,949894,120,73,5,937136
1,0,1119485,9,7,5,1106802
1,0,241937,28,22,5,229227
1,0,515155,11,9,9,510416
0,0,1294761,64,58,5,1282333
1,0,5454,74,72,6,1
0,0,3094462,98,40,5,3081740
0,0,4078385,103,46,9,4076808
0,0,157361,69,54,5,143442
1,0,139548,94,68,4,137248
0,0,3193108,128,77,8,3180295
0,0,1378834,3,2,5,1364903
0,0,635517,110,41,6,626020
0,0,1600122,30,23,0,1587397
1,0,529652,22,17,5,515655
1,0,731930,26,21,0,718563
0,0,1261917,109,39,5,1249471
1,0,164301,60,49,0,151603
0,0,964483,126,77,8,950707
0,0,410325,2,1,5,397522
1,0,510792,21,17,9,506053
0,0,910191,67,59,5,896215
1,0,85425,70,55,5,72727
0,1,75479,95,61,5,74337
0,0,6427643,106,46,10,6425472
0,0,614264,42,33,5,599991
0,0,1580859,50,38,5,1568134
0,0,634757,35,27,5,620481
1,0,199249,72,56,2,186911
1,0,210224,117,44,3,202224
1,0,581361,0,0,9,576625
0,0,834098,123,75,8,819223
0,0,542942,86,65,5,540299
0,0,73304,78,62,5,72098
0,0,1514650,18,15,5,1500713
0,0,1627490,19,15,5,1614765
0,0,580734,76,64,6,579673
0,0,381319,36,28,5,367262
1,0,233750,87,68,5,219942
1,0,231783,38,30,5,218968
0,0,957695,102,40,9,952806
0,0,644056,13,10,5,629783
1,0,638624,33,25,5,624630
0,0,1775289,40,31,0,1762564
0,0,305767,44,35,2,293630
0,0,884467,119,45,6,876683
1,0,669741,16,13,5,656374
0,0,391876,10,8,5,379364
0,0,381521,20,16,5,369003
0,0,639154,111,41,5,636371
1,0,695805,99,40,6,694381
1,0,715633,84,67,5,711587
0,0,916536,68,59,9,911647
0,0,1487406,29,23,5,1473469
0,0,951898,101,40,5,948374
1,0,685191,66,59,5,672268
0,0,579571,77,64,5,578176
1,0,493101,52,51,5,482755
0,0,948248,100,40,6,945084
0,0,1039784,27,21,4,1026768
0,0,324762,6,4,5,310609
0,0,370561,43,34,5,356453
0,0,636389,24,19,5,622116
0,0,231261,59,48,5,217342
0,0,2983364,65,59,5,2970636
0,0,304422,7,5,2,292291
1,0,731926,91,66,5,730488
1,0,217766,89,66,6,210390
1,0,718258,125,77,5,705344
0,0,224159,83,63,5,211680
0,0,4445734,104,46,6,4440768
0,0,1820,80,71,5,3
0,0,374703,31,24,5,362185
1,0,482385,51,51,5,480673
0,0,876422,118,45,6,870384
1,0,213239,75,67,6,212181
1,0,1098171,39,30,5,1085494
0,0,550185,82,65,4,543043
1,0,717905,88,66,6,712659
