script_type,name_distinction,alternative_name,name_type,name_description,caverphone_code,language,commons_category,nederlandse_voornamenbank_id,nominis_given_name_id,native_name,soundex_code
1,27,26,0,0,25,2,26,14,16,26,22
1,26,19,0,0,24,1,25,20,11,25,21
1,15,17,0,0,12,2,14,12,16,14,10
1,26,19,0,0,24,1,25,20,11,25,21
1,20,21,0,0,20,4,18,15,2,18,16
1,18,20,0,0,22,10,28,22,16,28,14
1,26,19,0,0,24,1,25,20,11,25,21
1,18,20,0,0,22,10,28,22,16,28,14
1,8,9,0,0,4,2,7,6,14,7,5
1,17,18,0,0,16,1,15,13,13,16,13
1,11,14,0,0,0,9,10,9,16,10,8
1,21,23,0,0,19,0,19,16,1,19,15
1,5,5,1,2,10,4,5,4,5,5,2
1,6,7,0,0,27,10,6,5,16,6,4
1,24,25,0,0,23,6,23,18,10,23,20
1,0,0,0,0,5,1,0,0,16,0,0
1,13,13,0,0,14,10,12,10,3,12,11
1,25,25,0,0,23,1,24,19,16,24,20
1,14,15,0,0,15,9,13,11,0,13,12
1,16,16,0,0,13,6,16,14,16,15,10
1,22,24,0,0,6,1,20,17,16,20,18
1,2,2,0,0,3,6,2,1,7,2,1
1,23,11,0,0,6,4,21,14,6,21,18
1,12,6,0,0,11,5,11,14,8,11,9
1,4,4,0,0,9,10,4,3,12,4,3
1,1,1,0,0,2,7,1,14,16,1,1
1,18,20,0,0,22,10,28,22,16,28,14
1,3,3,0,0,1,4,3,2,15,3,14
1,19,22,0,0,18,6,17,14,9,17,17
1,2,2,0,0,3,6,2,1,7,2,1
1,28,27,0,0,26,3,27,21,4,27,23
0,7,8,0,1,17,8,16,14,16,29,14
1,9,10,0,0,7,5,8,7,16,8,6
1,10,12,0,0,8,10,9,8,16,9,7
1,9,10,0,0,7,5,8,7,16,8,6
1,4,4,0,0,9,10,4,3,12,4,3
1,18,19,0,0,21,7,22,14,16,22,19
1,11,14,0,0,0,9,10,9,16,10,8
