Gene_Classification,Genomic_End_Position,Gene_Id,Gene_Db_Id,Orthologous_Gene_Id,Encoded_Protein,Gene_Type,Genomic_Start_Position,Strand_Orientation
0,15360565,26,26,0,0,0,15358853,0
0,12513680,23,23,4,1,0,12512236,1
0,2887522,5,5,4,0,0,2884196,1
0,7460551,12,12,4,0,0,7459967,1
0,2385948,3,3,4,0,0,2384263,1
0,1224915,2,2,0,1,0,1223366,0
0,17428676,32,32,3,3,0,17427897,1
0,9603600,20,20,4,3,0,9602386,1
0,20691680,37,37,2,0,0,20687577,0
0,20084058,36,36,2,0,0,20081842,0
0,22917396,41,41,3,0,0,22916293,0
0,7156671,10,10,4,0,0,7153471,1
0,3388596,6,6,0,0,0,3386035,0
0,7442496,11,11,0,3,0,7441054,0
0,8721067,18,18,4,1,0,8720480,1
0,13088041,24,24,0,1,0,13087050,1
0,22919345,42,42,2,1,0,22917489,0
0,21160683,38,38,2,1,0,21158294,0
0,8892434,19,19,0,0,0,8890575,0
0,5683900,8,8,4,0,0,5682041,1
0,14601803,25,25,0,0,0,14599311,0
0,21202044,39,39,3,3,0,21201277,0
0,16695976,28,28,3,0,0,16693409,1
0,9862316,22,22,4,3,0,9860879,1
0,17427877,31,31,3,0,0,17426891,1
1,767777,0,0,1,2,1,765565,0
0,8493706,15,15,0,1,0,8492307,1
0,996955,1,1,4,0,0,994757,1
0,18876950,34,34,3,1,0,18876013,0
0,17031788,30,30,2,3,0,17030570,1
0,15535592,27,27,4,0,0,15533634,1
0,8720335,17,17,0,1,0,8719457,1
0,19880381,35,35,2,0,0,19879143,1
0,4764197,7,7,4,0,0,4763523,0
0,8719393,16,16,4,1,0,8718089,1
0,8100373,13,13,4,0,0,8099708,0
0,24181479,43,43,2,1,0,24178167,1
0,8285550,14,14,0,3,0,8284912,1
0,2743380,4,4,4,3,0,2741554,0
0,18569916,33,33,2,0,0,18567811,1
0,6803015,9,9,0,0,0,6802419,1
0,9660409,21,21,0,4,0,9659774,1
0,21851320,40,40,3,0,0,21850049,1
0,16883348,29,29,2,1,0,16882523,1
