GeneClassification,GenomicEndPosition,GeneId,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition,StrandOrientation
1,435022,85,85,1,14,434327,1
1,905931,43,43,1,8,905182,0
1,570089,27,27,1,8,569511,0
1,435780,39,39,1,9,435106,0
1,1654501,41,41,1,12,1653854,1
1,755,54,54,1,18,93,0
1,605502,68,68,1,5,604933,1
1,1565614,1,1,1,12,1565111,1
1,37689,21,21,1,24,37021,0
1,4852,24,24,1,25,4175,1
1,509037,87,87,1,2,508240,0
1,1091842,80,80,1,9,1091081,0
1,624606,13,13,1,13,623983,0
0,1204819,53,53,0,14,1204091,0
1,1064488,67,67,1,8,1063814,0
1,1153891,10,10,1,11,1153361,0
0,226568,59,59,0,1,225903,0
0,1728460,2,2,0,12,1728161,0
1,2105453,22,22,1,13,2104848,1
1,179239,37,37,1,10,178622,1
1,1142124,78,78,1,9,1141357,0
1,430900,26,26,1,6,430274,0
1,23414,75,75,1,36,22770,1
1,1104782,82,82,1,9,1104102,0
1,743660,15,15,1,14,742947,1
0,487905,31,31,0,1,487330,0
1,1560119,61,61,1,12,1559271,1
1,674303,16,16,1,14,673725,0
1,59496,23,23,1,15,58780,0
1,947466,44,44,1,8,947014,1
1,458055,69,69,1,8,457426,1
1,17347,19,19,1,23,16595,0
1,16318,35,35,1,28,15653,0
1,829209,73,73,1,8,828511,0
0,388745,86,86,0,2,388080,1
1,28212,64,64,1,34,27637,0
1,1690792,3,3,1,12,1690151,1
1,547641,33,33,1,3,547144,1
1,9043,55,55,1,18,8369,0
1,738855,28,28,1,8,738181,0
1,590414,57,57,1,0,589821,1
1,136301,83,83,1,7,135930,0
1,1192387,81,81,1,9,1191707,0
1,17274,11,11,1,21,16765,1
0,430064,7,7,0,1,429414,1
1,18257,76,76,1,37,17595,1
1,7133,46,46,1,30,6462,0
1,17466,30,30,1,26,16792,0
1,1732531,56,56,1,12,1731896,0
1,1702393,4,4,1,12,1701380,1
1,7796,51,51,1,32,7137,0
1,1607447,40,40,1,12,1606965,1
1,71817,9,9,1,20,71311,0
1,1682099,6,6,1,13,1681482,0
1,11162,77,77,1,38,10509,0
1,20358,63,63,1,34,19783,1
1,1507852,60,60,1,12,1507205,1
1,840636,5,5,1,13,840031,1
1,1661430,18,18,1,12,1660327,1
1,9429,45,45,1,29,8836,0
1,696859,34,34,1,13,696377,0
1,2529,29,29,1,17,1873,1
1,478865,38,38,1,9,478194,1
1,4297,74,74,1,35,3704,1
1,974933,47,47,1,13,974307,0
1,2154696,62,62,1,13,2154196,0
1,5579,84,84,1,39,4953,1
1,1172053,79,79,1,9,1171373,0
1,1154177,66,66,1,8,1153497,1
1,25270,49,49,1,31,24593,0
1,468982,17,17,1,0,468374,0
1,1728056,36,36,1,12,1727928,0
1,490761,71,71,1,8,490084,0
1,524975,58,58,1,0,524382,1
1,587573,72,72,1,8,586902,0
1,4340,20,20,1,23,3579,0
1,5600,52,52,1,33,4947,1
1,40393,25,25,1,16,39713,0
1,3403,12,12,1,22,2810,0
1,10604,8,8,1,19,9996,0
1,1266,0,0,1,40,595,0
1,475933,70,70,1,8,475256,0
1,989314,48,48,1,13,988862,0
1,1528548,14,14,1,14,1527883,0
1,472195,50,50,1,4,471323,1
1,4574,32,32,1,27,3870,0
0,1721960,42,42,0,12,1721430,0
1,68829,65,65,1,34,68515,1
