GeneClassification,GenomicEndPosition,GeneDbId,GeneType,GenomicStartPosition,EncodedProteinDescription,StrandOrientation
0,373963,27,0,372953,21,1
0,257891,50,0,256881,20,1
0,235050,56,0,234100,21,1
0,213667,38,0,212129,16,0
0,587198,71,0,585768,14,1
0,2377,104,0,1157,10,1
0,1290307,45,0,1289624,3,0
0,318674,67,0,317781,21,1
0,340298,29,0,339360,21,0
1,3259,102,1,2075,2,1
1,2882,69,1,2106,2,0
1,441837,113,1,440959,2,1
0,426250,88,0,425120,21,0
0,575815,95,0,574721,21,1
0,14514,80,0,13402,21,1
0,705562,22,0,704282,3,0
1,217615,120,1,216422,2,0
0,553985,24,0,552546,16,0
0,2612,2,0,1824,1,0
1,669822,44,1,668569,2,1
1,220225,39,1,218687,2,0
0,86161,14,0,85631,0,1
1,539819,18,1,538632,2,1
0,762518,23,0,761364,3,0
0,633557,4,0,632190,3,0
0,272650,51,0,271751,21,1
1,117411,119,1,116032,2,0
1,283947,40,1,282400,2,0
0,319749,111,0,318496,3,0
0,368482,28,0,367493,21,1
0,502004,91,0,500910,21,1
0,549818,100,0,548385,14,1
0,523271,17,0,522144,6,1
0,626457,20,0,625132,3,0
0,307709,76,0,306750,21,0
1,267266,52,1,266289,2,1
0,747400,64,0,746270,3,1
0,496221,90,0,495283,21,1
0,29669,79,0,28731,20,0
1,20974,81,1,19538,2,1
0,617521,98,0,616619,21,1
0,1080003,106,0,1078741,7,1
0,1798125,75,0,1796725,3,0
1,427442,60,1,425919,2,0
0,431585,89,0,430644,21,0
1,2899,109,1,1952,2,0
1,1905561,49,1,1904098,2,1
1,64367,68,1,62844,2,1
0,263994,8,0,262717,10,0
1,924009,58,1,922486,2,0
0,288343,117,0,287549,21,1
0,514203,114,0,514066,1,0
0,722553,63,0,721447,3,1
1,1706820,5,1,1705558,23,1
0,212824,57,0,211883,21,1
0,444750,87,0,443839,21,1
0,493306,84,0,491759,16,0
0,245389,41,0,244757,1,0
0,437122,86,0,436220,20,0
0,1855873,26,0,1854422,21,1
0,518865,115,0,517981,11,0
0,544003,97,0,543026,21,1
1,286679,59,1,285567,2,0
0,28060,82,0,27086,20,1
1,714,42,1,1,2,1
0,456889,101,0,455630,5,1
1,14110,53,1,13145,2,1
0,21643,54,0,20600,21,0
0,1556126,74,0,1554660,14,1
0,622717,37,0,621833,12,0
0,496985,116,0,495984,8,1
0,16755,13,0,15559,4,1
0,17420,33,0,16842,4,0
0,284733,112,0,283762,22,0
0,218013,32,0,216889,10,0
0,489099,94,0,488107,21,1
1,400752,61,1,399232,2,0
0,1562,19,0,393,20,1
0,514924,66,0,514307,0,0
0,19265,77,0,18156,21,1
0,1056372,105,0,1055425,9,1
0,67859,15,0,66546,3,0
0,514925,16,0,513729,6,1
0,315559,118,0,315128,0,1
0,1977944,47,0,1976967,21,0
0,229688,55,0,228501,20,1
0,1862763,25,0,1861267,3,1
1,604409,96,1,603339,2,1
0,2058209,7,0,2056686,24,1
0,541977,108,0,540886,10,1
0,25674,103,0,24613,1,0
0,449733,1,0,448939,1,0
0,579257,43,0,578298,20,1
0,1593162,46,0,1591861,13,0
0,507159,92,0,506107,21,1
0,437723,35,0,436782,21,1
0,1564652,0,0,1564452,1,1
0,625575,99,0,624448,21,1
0,1263503,73,0,1262121,17,0
0,220328,30,0,219990,0,1
0,418436,34,0,417618,21,0
0,3154,83,0,2129,21,0
0,48657,11,0,47974,5,1
0,481887,93,0,480445,16,1
0,24337,78,0,23213,19,0
1,546194,72,1,544968,2,1
0,273888,85,0,272725,21,1
0,9331,12,0,7841,15,0
0,1679690,6,0,1678407,3,0
0,976612,65,0,975470,4,0
0,1505678,21,0,1504257,21,0
0,190441,10,0,189542,21,0
1,463276,62,1,461756,2,0
1,381686,70,1,380409,2,1
0,8433,110,0,7429,21,0
0,212508,31,0,211570,21,1
1,347997,36,1,346477,2,0
0,1973004,48,0,1972075,21,1
0,197165,9,0,196203,7,1
0,1698039,3,0,1696570,16,1
0,1127958,107,0,1127086,18,1
