GeneClassification,GenomicEndPosition,GeneDbId,EncodedProtein,ChromosomeId,GenomicStartPosition,StrandOrientation
0,155219,154,7,2,154221,0
1,434666,127,2,16,433053,0
0,1524263,35,16,22,1522857,0
0,919364,84,12,21,918156,0
0,10687,110,17,33,9590,0
0,1108489,109,25,22,1107152,1
0,33930,48,17,30,32737,0
0,340376,72,1,4,339975,0
0,566165,33,20,8,564966,0
1,6500,30,2,28,5433,0
1,496522,94,2,10,495068,1
0,447552,1,0,16,446896,0
0,1494962,36,5,22,1493559,1
0,405983,7,1,18,405798,0
0,726501,38,10,22,725125,1
0,1117420,108,12,22,1116176,1
0,617159,56,25,5,615924,0
0,1404649,105,12,22,1403372,0
1,3182,21,2,34,2247,0
1,553803,91,2,12,552229,0
0,1359,81,0,31,532,1
1,492874,55,2,9,492284,0
0,512575,152,21,6,511070,0
0,831522,12,17,21,830434,1
0,7259,6,0,25,6249,0
1,452810,95,2,10,452175,0
0,68405,136,19,48,67296,1
0,1047742,141,19,21,1046660,1
0,526360,149,25,5,525035,1
0,1898756,44,19,22,1897875,1
0,1944921,122,0,22,1944244,0
0,2480,73,19,44,1071,1
0,437973,96,0,1,437293,1
0,209311,49,4,11,208193,1
0,1587887,120,10,21,1586445,1
1,1867030,43,2,22,1865636,0
0,15753,10,19,26,14641,0
0,580857,34,25,8,579490,0
1,10644,93,2,46,9307,1
0,367224,148,0,5,366097,0
0,1267766,60,12,22,1266495,1
0,1506761,116,24,20,1505442,1
0,626028,39,17,7,624868,1
0,290343,71,23,4,289018,0
0,1172370,107,12,22,1171051,0
1,411413,89,2,23,410007,1
0,42426,100,17,3,41221,0
0,532332,150,25,5,531106,1
1,1789020,70,2,21,1787623,1
0,523945,113,25,1,522770,1
0,601068,112,17,7,599905,1
0,151073,138,19,48,149964,0
0,1733432,126,23,22,1732098,0
1,924253,85,2,21,923378,1
0,1651899,45,17,22,1651012,1
0,228042,114,17,4,226948,0
0,432268,5,19,15,431189,0
0,1002291,87,17,21,1001194,0
0,1751668,125,5,22,1750310,0
0,211061,153,5,0,209817,0
1,18783,26,2,38,17596,0
1,65502,29,2,40,63997,0
0,754771,52,26,17,753767,1
0,2018230,119,17,21,2016848,0
0,207419,57,0,16,207000,0
0,598434,74,0,10,597786,1
0,1248251,61,15,22,1246854,1
0,559992,90,25,5,558766,1
0,231983,82,8,10,230514,1
0,423600,145,19,22,422017,0
1,9275,46,2,42,7716,1
0,2090497,20,5,22,2089121,1
0,472615,51,9,5,471425,0
0,412929,50,25,5,411703,0
0,1933792,4,1,22,1933010,0
1,1778404,124,27,22,1777100,1
0,1093548,134,18,18,1092211,0
0,1741983,15,11,21,1740772,0
0,437003,64,1,18,436320,0
0,155993,111,22,19,154689,1
0,146779,92,6,10,145715,1
1,379854,78,2,15,379126,0
1,1015761,63,2,22,1014583,0
0,1277102,65,24,20,1275858,0
0,308539,80,15,18,307640,0
1,52782,135,2,48,51379,1
1,852,47,2,30,1,0
0,233697,2,0,11,233434,1
0,1601313,68,20,20,1599847,0
1,2053277,19,27,22,2051877,1
1,597683,128,2,10,596868,1
1,23787,25,2,37,22417,0
0,494627,40,23,1,493452,0
0,1622991,121,0,21,1622125,1
1,169772,31,2,13,168840,1
0,1413484,11,25,22,1412150,0
0,54854,27,0,38,53844,0
0,2157389,42,10,22,2156019,0
0,6378,58,17,43,4900,1
0,439354,101,17,12,437786,0
1,1072628,132,27,18,1071504,0
0,211328,151,19,8,209856,1
0,59441,99,19,3,58461,0
1,1804221,69,2,21,1803316,1
0,1547471,117,21,20,1546002,1
1,1143832,133,2,18,1142492,0
1,6733,24,2,36,6122,0
0,12244,28,17,39,11150,0
0,1499180,115,21,20,1497708,0
0,67849,98,19,3,66767,0
0,340851,8,0,4,340480,0
0,298468,77,17,15,296987,0
0,586,0,1,32,2,0
0,1398991,106,16,22,1398122,0
0,458510,16,0,4,457881,1
0,899374,75,3,17,898190,0
0,13267,22,0,35,11954,0
1,1459767,37,2,22,1458433,0
0,7956,32,22,29,6742,1
1,162444,139,27,48,161326,0
0,484137,79,17,15,482659,0
1,262696,59,2,13,261617,0
0,1683736,13,17,21,1682645,0
0,497535,155,0,12,496600,0
1,114367,137,2,48,112967,0
0,799780,140,0,14,799199,0
1,417432,102,2,12,415855,0
0,1420721,67,25,20,1419405,0
0,318880,147,17,5,317777,1
0,799094,54,1,14,798498,0
0,8841,17,19,27,7366,1
0,37052,129,26,47,35940,0
0,1361937,104,17,22,1361035,1
0,174865,131,12,9,173582,1
0,485,3,1,24,3,1
0,27971,83,6,45,26910,1
0,403184,97,23,1,402012,0
0,85134,88,14,13,83866,1
0,1951553,123,16,22,1950669,0
1,1386264,103,2,22,1384861,0
1,2074708,18,2,22,2073437,1
1,1071422,143,2,21,1070148,1
0,987463,86,0,21,986558,0
0,383794,23,19,22,382214,0
1,1365596,66,27,20,1364481,0
0,936561,76,0,17,935551,0
0,1026521,62,19,22,1025604,0
0,24760,144,17,49,23234,1
0,304330,146,19,5,303281,1
0,17944,130,17,47,16457,1
1,813285,53,2,17,812281,0
0,1672453,14,5,21,1671053,0
0,349644,9,23,4,348280,0
0,1558841,118,0,20,1557681,1
0,6048,41,11,41,4708,0
0,1065367,142,13,21,1064159,1
