profession,profile_image,cycle_base_cyclist_id,cq_ranking_male_cyclist_id,commons_category,social_media_followers,pro_cycling_stats_cyclist_id,memoire_du_cyclisme_cyclist_id,biography,birth_place,uci_rider_id,native_name,weight_kg,birth_date,sports_team,olympedia_people_id,first_name,cycling_archives_cyclist_id,first_cycling_rider_id,gender,height_cm,freebase_id
0,26,,13274.0,20,11887.0,140884.0,54534.0,15,25,54576.0,9,67.0,9,18,125029.0,18,15712.0,1008.0,0,180.0,9
0,20,,,0,,213282.0,,16,14,564239.0,10,,26,12,,0,159824.0,64479.0,0,174.0,17
0,13,27342.0,5252.0,15,1586.0,140378.0,11943.0,21,21,32617.0,10,64.0,6,4,,14,16285.0,909.0,0,174.0,6
0,2,16289.0,5.0,2,470645.0,140924.0,19443.0,17,16,14575.0,10,61.0,0,9,103634.0,2,7005.0,38.0,0,177.0,8
0,9,43387.0,14321.0,12,,140505.0,54516.0,18,18,422366.0,5,60.0,8,11,133661.0,11,24864.0,2977.0,0,173.0,14
0,1,46381.0,18610.0,13,77168.0,137427.0,56596.0,12,23,71557.0,6,62.0,14,15,133837.0,12,63999.0,12474.0,0,173.0,0
0,14,,20784.0,16,10912.0,172104.0,,11,2,88551.0,13,58.0,16,13,142385.0,19,83510.0,18117.0,0,173.0,1
0,11,19558.0,3828.0,10,65423.0,140870.0,5609.0,9,8,34012.0,10,69.0,2,17,113255.0,10,21215.0,264.0,0,182.0,7
0,4,47686.0,17534.0,11,8603.0,140333.0,45660.0,17,15,59773.0,4,72.0,12,11,142502.0,20,37589.0,2325.0,0,183.0,15
0,15,43388.0,14319.0,18,67673.0,140293.0,54517.0,18,17,68367.0,10,63.0,10,1,,16,58588.0,2278.0,0,173.0,12
0,25,11585.0,1994.0,26,569371.0,140778.0,16105.0,14,13,28378.0,12,65.0,1,1,111576.0,26,13069.0,133.0,0,181.0,10
1,8,19255.0,3891.0,7,508772.0,140196.0,19127.0,20,5,32532.0,2,71.0,4,8,113194.0,7,11292.0,716.0,0,183.0,3
0,16,83295.0,28377.0,21,84000.0,212377.0,,2,0,587366.0,11,62.0,25,15,141007.0,21,141854.0,84019.0,0,171.0,17
0,7,16313.0,3333.0,8,134950.0,140752.0,19461.0,2,11,44513.0,3,74.0,3,4,126409.0,8,18746.0,150.0,0,181.0,4
0,10,69878.0,26378.0,9,,206876.0,,6,19,162777.0,10,,21,7,,9,118440.0,61639.0,0,168.0,17
0,17,,25029.0,22,,196900.0,,0,7,88623.0,10,66.0,18,0,,22,91470.0,52660.0,0,178.0,17
0,3,,27716.0,25,1122.0,209286.0,,10,6,109481.0,10,68.0,24,14,,25,111158.0,78129.0,0,190.0,17
0,21,60759.0,22794.0,5,37069.0,168760.0,,17,1,86857.0,10,61.0,17,10,,5,81087.0,1527.0,0,177.0,17
0,19,56666.0,18975.0,1,32176.0,133024.0,64111.0,5,4,70590.0,10,58.0,15,16,133999.0,1,65132.0,20147.0,0,172.0,16
0,12,65227.0,26509.0,14,,194909.0,,19,3,111440.0,7,57.0,22,2,146670.0,13,99609.0,46163.0,0,173.0,17
0,18,39842.0,12843.0,19,1311517.0,140292.0,52504.0,7,24,67388.0,8,58.0,11,3,141955.0,17,57418.0,2276.0,0,166.0,13
0,24,49495.0,23426.0,6,29588.0,177246.0,,10,9,87061.0,1,,19,14,,6,88470.0,37748.0,0,181.0,17
0,5,,31634.0,4,,262718.0,,13,20,112281.0,10,,20,5,,4,170457.0,57961.0,0,184.0,17
1,6,23014.0,7606.0,3,95405.0,140501.0,9831.0,4,22,45633.0,0,68.0,7,8,111629.0,3,20340.0,828.0,0,179.0,5
0,23,3083.0,3366.0,23,24074.0,140270.0,2372.0,1,12,30329.0,10,63.0,5,6,132502.0,23,15181.0,568.0,0,175.0,11
0,0,47885.0,18123.0,17,21399.0,139801.0,55661.0,8,26,68832.0,10,71.0,13,17,1303133.0,15,58401.0,6309.0,0,179.0,2
0,22,66570.0,27708.0,24,,202331.0,,3,10,109775.0,10,58.0,23,19,143137.0,24,119805.0,65025.0,0,170.0,17
