GENE_SUBCLASS,GENOMIC_END_POSITION,GENE_DB_ID,GENE_LABEL,ENCODED_PROTEIN,GENE_TYPE,ORTHOLOGOUS_GENE,CHROMOSOME_ID,GENOMIC_START_POSITION,STRAND_ORIENTATION,HOST_TAXON
0,34252,88,78,0,0,0,8,31712,0,1
1,245828,94,84,1,1,7,9,243959,0,1
0,82510,103,93,0,0,30,11,79976,1,1
1,338001,131,121,1,1,18,15,335406,0,1
0,38197,128,118,0,0,6,15,35660,0,1
1,2211186,110,100,1,1,31,11,2208647,1,1
0,2284144,44,34,0,0,1,3,2281550,1,1
0,1278685,30,20,0,0,1,3,1276074,1,1
1,3080615,54,44,1,1,16,3,3078052,1,1
0,12057449,185,175,0,0,20,16,12054009,0,2
0,6329603,154,144,0,0,20,16,6326105,0,2
0,1979093,40,30,0,0,1,3,1976646,0,1
0,3402269,119,109,0,0,11,13,3399692,1,1
0,2673236,116,106,0,0,23,12,2670810,1,1
0,2737951,47,37,0,0,1,3,2735494,1,1
1,2697994,117,107,1,1,5,12,2697128,1,1
0,10451901,180,170,0,0,20,16,10450897,1,2
1,2035377,107,97,1,1,31,11,2034479,1,1
0,2783690,48,38,0,0,1,3,2780820,1,1
0,10894172,181,171,0,0,20,16,10893024,0,2
0,12368854,187,177,0,0,20,16,12366216,0,2
0,5264497,146,136,0,0,20,16,5261061,1,2
0,2806168,49,39,0,0,1,3,2803534,0,1
0,3525081,61,51,0,0,1,3,3522470,0,1
0,154298,14,4,0,0,1,3,151736,0,1
0,1042066,6,180,5,0,26,17,1034902,0,3
0,8640587,170,160,0,0,20,16,8637184,0,2
0,3157485,57,47,0,0,1,3,3154923,1,1
0,70044,84,74,0,0,17,7,67512,0,1
0,337900,96,86,0,0,14,9,335281,0,1
0,10016782,179,169,0,0,20,16,10013470,1,2
0,46969,74,64,0,0,28,5,44424,0,1
1,3143272,56,46,1,1,16,3,3141003,1,1
0,111772,82,72,0,0,27,6,109101,0,1
0,5405632,147,137,0,0,20,16,5405300,1,2
0,1281470,133,123,0,0,20,16,1278816,1,2
0,5828627,151,141,0,0,20,16,5825154,1,2
0,4993321,145,135,0,0,20,16,4990489,0,2
0,6732483,158,148,0,0,20,16,6729794,0,2
0,1241272,29,19,0,0,1,3,1238714,1,1
0,3107344,55,45,0,0,1,3,3104737,1,1
0,2722933,101,91,0,0,14,9,2720348,0,1
0,7813343,166,156,0,0,20,16,7810699,0,2
1,1624446,135,125,1,1,2,16,1623482,1,2
1,2207848,137,127,1,1,2,16,2205195,0,2
0,77693,11,1,0,0,1,3,75118,1,1
0,6715925,157,147,0,0,20,16,6713786,0,2
0,1449271,34,24,0,0,1,3,1446766,1,1
