GENE_SUBCLASS,ORTHOLOG_ID,GENOMIC_END_POSITION,GENE_ID,GENE_DB_ID,ENCODED_PROTEIN,GENE_TYPE,CHROMOSOME_ID,GENOMIC_START_POSITION,STRAND_ORIENTATION
0,23,1786847,65,65,0,0,0,1785821,1
0,24,2123033,225,225,0,0,9,2121981,0
0,12,154819,175,175,0,0,6,154022,1
1,2,2005679,74,74,1,1,0,2004696,1
0,23,545737,17,17,0,0,0,544797,1
0,23,727451,26,26,0,0,0,726416,0
0,11,1764239,162,162,0,0,4,1763508,0
0,24,2175621,227,227,0,0,9,2174909,0
0,17,2631052,245,245,0,0,12,2630098,0
1,2,1528688,54,54,1,1,0,1527763,1
0,5,13907,141,141,0,0,2,12933,1
0,23,3185796,108,108,0,0,0,3184809,0
0,20,1211877,136,136,0,0,1,1210906,1
1,14,2741232,209,209,1,1,7,2740189,0
0,23,3350446,111,111,0,0,0,3349469,0
0,12,69437,172,172,0,0,6,68407,1
0,23,2236648,79,79,0,0,0,2235660,0
1,10,2958958,256,256,1,1,12,2958174,0
0,23,3374873,112,112,0,0,0,3373889,0
1,2,2126124,77,77,1,1,0,2125348,0
0,23,845231,32,32,0,0,0,844259,0
0,9,117913,233,233,0,0,10,116867,1
0,1,132449,263,263,0,0,13,131407,1
0,5,1287410,148,148,0,0,2,1286397,0
1,2,914773,34,34,1,1,0,913902,0
0,23,3087645,106,106,0,0,0,3086711,0
0,20,1317363,139,139,0,0,1,1316438,0
0,23,1775441,64,64,0,0,0,1774454,1
1,10,2604343,243,243,1,1,12,2603401,0
0,23,434763,13,13,0,0,0,433749,0
0,23,240684,6,6,0,0,0,239723,0
0,9,83058,232,232,0,0,10,82100,1
0,3,2663503,207,207,0,0,7,2662569,0
0,23,2708277,91,91,0,0,0,2707301,1
0,23,841681,31,31,0,0,0,840713,0
0,23,694956,24,24,0,0,0,693924,0
1,2,2960312,100,100,1,1,0,2959559,1
1,21,292637,159,159,1,1,4,291670,1
0,23,1701321,61,61,0,0,0,1700384,1
0,12,42295,171,171,0,0,6,41246,1
0,23,312759,8,8,0,0,0,311723,0
0,24,69433,219,219,0,0,9,68481,1
0,9,20656,230,230,0,0,10,19677,1
0,23,2269235,81,81,0,0,0,2268255,0
0,11,1771461,163,163,0,0,4,1770454,0
0,23,1123510,43,43,0,0,0,1122552,1
0,17,2571118,241,241,0,0,12,2570141,0
0,23,2987289,102,102,0,0,0,2986294,1
1,2,175684,5,5,1,1,0,174773,0
0,3,90623,189,189,0,0,7,89650,1
1,15,155111,217,217,1,1,8,154099,1
0,23,3591099,119,119,0,0,0,3590238,1
0,23,3943402,131,131,0,0,0,3942518,1
0,23,1925586,70,70,0,0,0,1924600,1
0,3,2700655,208,208,0,0,7,2699685,0
0,23,566514,18,18,0,0,0,565550,1
0,3,173724,192,192,0,0,7,172733,1
0,17,2991514,257,257,0,0,12,2990543,0
0,5,1253998,145,145,0,0,2,1253021,0
0,23,605384,19,19,0,0,0,604369,1
0,3,220934,194,194,0,0,7,219956,1
0,23,2664333,89,89,0,0,0,2663373,1
0,23,1989967,73,73,0,0,0,1988968,1
0,3,2642245,206,206,0,0,7,2641489,0
0,23,2811023,93,93,0,0,0,2810056,1
0,23,2825953,94,94,0,0,0,2825009,1
0,17,2818375,250,250,0,0,12,2817354,0
0,23,1962233,72,72,0,0,0,1961243,1
0,23,705383,25,25,0,0,0,704423,0
0,23,1036988,40,40,0,0,0,1036017,1
0,17,2929889,254,254,0,0,12,2928926,0
0,23,1951701,71,71,0,0,0,1950744,1
1,2,621314,21,21,1,1,0,620361,0
0,20,1234677,137,137,0,0,1,1233707,1
0,23,3554822,117,117,0,0,0,3554085,1
0,12,22128,170,170,0,0,6,21118,1
0,23,2580660,84,84,0,0,0,2579676,1
1,2,2687685,90,90,1,1,0,2686888,1
0,5,1261944,146,146,0,0,2,1260960,0
1,2,2923780,97,97,1,1,0,2922814,1
1,22,2218428,229,229,1,1,9,2217492,0
0,1,98100,262,262,0,0,13,97104,1
0,11,194080,157,157,0,0,4,193107,1
0,24,2083278,224,224,0,0,9,2082312,0
0,4,34889,150,150,0,0,3,33931,1
0,24,89815,220,220,0,0,9,88823,0
0,23,3675676,122,122,0,0,0,3674736,1
0,23,1043987,41,41,0,0,0,1043027,1
0,17,2590362,242,242,0,0,12,2589354,0
0,3,2630816,205,205,0,0,7,2629838,0
1,21,1789660,165,165,1,1,4,1788675,0
0,23,3178788,107,107,0,0,0,3177802,0
0,3,2346965,199,199,0,0,7,2346009,0
0,3,127076,191,191,0,0,7,126066,1
0,23,3244723,110,110,0,0,0,3243964,0
1,14,320709,198,198,1,1,7,319707,0
1,13,250517,237,237,1,1,10,249557,1
1,8,1894910,177,177,1,1,6,1894237,0
0,11,278997,158,158,0,0,4,278392,1
1,21,8035,152,152,1,1,4,7042,1
1,21,311627,160,160,1,1,4,310667,1
0,5,1276401,147,147,0,0,2,1275562,0
1,2,613465,20,20,1,1,0,612696,1
0,23,63052,3,3,0,0,0,62038,0
0,23,3192903,109,109,0,0,0,3191963,1
0,24,2052986,223,223,0,0,9,2051981,0
0,17,2885211,252,252,0,0,12,2884260,0
0,23,3411054,113,113,0,0,0,3410011,0
0,1,204979,266,266,0,0,13,203989,1
1,0,1302731,138,138,1,1,1,1301798,0
0,23,3615342,120,120,0,0,0,3614358,1
0,23,2137083,78,78,0,0,0,2136116,0
0,23,829945,30,30,0,0,0,828981,0
0,23,2310802,82,82,0,0,0,2309816,0
1,2,1661637,60,60,1,1,0,1660898,1
0,23,3070241,105,105,0,0,0,3069280,0
0,3,80570,188,188,0,0,7,79583,1
1,22,1975350,222,222,1,1,9,1974370,0
0,23,3781213,125,125,0,0,0,3780167,1
0,12,1987656,179,179,0,0,6,1986653,0
0,9,243795,236,236,0,0,10,242828,1
0,23,1227129,47,47,0,0,0,1226153,0
1,22,2191993,228,228,1,1,9,2191163,0
0,23,1896974,69,69,0,0,0,1895961,1
1,8,196537,176,176,1,1,6,195815,1
0,23,2569200,83,83,0,0,0,2568416,1
0,12,2026638,180,180,0,0,6,2025643,0
0,23,2012514,75,75,0,0,0,2011537,1
0,4,143681,151,151,0,0,3,142743,1
0,23,350270,10,10,0,0,0,349232,0
0,23,961008,36,36,0,0,0,960057,0
0,23,818515,29,29,0,0,0,817520,0
0,11,1798060,166,166,0,0,4,1797042,0
0,20,74070,135,135,0,0,1,73103,1
1,14,2500826,202,202,1,1,7,2499858,0
0,23,3747742,124,124,0,0,0,3746758,1
0,24,96817,221,221,0,0,9,95832,0
0,23,1493581,53,53,0,0,0,1492608,0
0,23,2790671,92,92,0,0,0,2789740,0
0,1,164600,264,264,0,0,13,163581,1
0,12,81446,173,173,0,0,6,80444,1
0,3,2363219,200,200,0,0,7,2362256,0
0,23,3501883,116,116,0,0,0,3500926,1
0,23,1169323,45,45,0,0,0,1168314,1
0,23,2609560,87,87,0,0,0,2608581,1
1,2,37712,1,1,1,1,0,36728,0
0,3,2599688,203,203,0,0,7,2598686,0
0,23,3907034,130,130,0,0,0,3906026,1
0,23,756430,27,27,0,0,0,755452,0
1,10,2620539,244,244,1,1,12,2619563,0
0,20,1379,133,133,0,0,1,408,1
1,2,1719528,62,62,1,1,0,1718592,1
0,17,2922898,253,253,0,0,12,2921940,0
0,23,29762,0,0,0,0,0,28779,0
1,8,146994,174,174,1,1,6,146054,1
1,2,3832545,127,127,1,1,0,3831499,1
1,8,1944091,178,178,1,1,6,1943137,0
0,23,2931247,98,98,0,0,0,2930282,1
0,3,56587,187,187,0,0,7,55870,1
1,2,3864794,128,128,1,1,0,3863936,1
0,24,10066,218,218,0,0,9,9119,1
0,3,2768159,211,211,0,0,7,2767187,0
0,23,2970973,101,101,0,0,0,2969987,1
0,11,1819402,167,167,0,0,4,1818421,0
0,23,2886495,95,95,0,0,0,2885569,0
0,23,1029803,39,39,2,0,0,1028849,1
0,3,2799553,213,213,0,0,7,2798511,0
0,23,1831592,66,66,0,0,0,1830638,1
0,5,1202243,143,143,0,0,2,1201265,0
0,23,1323924,49,49,0,0,0,1322970,0
0,17,2950391,255,255,0,0,12,2949454,0
1,2,1609442,57,57,1,1,0,1608554,0
0,23,325126,9,9,0,0,0,324116,0
1,10,2866118,251,251,1,1,12,2865319,0
0,3,232090,195,195,0,0,7,231104,1
1,18,825304,168,168,1,1,5,824320,0
0,23,797603,28,28,0,0,0,796557,0
1,0,62075,134,134,1,1,1,61062,1
0,9,61311,231,231,0,0,10,60333,1
0,9,130190,234,234,0,0,10,129258,1
0,23,101259,4,4,0,0,0,100271,0
0,23,3485524,115,115,0,0,0,3484511,1
0,23,854400,33,33,0,0,0,853408,0
1,2,530848,16,16,1,1,0,529877,1
0,11,93901,155,155,0,0,4,93026,1
1,22,2164937,226,226,1,1,9,2163912,0
1,2,3565904,118,118,1,1,0,3564858,1
0,17,2718036,248,248,0,0,12,2717006,0
0,23,3958204,132,132,0,0,0,3957431,1
0,23,1842055,67,67,0,0,0,1841258,1
0,23,3896577,129,129,0,0,0,3895570,1
0,23,3626724,121,121,0,0,0,3625683,1
0,23,264759,7,7,0,0,0,263742,0
0,23,1863193,68,68,0,0,0,1862233,1
0,23,418380,12,12,0,0,0,417494,0
0,5,1314686,149,149,0,0,2,1313668,0
0,23,1158170,44,44,0,0,0,1157129,1
1,14,188127,193,193,1,1,7,187156,1
1,2,1104725,42,42,0,1,0,1103973,1
0,6,47733,215,215,0,0,8,46712,1
1,19,3129,140,140,1,1,2,2111,1
0,17,2491047,240,240,0,0,12,2490060,0
0,3,2611171,204,204,0,0,7,2610116,0
0,3,2751961,210,210,0,0,7,2751003,0
1,8,2075234,182,182,1,1,6,2074416,0
0,1,65837,260,260,0,0,13,64781,1
1,16,19593,238,238,1,1,11,18641,1
1,14,116363,190,190,1,1,7,115392,1
1,2,992940,37,37,1,1,0,992231,1
0,3,257930,196,196,0,0,7,256958,1
0,11,82197,154,154,0,0,4,81176,1
0,23,1206640,46,46,0,0,0,1205634,0
0,6,59985,216,216,0,0,8,58996,1
0,3,35674,185,185,0,0,7,34737,1
0,1,315605,267,267,0,0,13,314638,1
0,23,3008310,103,103,0,0,0,3007265,1
0,23,1632520,58,58,0,0,0,1631515,0
0,23,52191,2,2,0,0,0,51200,0
0,23,1435342,51,51,0,0,0,1434369,0
0,23,2247622,80,80,0,0,0,2246622,0
0,3,2402964,201,201,0,0,7,2401983,0
0,23,937139,35,35,0,0,0,936183,0
1,2,462656,14,14,1,1,0,461872,0
0,23,2647975,88,88,0,0,0,2647001,1
0,23,1550036,55,55,0,0,0,1549070,1
1,2,474134,15,15,1,1,0,473342,1
0,17,2659219,246,246,0,0,12,2658195,0
0,23,361388,11,11,0,0,0,360375,0
0,23,2598728,86,86,0,0,0,2597760,1
1,2,1305031,48,48,1,1,0,1304292,0
0,11,1753616,161,161,0,0,4,1752621,0
1,10,2694134,247,247,1,1,12,2693159,0
0,23,3821699,126,126,0,0,0,3820752,1
1,13,207934,235,235,1,1,10,206941,1
0,17,2729418,249,249,0,0,12,2728442,0
0,23,1647699,59,59,0,0,0,1646762,0
0,23,1456456,52,52,0,0,0,1455519,0
0,12,5080,169,169,0,0,6,4079,1
0,3,23469,184,184,0,0,7,22545,1
1,7,2821,258,258,1,1,13,1796,1
0,12,2037842,181,181,0,0,6,2036855,0
0,11,1782786,164,164,0,0,4,1781826,0
0,23,1758744,63,63,0,0,0,1757779,1
0,23,1410592,50,50,0,0,0,1409631,0
0,17,2410931,239,239,0,0,12,2409980,0
0,1,77248,261,261,0,0,13,76246,1
0,23,669332,23,23,0,0,0,668377,0
1,15,7509,214,214,1,1,8,6770,1
0,11,36053,153,153,0,0,4,35076,1
1,2,1571655,56,56,1,1,0,1570786,1
0,3,47279,186,186,0,0,7,46316,1
1,21,168621,156,156,1,1,4,168018,1
0,1,192905,265,265,0,0,13,191876,1
1,14,300350,197,197,1,1,7,299433,1
0,5,1190403,142,142,0,0,2,1189413,0
0,23,3699200,123,123,0,0,0,3698199,1
0,5,1242580,144,144,0,0,2,1241593,0
0,23,2901620,96,96,0,0,0,2900680,1
0,23,2595178,85,85,0,0,0,2594197,1
0,3,2787380,212,212,0,0,7,2786407,0
0,23,3422379,114,114,0,0,0,3421396,0
1,7,49077,259,259,1,1,13,48083,1
0,23,632947,22,22,0,0,0,631997,0
0,3,4464,183,183,0,0,7,3665,1
0,23,2023898,76,76,0,0,0,2022911,1
0,23,3035493,104,104,0,0,0,3034472,1
1,2,1004126,38,38,1,1,0,1003339,1
0,23,2953405,99,99,0,0,0,2952535,1
