GENE_SUBCLASS,GENE_TYPE,GENOMIC_START_POSITION,CHROMOSOME_ID,STRAND_ORIENTATION,GENE_LABEL,ENCODED_PROTEIN,GENE_DB_ID,ORTHOLOGOUS_GENE,GENOMIC_END_POSITION
0,0,1875234,0,1,8,0,8,6,1876035
0,0,2141417,0,0,11,0,11,6,2142187
1,1,274428,10,1,80,1,80,23,275277
0,0,260974,10,1,78,0,78,2,261853
1,1,37383,2,1,37,1,37,19,38228
0,0,2891529,0,0,19,0,19,6,2892413
0,0,11266,11,1,81,0,81,18,12142
0,0,2718513,0,1,17,0,17,6,2719283
1,1,1326221,1,0,35,1,35,16,1327109
0,0,67036,7,1,57,0,57,12,67908
1,1,158069,8,1,70,1,70,9,158919
0,0,3737984,0,1,27,0,27,6,3738822
0,0,2045803,6,0,55,0,55,4,2046644
1,1,2539532,12,0,88,1,88,13,2540373
0,0,1723447,0,1,7,0,7,6,1724295
0,0,4023849,0,1,30,0,30,6,4024730
0,0,3261454,0,0,21,0,21,6,3262372
0,0,76454,8,1,69,0,69,14,77311
0,0,3390568,0,0,25,0,25,6,3391445
1,1,54210,11,1,83,1,83,25,54816
0,0,2961940,12,0,92,0,92,7,2962823
0,0,944778,0,0,3,0,3,6,945646
1,1,3249939,0,0,20,1,20,17,3250821
0,0,37778,8,1,68,0,68,14,38619
0,0,1168878,2,0,41,0,41,22,1169728
0,0,115693,6,1,50,0,50,4,116573
0,0,100477,1,1,32,0,32,20,101348
0,0,2161295,0,0,12,0,12,6,2162140
0,0,2692202,7,0,66,0,66,12,2693050
0,0,37782,1,1,31,0,31,20,38635
1,1,1951303,9,0,74,1,74,5,1952144
0,0,1019675,0,1,5,0,5,6,1020391
0,0,1334589,2,0,43,0,43,22,1335468
0,0,1985810,9,0,75,0,75,15,1986682
0,0,2756282,7,0,67,0,67,12,2757051
0,0,2761122,12,0,90,0,90,7,2761970
0,0,3386714,0,0,24,0,24,6,3387586
0,0,2642236,0,1,14,0,14,6,2643106
1,1,1261553,1,1,34,1,34,16,1262158
1,1,54574,3,1,44,1,44,10,55415
0,0,1485132,0,0,6,0,6,6,1485980
0,0,1920764,0,1,9,0,9,6,1921590
0,0,2891431,12,0,91,1,91,7,2892309
0,0,661993,0,0,2,0,2,6,662876
0,0,2204104,0,0,13,0,13,6,2204969
0,0,54642,2,1,38,0,38,22,55511
1,1,3332028,0,0,23,1,23,17,3332749
0,0,965326,0,0,4,0,4,6,966090
0,0,268867,10,1,79,0,79,2,269706
1,1,820716,5,0,48,1,48,8,821383
1,1,111421,1,1,33,1,33,16,112285
0,0,38942,7,1,56,0,56,12,39819
0,0,141951,6,1,51,0,51,4,142754
0,0,2390337,12,0,84,0,84,7,2391240
0,0,1728216,4,0,47,0,47,1,1729043
0,0,2496068,12,0,86,0,86,7,2496884
0,0,2296185,7,0,63,0,63,12,2297063
1,1,2438042,12,0,85,1,85,13,2438930
0,0,24687,11,1,82,0,82,18,25560
1,1,3990804,0,1,29,1,29,17,3991520
0,0,1308888,2,0,42,0,42,22,1309736
0,0,2224665,7,0,60,0,60,12,2225530
0,0,858356,5,0,49,0,49,3,859205
0,0,122639,13,1,95,0,95,0,123244
1,1,22268,9,1,71,1,71,5,23136
0,0,2203363,7,0,59,0,59,12,2204201
0,0,77954,10,1,77,0,77,2,78826
0,0,3985057,0,1,28,0,28,6,3985894
1,1,1879630,9,0,72,1,72,5,1880277
0,0,2242292,7,0,61,0,61,12,2243165
0,0,2371129,7,0,65,0,65,12,2371974
1,1,1127821,2,0,40,1,40,19,1128659
0,0,1353019,1,0,36,0,36,20,1353904
0,0,3605616,0,1,26,0,26,6,3606467
1,1,347237,7,1,58,1,58,21,348095
0,0,456886,0,0,0,0,0,6,457739
0,0,1931872,6,0,54,0,54,4,1932707
0,0,2693285,0,1,16,0,16,6,2694165
0,0,627812,0,0,1,0,1,6,628692
0,0,2817655,0,1,18,0,18,6,2818500
1,1,232562,4,1,46,1,46,11,233203
1,1,127990,2,1,39,1,39,19,128620
0,0,3007458,12,0,94,0,94,7,3008338
1,1,2306628,7,0,64,1,64,21,2307434
0,0,2180179,9,0,76,0,76,15,2180946
0,0,3003601,12,0,93,0,93,7,3004473
0,0,2529108,12,0,87,0,87,7,2529801
1,1,2739159,12,0,89,1,89,13,2739954
0,0,2674538,0,1,15,0,15,6,2675306
0,0,2254228,7,0,62,0,62,12,2255095
0,0,1928325,9,0,73,0,73,15,1929158
1,1,165014,6,1,52,1,52,24,165640
0,0,2041132,0,1,10,0,10,6,2041980
1,1,3322346,0,0,22,1,22,17,3322956
0,0,192142,6,1,53,0,53,4,192869
1,1,156093,4,1,45,1,45,11,156932
