SportType,HostCountry,StartLocation,ProCyclingStatsRaceId
1,4,21,164923.0
1,11,12,
1,0,6,164914.0
1,3,8,268395.0
1,1,33,150655.0
1,1,2,270408.0
1,11,12,
1,1,17,280808.0
1,4,9,247145.0
1,8,27,279710.0
1,12,32,170971.0
1,9,11,172294.0
1,5,7,171098.0
1,4,20,209918.0
1,1,18,270407.0
1,11,12,
1,0,15,170951.0
1,1,29,133071.0
1,2,10,279073.0
1,11,12,
1,7,28,218509.0
1,10,22,269684.0
1,12,24,
1,2,4,279072.0
1,5,13,
1,0,25,180813.0
1,6,5,138833.0
1,13,31,270514.0
1,1,30,270410.0
1,1,18,270414.0
1,11,12,180567.0
1,1,0,280812.0
1,11,19,168924.0
1,0,1,180844.0
1,6,26,179734.0
1,8,34,279692.0
1,4,20,180735.0
1,6,16,119991.0
0,4,35,
1,6,16,138490.0
1,12,3,
1,8,14,279711.0
1,1,23,270409.0
