SportType,HostCountry,EditionNumber,StartLocation,RaceWinner
1,7,,30,17
1,7,,34,0
1,7,38.0,8,14
1,2,36.0,11,14
1,7,67.0,7,23
1,7,20.0,6,11
1,8,,22,14
1,7,32.0,36,14
1,2,,20,23
1,4,22.0,28,14
1,1,30.0,26,13
1,2,,40,19
1,2,,23,14
1,7,71.0,14,12
1,2,30.0,39,10
1,2,,16,14
1,7,,27,1
1,2,65.0,17,1
1,7,69.0,33,2
1,6,36.0,15,1
1,7,15.0,41,14
1,7,14.0,13,9
1,2,,4,14
1,3,9.0,31,15
1,1,83.0,24,22
1,7,18.0,21,14
1,5,,2,14
1,0,7.0,1,14
1,7,91.0,32,8
1,7,118.0,25,2
1,4,,19,14
1,7,,35,1
1,7,60.0,3,2
1,2,,9,12
1,7,119.0,48,14
1,7,30.0,36,14
1,2,25.0,44,18
1,2,68.0,29,1
1,7,27.0,12,16
1,7,,37,20
1,7,,0,7
1,7,16.0,31,4
1,7,16.0,43,1
1,2,,18,14
1,0,8.0,1,21
1,7,17.0,46,14
1,2,,42,5
1,7,,38,14
1,7,,5,6
0,7,21.0,45,3
1,7,98.0,32,14
1,2,,10,14
1,7,39.0,47,14
