GeneInstanceType,GeneDescription,GenomicEndPosition,GeneLabel,GeneDbId,GeneSubclass,EncodedProtein,ChromosomeId,GenomicStartPosition,StrandOrientation,HostTaxon
0,0,16460955,206,213,0,6,44,16457260,0,9
0,0,138161,112,119,0,22,26,134502,0,6
0,0,203930,61,66,0,19,17,200193,0,5
0,0,4553753,0,46,0,6,23,4549992,0,5
0,0,4840,6,0,0,27,1,914,1,0
0,0,9779285,169,176,0,6,13,9775560,0,7
0,0,334096,65,70,0,19,17,330365,0,5
0,0,3840387,81,88,0,19,30,3836677,0,6
0,0,1195742,5,53,0,1,15,1191876,1,5
0,0,8918600,165,172,0,6,13,8914875,0,7
0,0,1910663,196,203,0,19,44,1906803,0,9
0,0,1668281,32,29,0,19,22,1666599,0,5
0,0,2060217,118,125,0,31,28,2056039,0,6
0,0,4813930,136,143,0,6,8,4810370,0,7
0,0,65541,105,112,0,19,25,61918,1,6
0,0,2103880,123,130,0,6,29,2100152,0,6
0,0,10591984,174,181,0,7,13,10589706,0,7
0,0,4340768,39,36,0,19,22,4339005,0,5
0,0,83566,50,55,0,32,16,79856,1,5
0,0,20151480,207,214,0,20,44,20150096,1,9
0,0,11683010,175,182,0,7,13,11680997,0,7
0,0,44719,18,19,0,27,6,40601,1,4
1,0,11229,109,116,1,17,26,7763,1,6
0,0,239685,16,17,0,12,5,237098,0,4
0,0,4000548,147,154,0,6,13,3997084,1,7
0,0,2481188,79,85,0,19,19,2479680,0,5
0,0,12013049,177,184,0,6,13,12009273,1,7
0,0,12740701,179,186,0,6,13,12737024,0,7
0,0,338864,66,71,0,19,17,335124,0,5
0,0,10244238,172,179,0,6,13,10240936,1,7
0,0,3815,84,91,0,4,31,90,1,6
0,0,628721,43,41,0,19,21,624993,1,5
0,0,47239,9,3,0,29,1,43805,1,0
0,0,4278879,148,155,0,6,13,4275136,1,7
0,0,4939976,151,158,0,6,13,4936233,1,7
0,0,154797,58,63,0,19,17,150979,0,5
0,0,587534,130,137,0,33,39,585909,0,8
0,0,4522804,40,37,0,19,22,4521833,0,5
0,0,9462057,166,173,0,6,13,9458497,1,7
0,0,27954,107,114,0,19,26,24217,0,6
0,0,279004,124,131,0,32,37,275159,0,8
0,0,1147490,101,108,0,26,24,1145631,1,6
0,0,7120666,157,164,0,6,13,7119032,0,7
1,0,1139483,98,105,1,21,24,1135756,1,6
0,0,5598267,152,159,0,6,13,5595391,0,7
0,0,1143911,99,106,0,19,24,1140042,1,6
0,0,583704,129,136,0,32,39,582196,0,8
0,0,1703058,33,30,0,19,22,1701376,1,5
0,0,3105,104,111,0,24,25,838,1,6
0,0,4513,26,23,0,32,14,785,0,5
