GeneType,GeneDescription,GenomicEndPosition,GeneId,GeneDbId,ChromosomeId,GenomicStartPosition,StrandOrientation
0,0,5471,135,135,110,3207,1
0,0,5583,97,96,99,3223,0
1,0,457048,88,87,9,454787,0
0,0,478833,231,231,6,476677,0
1,0,2336,146,146,113,3,1
1,0,552888,218,218,15,550654,0
0,0,835809,95,94,28,833647,0
0,0,4603,49,48,87,2336,0
1,0,1069200,208,208,45,1067095,0
0,0,2907,36,35,71,667,0
0,0,6046,151,151,114,3683,0
1,0,76342,177,177,33,73994,1
1,0,1167843,142,142,41,1165567,0
0,0,1026,4,3,69,22,1
0,1,692573,69,68,19,690150,0
0,0,27924,7,6,17,26149,1
0,0,754574,173,173,26,752403,0
1,0,1157625,115,115,42,1155433,0
1,0,12933,111,111,39,10912,1
1,0,96434,222,222,5,94266,1
1,0,35613,194,194,120,33460,1
0,0,604953,80,79,20,602554,0
0,0,2152,10,9,59,38,0
1,0,763015,83,82,37,760970,0
0,0,4215,71,70,19,1969,1
0,0,480713,38,37,4,478230,0
1,0,114439,9,8,3,112868,1
0,0,3201,59,58,73,2560,1
1,0,61722,220,220,51,61057,1
0,0,45278,100,99,18,42840,0
1,0,13918,120,120,104,11750,1
1,0,562476,171,171,10,560179,0
0,0,56175,84,83,5,53914,1
0,2,1518,58,57,93,1,1
0,0,1009290,45,44,38,1006993,0
1,0,50723,119,119,104,48507,1
0,0,487264,93,92,17,485114,0
0,0,35005,175,175,118,32786,1
0,0,371476,170,170,18,369323,0
0,0,477337,11,10,9,476408,0
0,0,1835184,67,66,46,1832923,0
1,0,53359,113,113,39,52601,1
1,0,1287,19,18,68,1,0
1,0,441740,91,90,29,439797,1
1,0,81519,12,11,5,79698,1
0,0,71686,212,212,49,69566,1
0,0,707127,48,47,23,704929,0
0,0,65232,217,217,50,62692,1
1,0,777368,224,224,31,775140,0
0,0,3230,126,126,22,921,1
0,0,1669,47,46,86,2,1
0,0,5540,44,43,84,3963,1
1,0,372955,230,230,29,370655,1
0,0,2191081,87,86,52,2188577,1
1,0,11060,139,139,31,8994,1
0,0,4184,235,235,35,1923,1
0,0,43304,155,155,55,40902,1
1,0,113111,165,165,15,111105,1
0,0,59089,41,40,55,56687,1
1,0,1189025,188,188,50,1186812,0
1,0,805063,178,178,38,803291,0
1,0,1835456,204,204,47,1833030,0
0,0,7454,52,51,89,5259,1
0,0,611448,109,109,10,610807,0
0,0,2776,152,152,115,509,0
1,0,1204656,196,196,44,1202680,0
0,0,4025,162,162,16,1761,1
0,0,2650,24,23,34,386,1
1,0,560447,98,97,52,558669,1
1,0,335828,153,153,29,333633,1
1,0,480279,203,203,44,478171,0
1,0,7012,6,5,31,5501,1
0,0,12909,140,140,111,10807,1
0,0,11646,122,122,105,9286,1
1,0,1116077,149,149,40,1113876,0
0,0,76316,29,28,50,74154,1
1,0,496899,101,100,1,495853,0
0,0,15153,205,205,30,12949,1
0,0,1027491,76,75,37,1024990,0
1,0,170211,121,121,48,168412,1
1,0,799420,225,225,31,796943,0
0,0,377705,96,95,57,375522,0
0,0,5046,157,157,116,2860,1
0,0,914046,63,62,33,913312,0
0,0,244454,156,156,19,243822,0
0,0,394758,20,19,9,393970,0
0,0,574603,168,168,21,572120,0
1,0,5117,216,216,81,2943,0
1,0,252998,129,129,28,250869,0
1,0,1108,159,159,75,1,0
1,0,92964,92,91,41,90784,1
0,0,3133,51,50,89,824,1
1,0,470842,187,187,51,468923,0
1,0,4059,30,29,70,1852,0
0,0,4593,1,0,17,2230,1
1,0,689616,82,81,52,687517,0
1,0,598394,167,167,21,596190,0
1,0,185005,117,117,58,182789,0
0,0,507624,191,191,3,505363,0
1,0,459000,172,172,10,456733,0
1,0,123424,232,232,8,121439,0
0,0,53099,223,223,38,50910,1
1,0,4883,42,41,82,2628,1
0,0,4516,53,52,90,3179,1
1,0,17178,106,105,102,14941,1
0,0,81116,3,2,13,80040,1
0,0,703891,72,71,23,701787,0
0,0,79561,116,116,55,77369,1
0,0,3704,22,21,66,1446,1
1,0,299939,227,227,11,297915,1
0,0,115059,158,158,22,112891,1
0,0,827,13,12,61,3,0
0,0,28523,81,80,37,26538,1
1,0,547726,132,132,7,545198,0
1,0,45480,195,195,120,43330,1
0,0,1039862,77,76,37,1037046,0
1,0,1937904,25,24,52,1935421,0
1,0,52834,182,182,0,50840,0
0,0,28514,0,107,103,26043,0
0,0,1138,5,4,106,2,0
1,0,62927,147,147,24,60651,1
1,0,16106,73,72,96,14127,0
0,0,7548,54,53,91,5362,0
0,0,828692,193,193,47,827244,1
0,0,711734,32,31,23,710958,0
0,0,482055,110,110,10,479794,0
1,0,89110,206,206,16,86993,1
0,0,71096,136,136,40,68619,1
0,0,798,163,163,77,1,1
0,0,2326647,17,16,52,2325364,0
0,0,9859,207,207,80,7598,1
0,0,120751,185,185,3,119534,1
1,0,70436,209,209,122,69252,1
1,0,7125,108,108,103,5011,0
0,0,1699,85,84,8,101,1
0,0,1333,16,15,63,3,0
1,0,468090,40,39,2,465892,0
1,0,811009,210,210,32,808763,0
1,0,619207,202,202,9,617003,0
0,0,194620,123,123,53,192110,0
0,0,52112,103,102,43,49749,1
0,0,14957,64,63,74,12933,0
1,0,1621,65,64,94,2,1
1,0,813661,180,180,37,811541,0
0,0,560608,179,179,16,558551,0
1,0,961848,150,150,36,959689,0
0,0,915393,62,61,33,914149,0
0,0,47037,176,176,118,44773,1
0,0,50074,189,189,3,47909,1
0,0,487691,31,30,18,485538,0
0,0,7225,105,104,101,4853,0
0,0,669010,130,130,16,666635,0
0,0,2335,169,169,12,101,1
0,0,2976,161,161,76,781,0
0,0,1159648,141,141,41,1157084,0
0,0,140815,228,228,11,140096,1
0,0,3637,160,160,33,1680,1
0,0,17152,134,134,109,14774,1
1,0,3774,18,17,64,1570,0
1,0,8253,102,101,41,6340,1
0,0,477141,197,197,7,476586,0
0,0,4334,94,93,98,1968,1
1,0,20192,201,201,29,18165,1
1,0,636865,79,78,20,634829,0
0,0,391932,8,7,57,389746,1
0,0,1152,14,13,60,1,0
1,0,122003,229,229,11,119982,1
0,0,6765,192,192,79,4204,1
0,0,6868,183,183,119,4559,1
0,0,3468,70,69,95,1171,0
0,0,2352753,128,128,52,2351474,0
0,0,85349,66,65,4,84366,1
0,0,303473,215,215,12,301437,1
0,0,49973,26,25,23,48072,1
0,0,6110,99,98,100,3849,0
1,0,9061,55,54,72,6806,1
0,0,6479,133,133,108,5838,1
0,0,369971,60,59,54,367785,0
1,0,19107,104,103,43,16912,1
0,0,316113,226,226,11,313945,1
