EntityType,GeneDescription,GenomicEndPosition,GeneDbId,GeneLabel,EncodedProtein,GeneType,OrthologousGene,ChromosomeId,GenomicStartPosition,StrandOrientation
0,0,301826,242,242,2,0,89,31,299487,0
1,0,32772,97,97,1,1,117,4,29866,1
0,0,373899,29,29,2,0,26,5,371611,1
0,0,721934,74,74,2,0,34,23,719244,1
0,0,428427,87,87,3,0,83,20,425755,0
0,0,1516533,43,43,2,0,61,32,1514173,1
0,0,465591,161,161,2,0,113,15,462814,0
0,0,54199,32,32,2,0,46,58,51578,1
1,0,952113,115,115,1,1,39,23,949273,1
0,0,1062895,234,234,2,0,85,31,1060310,1
1,0,199898,36,36,1,1,93,19,197364,1
0,0,404584,118,118,2,0,92,21,402206,0
0,0,473501,202,202,3,0,123,23,470631,0
0,0,246580,86,86,2,0,4,19,243767,0
0,0,33755,27,27,2,0,55,44,30969,0
0,0,355891,244,244,2,0,117,6,353552,0
0,0,993191,44,44,2,0,61,32,990858,1
1,0,1150558,192,192,1,1,88,23,1147775,1
0,0,1152306,222,222,2,0,116,24,1149583,0
0,0,1161129,166,166,2,0,112,32,1158613,0
1,0,32977,216,216,1,1,115,85,30248,1
0,0,33431,26,26,2,0,98,55,30843,1
0,0,184674,6,6,2,0,95,12,182293,0
0,0,1757922,188,188,2,0,33,32,1755496,1
0,0,553480,173,173,3,0,65,1,550610,0
0,0,16153,30,30,2,0,46,56,13502,0
0,0,292921,245,245,2,0,120,6,290183,1
0,0,256062,178,178,2,0,122,5,253732,0
0,0,25495,50,50,2,0,98,61,22811,0
0,0,8691,195,195,2,0,29,78,6085,1
0,0,180436,213,213,2,0,44,11,177890,1
0,0,15222,212,212,2,0,6,82,12538,1
0,0,849988,205,205,2,0,79,23,847319,0
0,0,1966199,103,103,2,0,40,31,1963551,1
0,0,546874,142,142,2,0,106,15,544250,0
0,0,1024944,233,233,2,0,85,31,1022305,0
0,0,519004,251,251,2,0,74,7,516413,0
0,0,1176004,165,165,2,0,105,32,1173581,0
0,0,82609,137,137,3,0,42,19,79808,1
0,0,447956,176,176,2,0,64,24,445458,1
0,0,735391,128,128,2,0,73,31,733043,0
0,0,1102343,226,226,2,0,77,24,1099539,0
0,0,1314205,89,89,2,0,112,32,1311887,0
0,0,1015945,209,209,2,0,71,23,1013150,1
0,0,204433,62,62,2,0,45,14,201761,1
0,0,1800605,108,108,2,0,73,31,1797939,1
0,0,125132,80,80,2,0,47,4,122370,1
1,0,17633,22,22,1,1,64,53,14982,0
0,0,4209,121,121,2,0,67,69,1423,0
0,0,187941,232,232,2,0,37,5,185287,0
0,0,1065877,198,198,2,0,111,26,1063010,0
0,0,425184,135,135,2,0,53,16,422410,0
0,0,513629,257,257,3,0,82,15,510834,0
0,0,568671,172,172,2,0,2,32,566338,1
1,0,1123469,221,221,1,1,94,24,1120611,0
1,0,432436,158,158,1,1,61,15,429818,0
0,0,218715,55,55,2,0,70,17,215884,1
1,0,86749,152,152,1,1,68,3,84020,1
1,0,396102,69,69,1,1,93,19,393418,0
1,0,107074,254,254,1,1,72,2,104540,0
0,0,622377,41,41,2,0,8,31,620053,0
1,0,389747,163,163,1,1,128,15,387120,0
0,0,422008,200,200,2,0,32,17,419294,0
0,0,185153,24,24,2,0,130,27,182502,0
0,0,378614,162,162,2,0,87,15,375975,0
0,0,309384,110,110,2,0,122,5,306937,0
0,0,585607,81,81,2,0,120,6,583331,1
0,0,7162,20,20,2,0,46,51,4697,0
0,0,650434,39,39,3,0,38,14,647633,1
0,0,23290,218,218,2,0,73,50,20606,1
0,0,9867,60,60,2,0,98,63,7462,0
1,0,442799,201,201,1,1,48,23,439932,1
0,0,1713823,8,8,2,0,86,30,1711409,0
0,0,700388,15,15,2,0,107,15,697620,0
0,0,14845,47,47,3,0,50,60,11996,0
0,0,8092,214,214,2,0,43,83,5759,0
1,0,13979,197,197,1,1,0,80,11352,1
0,0,1045611,208,208,3,0,71,23,1042786,0
0,0,15062,85,85,2,0,46,66,12438,0
1,0,1100880,194,194,1,1,39,23,1098211,1
0,0,8115,171,171,3,0,45,49,5269,1
0,0,379418,169,169,2,0,51,34,376740,1
0,0,2047179,184,184,2,0,80,31,2044399,1
0,0,585177,204,204,3,0,22,23,582301,0
0,0,475012,141,141,2,0,114,7,472298,0
0,0,1324430,88,88,2,0,61,32,1322082,0
0,0,1156973,236,236,2,0,30,31,1154469,0
1,0,9580,196,196,1,1,38,79,6749,1
0,0,50888,151,151,2,0,51,20,48174,1
0,0,1096585,235,235,2,0,101,31,1093946,1
0,0,758419,45,45,2,0,21,21,756089,0
0,0,12594,150,150,2,0,46,76,9967,0
0,0,9089,217,217,2,0,23,85,6579,1
1,0,45075,124,124,1,1,25,72,42286,0
1,0,1611964,100,100,1,1,81,30,1609262,1
0,0,1828534,107,107,2,0,85,31,1825916,0
0,0,483376,96,96,2,0,108,24,480707,1
0,0,1865809,105,105,2,0,73,31,1862957,0
0,0,139709,253,253,2,0,90,1,138117,0
1,0,290907,117,117,1,1,17,21,288478,0
0,0,1731005,190,190,3,0,7,29,1728183,0
0,0,2060220,183,183,2,0,101,31,2057611,1
0,0,800723,164,164,2,0,3,22,798375,0
0,0,12158,11,11,2,0,54,43,9363,1
0,0,21771,83,83,2,0,46,64,19363,0
0,0,488327,203,203,3,0,22,23,485541,0
0,0,454333,157,157,2,0,107,15,451748,0
0,0,262330,243,243,2,0,83,6,259847,0
0,0,568854,259,259,2,0,106,15,566233,0
0,0,16377,144,144,2,0,46,74,13513,1
0,0,180486,35,35,2,0,42,19,177754,1
1,0,1633076,186,186,1,1,28,31,1630521,0
0,0,602587,42,42,2,0,85,31,600077,0
0,0,736453,78,78,3,0,71,23,733583,0
0,0,1129346,168,168,2,0,61,32,1126764,1
0,0,20976,57,57,2,0,8,46,18310,0
0,0,5331,149,149,2,0,98,75,2932,0
0,0,629809,112,112,3,0,5,13,627020,1
0,0,1825289,187,187,2,0,61,32,1822929,0
1,0,590672,258,258,1,1,61,15,588504,0
0,0,6553,120,120,2,0,62,68,4166,1
0,0,1169591,223,223,3,0,108,24,1166769,0
0,0,13678,155,155,2,0,15,3,10931,1
0,0,468388,67,67,3,0,79,6,465485,0
