SPORT_TYPE,WEIGHT_KG,BIRTH_DATE,CYCLE_BASE_CYCLIST_ID,CQ_RANKING_MALE_CYCLIST_ID,LAST_NAME,FIRST_NAME,FIRST_CYCLING_RIDER_ID,HEIGHT_CM,COMMONS_CATEGORY,PRO_CYCLING_STATS_CYCLIST_ID,BIRTH_PLACE,UCI_RIDER_ID,FREEBASE_ID,CYCLING_ARCHIVES_CYCLIST_ID,SPORT_COUNTRY
3,62.0,4,43386,14310.0,5,8,3991,173,8,140509,11,53804,6,36343,6
1,,11,48143,21971.0,11,4,16672,184,4,168754,5,79462,11,64280,4
0,69.0,8,44733,16677.0,3,11,2324,185,11,140118,6,73892,7,64982,4
4,68.0,10,52529,19274.0,7,3,9042,178,3,141312,0,73573,9,57052,5
2,78.0,5,26009,12193.0,8,6,784,184,6,140797,12,54603,4,30229,5
3,71.0,6,46998,16666.0,2,9,2338,176,9,140492,3,64680,8,48356,3
3,60.0,12,80654,,0,0,65240,176,0,202483,10,157221,12,121401,3
3,61.0,2,19630,10023.0,9,2,794,175,2,140233,2,54679,0,22431,3
3,69.0,1,19478,7838.0,4,12,918,180,12,140805,4,44337,1,19062,5
4,66.0,3,39238,13078.0,1,1,780,182,1,140385,7,284170,10,22432,3
3,68.0,9,49390,18146.0,7,7,6266,179,7,134488,8,75225,3,59380,1
3,66.0,0,17795,43.0,10,10,139,177,10,140553,9,13980,2,8149,2
3,72.0,7,38259,13066.0,6,5,2211,178,5,140384,1,62919,5,39964,0
