Languages,Profile_Image,Weight_Kg,Birth_Date,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Last_Name,First_Name,First_Cycling_Rider_Id,Height_Cm,Commons_Category,Instagram_Handle,Pro_Cycling_Stats_Cyclist_Id,Birth_Place,Uci_Rider_Id,Cycling_Archives_Cyclist_Id
7,8,70.0,11,55710.0,21145.0,6,9,16687,185,8,4,132339,6,86863,71405
2,11,72.0,12,58495.0,22516.0,5,4,16783,181,3,0,168779,14,86813,78350
2,6,71.0,2,19255.0,3891.0,10,5,716,183,4,0,140196,3,32532,11292
8,3,,9,52673.0,19070.0,2,3,7639,178,2,0,137769,2,79921,71836
8,12,58.0,4,39842.0,12843.0,8,10,2276,166,9,5,140292,10,67388,57418
4,4,63.0,0,17747.0,1992.0,13,6,486,175,5,0,140399,11,31056,11476
3,1,71.0,10,,22906.0,1,2,22272,190,1,2,179072,0,91626,92937
6,2,67.0,13,,24316.0,14,0,37281,186,0,0,181239,13,97280,104872
1,5,74.0,1,16313.0,3333.0,12,7,150,181,6,3,140752,8,44513,18746
5,9,70.0,8,,13313.0,0,1,8551,171,10,1,138189,12,439866,87421
7,10,65.0,3,56041.0,20719.0,9,12,18655,177,12,7,174582,9,88889,72449
1,5,74.0,1,16313.0,3333.0,12,7,150,181,6,3,140752,8,44513,18746
7,8,70.0,11,55710.0,21145.0,6,9,16687,185,8,4,132339,6,86863,71405
8,12,58.0,4,39842.0,12843.0,8,10,2276,166,9,5,140292,10,67388,57418
7,0,66.0,14,69634.0,26526.0,7,14,45992,176,14,9,194619,5,149727,115790
0,14,56.0,6,49272.0,17881.0,4,11,4863,169,11,6,140294,4,76092,38092
8,3,,9,52673.0,19070.0,2,3,7639,178,2,0,137769,2,79921,71836
7,0,66.0,14,69634.0,26526.0,7,14,45992,176,14,9,194619,5,149727,115790
3,13,65.0,7,41886.0,13566.0,3,13,2275,184,13,8,140495,1,64917,53957
7,7,67.0,5,39897.0,12748.0,11,8,3050,173,7,10,138849,7,64864,54755
