StrandOrientation,GeneDescription,GenomicEndPosition,GeneDbId,GenomicStartPosition
1,0,5471,135,3207
0,0,5583,96,3223
0,0,457048,87,454787
0,0,478833,231,476677
1,0,2336,146,3
0,0,552888,218,550654
0,0,835809,94,833647
0,0,4603,48,2336
0,0,1069200,208,1067095
0,0,2907,35,667
0,0,6046,151,3683
1,0,76342,177,73994
0,0,1167843,142,1165567
1,0,1026,3,22
0,1,692573,68,690150
1,0,27924,6,26149
0,0,754574,173,752403
0,0,1157625,115,1155433
1,0,12933,111,10912
1,0,96434,222,94266
1,0,35613,194,33460
0,0,604953,79,602554
0,0,2152,9,38
0,0,763015,82,760970
1,0,4215,70,1969
0,0,480713,37,478230
1,0,114439,8,112868
1,0,3201,58,2560
1,0,61722,220,61057
0,0,45278,99,42840
1,0,13918,120,11750
0,0,562476,171,560179
1,0,56175,83,53914
1,2,1518,57,1
0,0,1009290,44,1006993
1,0,50723,119,48507
0,0,487264,92,485114
1,0,35005,175,32786
0,0,371476,170,369323
0,0,477337,10,476408
0,0,1835184,66,1832923
1,0,53359,113,52601
0,0,1287,18,1
1,0,441740,90,439797
1,0,81519,11,79698
1,0,71686,212,69566
0,0,707127,47,704929
1,0,65232,217,62692
0,0,777368,224,775140
1,0,3230,126,921
1,0,1669,46,2
1,0,5540,43,3963
1,0,372955,230,370655
1,0,2191081,86,2188577
1,0,11060,139,8994
1,0,4184,235,1923
1,0,43304,155,40902
1,0,113111,165,111105
1,0,59089,40,56687
0,0,1189025,188,1186812
0,0,805063,178,803291
0,0,1835456,204,1833030
1,0,7454,51,5259
0,0,611448,109,610807
0,0,2776,152,509
0,0,1204656,196,1202680
1,0,4025,162,1761
1,0,2650,23,386
1,0,560447,97,558669
1,0,335828,153,333633
0,0,480279,203,478171
1,0,7012,5,5501
1,0,12909,140,10807
1,0,11646,122,9286
0,0,1116077,149,1113876
1,0,76316,28,74154
0,0,496899,100,495853
1,0,15153,205,12949
0,0,1027491,75,1024990
1,0,170211,121,168412
0,0,799420,225,796943
0,0,377705,95,375522
1,0,5046,157,2860
0,0,914046,62,913312
0,0,244454,156,243822
0,0,394758,19,393970
0,0,574603,168,572120
0,0,5117,216,2943
0,0,252998,129,250869
0,0,1108,159,1
1,0,92964,91,90784
1,0,3133,50,824
0,0,470842,187,468923
0,0,4059,29,1852
1,0,4593,0,2230
0,0,689616,81,687517
0,0,598394,167,596190
0,0,185005,117,182789
0,0,507624,191,505363
0,0,459000,172,456733
0,0,123424,232,121439
1,0,53099,223,50910
1,0,4883,41,2628
1,0,4516,52,3179
1,0,17178,105,14941
1,0,81116,2,80040
0,0,703891,71,701787
1,0,79561,116,77369
1,0,3704,21,1446
1,0,299939,227,297915
1,0,115059,158,112891
0,0,827,12,3
1,0,28523,80,26538
0,0,547726,132,545198
1,0,45480,195,43330
0,0,1039862,76,1037046
0,0,1937904,24,1935421
0,0,52834,182,50840
0,0,28514,107,26043
0,0,1138,4,2
1,0,62927,147,60651
0,0,16106,72,14127
0,0,7548,53,5362
1,0,828692,193,827244
0,0,711734,31,710958
0,0,482055,110,479794
1,0,89110,206,86993
1,0,71096,136,68619
1,0,798,163,1
0,0,2326647,16,2325364
1,0,9859,207,7598
1,0,120751,185,119534
1,0,70436,209,69252
0,0,7125,108,5011
1,0,1699,84,101
0,0,1333,15,3
0,0,468090,39,465892
0,0,811009,210,808763
0,0,619207,202,617003
0,0,194620,123,192110
1,0,52112,102,49749
0,0,14957,63,12933
1,0,1621,64,2
0,0,813661,180,811541
0,0,560608,179,558551
0,0,961848,150,959689
0,0,915393,61,914149
1,0,47037,176,44773
1,0,50074,189,47909
0,0,487691,30,485538
0,0,7225,104,4853
0,0,669010,130,666635
1,0,2335,169,101
0,0,2976,161,781
0,0,1159648,141,1157084
1,0,140815,228,140096
1,0,3637,160,1680
1,0,17152,134,14774
0,0,3774,17,1570
1,0,8253,101,6340
0,0,477141,197,476586
1,0,4334,93,1968
1,0,20192,201,18165
0,0,636865,78,634829
1,0,391932,7,389746
0,0,1152,13,1
1,0,122003,229,119982
1,0,6765,192,4204
