GeneType,GeneDescription,OrthologId,GenomicEndPosition,GeneId,GeneDbId,ChromosomeId,GenomicStartPosition,EncodedProteinDescription,StrandOrientation
0,0,3,12909,141,141,110,10807,1,1
0,0,122,6110,100,99,98,3849,1,0
1,0,39,457048,89,88,9,454787,0,0
0,0,136,478833,231,231,6,476677,1,0
0,0,90,16869,150,150,113,14662,1,0
1,0,48,552888,219,219,15,550654,0,0
0,0,97,835809,96,95,28,833647,1,0
0,0,122,3770,51,50,86,732,2,1
1,0,10,1069200,209,209,45,1067095,0,0
1,0,41,9061,56,55,71,6806,0,1
0,0,40,2776,153,153,114,509,1,0
1,0,29,76342,178,178,33,73994,0,1
1,0,109,1167843,143,143,41,1165567,0,0
0,0,1,3747,25,24,69,1363,1,1
0,1,88,692573,70,69,19,690150,1,0
0,0,87,27924,8,7,17,26149,3,1
0,0,0,754574,174,174,26,752403,1,0
1,0,49,1157625,116,116,42,1155433,0,0
1,0,35,12933,112,112,39,10912,0,1
1,0,24,96434,222,222,5,94266,0,1
1,0,23,45480,197,197,119,43330,0,1
0,0,64,604953,81,80,20,602554,1,0
1,0,2,5633,14,13,59,4134,0,0
1,0,110,763015,84,83,37,760970,0,0
0,0,47,4215,72,71,19,1969,1,1
0,0,86,480713,39,38,4,478230,1,0
1,0,65,114439,10,9,3,112868,0,1
0,0,59,14957,65,64,73,12933,1,0
1,0,125,61722,221,221,51,61057,0,1
0,0,20,45278,101,100,18,42840,1,0
1,0,54,50723,120,120,103,48507,0,1
1,0,67,562476,172,172,10,560179,0,0
0,0,30,56175,85,84,5,53914,1,1
1,0,84,1621,66,65,92,2,0,1
0,0,115,1009290,46,45,38,1006993,1,0
0,0,122,11646,123,123,104,9286,1,1
0,0,69,487264,94,93,17,485114,1,0
0,0,1,47037,176,176,117,44773,1,1
0,0,20,371476,171,171,18,369323,1,0
0,0,131,477337,12,11,9,476408,3,0
0,0,105,1835184,68,67,46,1832923,1,0
1,0,35,53359,114,114,39,52601,0,1
0,0,89,1062,4,3,68,1,3,0
1,0,11,441740,92,91,29,439797,0,1
1,0,6,81519,13,12,5,79698,0,1
0,0,112,71686,213,213,49,69566,1,1
0,0,117,707127,49,48,23,704929,1,0
0,0,57,65232,218,218,50,62692,1,1
1,0,111,777368,224,224,31,775140,0,0
0,0,53,3230,127,127,22,921,1,1
0,0,122,2056,50,49,85,2,3,1
0,0,122,4947,47,46,83,2638,1,0
1,0,11,372955,230,230,29,370655,0,1
0,0,128,2191081,88,87,52,2188577,1,1
1,0,63,11060,140,140,31,8994,0,1
0,0,121,4184,235,235,35,1923,1,1
0,0,93,43304,156,156,55,40902,1,1
1,0,48,113111,166,166,15,111105,0,1
0,0,85,59089,42,41,55,56687,1,1
1,0,72,1189025,189,189,50,1186812,0,0
1,0,42,805063,179,179,38,803291,0,0
1,0,22,1835456,205,205,47,1833030,0,0
0,0,122,4516,54,53,88,3179,3,1
0,0,95,611448,110,110,10,610807,2,0
0,0,107,5046,158,158,115,2860,1,1
1,0,15,1204656,198,198,44,1202680,0,0
0,0,15,4025,164,164,16,1761,1,1
0,0,40,2650,26,25,34,386,1,1
1,0,18,560447,99,98,52,558669,0,1
1,0,8,335828,154,154,29,333633,0,1
1,0,62,480279,204,204,44,478171,0,0
1,0,63,7012,7,6,31,5501,0,1
1,0,116,2096,144,144,111,747,0,1
0,0,122,1138,6,5,105,2,3,0
1,0,37,1116077,151,151,40,1113876,0,0
0,0,99,76316,31,30,50,74154,1,1
1,0,124,496899,102,101,1,495853,0,0
0,0,58,15153,206,206,30,12949,1,1
0,0,97,1027491,77,76,37,1024990,1,0
1,0,90,170211,122,122,48,168412,0,1
1,0,63,799420,225,225,31,796943,0,0
0,0,3,391932,9,8,56,389746,1,1
0,0,76,3932,161,161,116,1401,1,0
0,0,12,914046,64,63,33,913312,3,0
0,0,123,244454,157,157,19,243822,2,0
0,0,131,394758,21,20,9,393970,2,0
0,0,33,574603,169,169,21,572120,1,0
1,0,10,4883,43,42,80,2628,0,1
1,0,120,252998,130,130,28,250869,0,0
0,0,73,2976,163,163,75,781,1,0
1,0,109,92964,93,92,41,90784,0,1
0,0,122,7454,53,52,87,5259,1,1
1,0,66,470842,188,188,51,468923,0,0
0,0,94,2907,37,36,70,667,1,0
0,0,43,4593,2,1,17,2230,1,1
1,0,9,689616,83,82,52,687517,0,0
1,0,8,598394,168,168,21,596190,0,0
0,0,51,2152,11,10,58,38,1,0
0,0,30,507624,192,192,3,505363,1,0
1,0,67,459000,173,173,10,456733,0,0
1,0,55,123424,232,232,8,121439,0,0
0,0,119,53099,223,223,38,50910,1,1
0,0,75,3147,44,43,81,535,1,1
0,0,122,7548,55,54,89,5362,1,0
0,0,122,11573,109,108,101,9210,1,0
0,0,57,81116,5,4,13,80040,2,1
0,0,20,703891,73,72,23,701787,2,0
0,0,85,79561,117,117,55,77369,1,1
0,0,7,6111,24,23,66,4843,2,1
1,0,77,299939,227,227,11,297915,0,1
0,0,113,115059,159,159,22,112891,1,1
0,0,52,1036,16,15,61,2,3,1
0,0,131,28523,82,81,37,26538,1,1
1,0,19,547726,133,133,7,545198,0,0
0,0,115,19404,200,200,120,17227,1,0
0,0,131,1039862,78,77,37,1037046,1,0
1,0,18,1937904,27,26,52,1935421,0,0
1,0,26,52834,183,183,0,50840,0,0
1,0,6,13918,121,121,103,11750,0,1
1,0,31,18062,132,132,106,16122,0,1
1,0,103,62927,148,148,24,60651,0,1
1,0,114,34512,90,89,95,32440,0,1
0,0,122,5683,57,56,90,3845,3,0
0,0,50,828692,195,195,47,827244,1,1
0,0,20,711734,33,32,23,710958,2,0
0,0,29,482055,111,111,10,479794,1,0
1,0,92,89110,207,207,16,86993,0,1
0,0,43,71096,137,137,40,68619,1,1
0,0,96,7735,185,185,77,5258,1,1
0,0,109,2326647,18,17,52,2325364,3,0
1,0,100,5117,217,217,79,2943,0,0
0,0,79,120751,186,186,3,119534,3,1
0,0,16,9642,211,211,122,7252,1,0
0,0,122,28514,0,109,102,26043,1,0
0,0,56,1699,86,85,8,101,3,1
1,0,16,3774,19,18,63,1570,0,0
1,0,131,468090,41,40,2,465892,0,0
1,0,74,811009,210,210,32,808763,0,0
