Profession,ProfileImage,CqRankingFemaleCyclistId,BirthDate,CycleBaseCyclistId,OlympediaPeopleId,LastName,FirstName,FirstCyclingRiderId,EventsParticipated,CommonsCategory,BirthPlace,ProCyclingStatsCyclistId,UciRiderId,FreebaseId,CyclingArchivesCyclistId
1,17,1933.0,6,31612.0,,3,18,89823.0,5,16,3,135998.0,66056.0,14,54316.0
1,7,17377.0,16,,,18,17,166980.0,7,20,13,265359.0,86020.0,15,
1,13,4984.0,12,48800.0,130650.0,14,6,89745.0,3,7,21,139421.0,76149.0,11,52227.0
0,15,493.0,4,34654.0,113070.0,21,19,89416.0,1,17,0,140856.0,31144.0,6,6345.0
1,12,1986.0,0,37006.0,121890.0,18,2,89434.0,3,2,22,134509.0,60655.0,7,40699.0
1,16,6608.0,17,55668.0,129144.0,11,16,89883.0,9,15,17,159347.0,73504.0,0,65492.0
1,1,5485.0,13,51647.0,142722.0,7,5,89919.0,6,5,12,135766.0,77738.0,15,115147.0
2,2,1671.0,8,35286.0,126451.0,5,13,90113.0,6,11,5,139306.0,47790.0,8,34522.0
1,0,8598.0,19,57537.0,143283.0,10,15,89551.0,6,13,18,176848.0,89658.0,15,72944.0
1,21,1467.0,7,36977.0,125013.0,4,3,89736.0,1,3,15,140881.0,55409.0,9,43305.0
1,9,611.0,1,34524.0,121809.0,22,9,89832.0,1,8,7,140857.0,32643.0,5,13500.0
1,4,1365.0,5,35314.0,126952.0,6,8,89408.0,0,14,14,140888.0,45988.0,3,39575.0
1,19,11838.0,26,,,9,10,,8,20,13,208460.0,,15,
2,5,2986.0,10,34903.0,121885.0,19,0,89412.0,6,0,6,137631.0,47792.0,4,29628.0
1,6,11314.0,24,,,16,22,91078.0,6,21,1,206781.0,163117.0,15,128431.0
1,22,,23,65461.0,144039.0,0,6,89714.0,4,6,2,194656.0,101826.0,15,114854.0
1,19,16605.0,15,,,12,23,,8,20,13,252611.0,1007483.0,15,
1,3,7625.0,22,69286.0,143286.0,13,14,89826.0,6,12,4,194661.0,140495.0,15,89551.0
1,14,,18,,,8,12,89525.0,6,10,9,171524.0,77624.0,1,66897.0
1,23,,25,65475.0,,17,25,90106.0,6,22,10,201995.0,109412.0,15,118153.0
1,18,520.0,3,31424.0,144045.0,2,21,89443.0,6,19,20,137636.0,32671.0,2,13499.0
1,19,8167.0,20,,2101664.0,18,7,,8,20,19,187416.0,96377.0,15,94707.0
1,19,14429.0,21,,,18,24,,8,20,13,,,15,
1,20,2299.0,2,34970.0,121675.0,15,4,89410.0,6,4,11,139338.0,56699.0,10,33707.0
1,11,2819.0,9,35840.0,131139.0,18,1,89403.0,3,1,23,139268.0,59726.0,13,34070.0
1,8,4008.0,14,46404.0,,1,11,89535.0,2,9,16,141294.0,73482.0,12,63607.0
1,10,11980.0,11,74188.0,146639.0,20,20,92485.0,6,18,8,210603.0,584338.0,15,138944.0
