Gene_Subclass,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
1,99,7608,40,40,1,6745,5,1
1,115,326018,97,97,1,323649,5,0
1,16,476915,36,36,1,476025,5,0
1,72,114401,60,60,1,112584,5,1
1,92,2332647,195,195,1,2330257,5,0
1,140,80177,230,230,1,78453,5,1
1,93,8014,79,79,1,5234,5,1
1,62,557,86,86,1,3,5,1
1,73,74182,14,14,1,73355,5,1
0,51,346408,201,201,0,346178,4,1
1,79,921959,61,61,1,919047,5,0
1,9,1129891,141,141,1,1128836,5,0
1,12,2216,39,39,1,1884,5,0
1,77,40192,221,221,1,38090,5,1
1,123,612,67,67,1,103,5,1
1,136,929,170,170,1,3,5,0
1,121,9109,148,148,1,6119,5,1
1,121,35665,146,146,1,33647,5,1
1,35,223303,151,151,1,221369,5,0
1,88,30441,191,191,1,27628,5,1
1,76,1639600,194,194,1,1637255,5,0
1,7,67398,219,219,1,66466,5,1
1,65,122795,34,34,1,121053,5,0
1,9,1121147,211,211,1,1120731,5,0
1,132,216652,229,229,1,216302,5,1
1,72,53404,239,239,1,53066,5,1
1,16,20561,115,115,1,20007,5,1
1,8,215357,59,59,1,214062,5,1
1,105,543960,132,132,1,542011,5,0
1,89,23503,234,234,1,21764,5,1
1,77,56787,222,222,1,55507,5,1
1,87,857583,104,104,1,854629,5,0
1,35,615828,182,182,1,612868,5,0
1,24,3521,171,171,1,564,5,0
1,114,640889,119,119,1,638082,5,0
1,13,119855,177,177,1,118959,5,1
0,110,202126,72,72,0,201683,2,0
0,37,157631,180,180,0,157230,2,0
0,46,218,150,150,0,3,1,0
1,63,578507,183,183,1,577500,5,0
1,103,835,4,4,1,1,5,0
1,60,12423,123,123,1,10753,5,1
1,140,100170,25,25,1,98553,5,1
1,21,74123,118,118,1,73479,5,1
1,61,17384,120,120,1,15111,5,1
1,16,395,197,197,1,3,5,1
0,96,1415811,19,19,0,1415230,1,0
1,133,229154,238,238,1,227562,5,0
1,25,47729,117,117,1,46503,5,1
1,10,10942,196,196,1,10619,5,1
1,71,45868,107,107,1,44981,5,1
1,137,10805,101,101,1,10074,5,0
1,121,706956,35,35,1,704473,5,0
0,129,4265,62,62,0,3411,2,0
1,99,8105,56,56,1,5802,5,1
1,19,1034156,70,70,1,1031220,5,0
1,69,1842055,205,205,1,1840004,5,0
1,22,7838,212,212,1,7741,5,1
1,17,4117,6,6,1,2168,5,1
0,117,1411,1,1,0,1097,2,0
1,73,51751,102,102,1,49106,5,0
1,1,2184398,81,81,1,2181870,5,1
1,21,76293,26,26,1,74227,5,1
1,113,28437,215,215,1,25624,5,1
1,22,1399795,23,23,1,1397420,5,0
1,60,6985,77,77,1,4031,5,1
1,30,46358,87,87,1,44298,5,1
1,109,1122061,140,140,1,1121249,5,0
1,58,57738,223,223,1,56893,5,1
1,123,11717,172,172,1,11061,5,0
1,108,629366,204,204,1,627348,5,0
1,130,34648,28,28,1,31775,5,1
1,92,41471,152,152,1,39177,5,1
1,134,42976,227,227,1,42014,5,1
1,33,2400,162,162,1,211,5,0
1,42,3058,134,134,1,647,5,0
0,27,71748,31,31,0,71398,0,1
0,120,202086,210,210,0,201577,2,0
1,85,368350,48,48,1,367493,5,0
1,58,83691,192,192,1,83233,5,1
1,128,33312,75,75,1,32212,5,1
1,90,1050263,154,154,1,1049748,5,0
1,55,358301,168,168,1,355485,5,0
1,8,23148,135,135,1,20869,5,1
1,130,1686,2,2,1,1,5,1
1,40,1381,98,98,1,2,5,0
0,94,1130987,142,142,0,1130442,1,0
1,132,33975,33,33,1,32362,5,1
1,84,47107,231,231,1,46339,5,1
1,119,25397,147,147,1,23602,5,1
1,7,2035,125,125,1,1445,5,0
1,79,254233,176,176,1,251879,5,1
0,49,282,113,113,0,1,2,1
1,4,270124,225,225,1,267929,5,0
1,45,3364,166,166,1,1112,5,0
1,3,8634,57,57,1,6310,5,0
1,44,6051,105,105,1,3256,5,0
1,63,88109,216,216,1,87465,5,0
1,45,794,8,8,1,3,5,0
1,119,36817,145,145,1,35931,5,1
0,34,2248,20,20,0,1520,1,1
1,76,903359,156,156,1,902475,5,0
1,3,513917,236,236,1,513297,5,0
1,52,24472,184,184,1,23342,5,1
1,140,46075,232,232,1,44094,5,1
1,32,4117,224,224,1,1346,5,1
1,116,1991,174,174,1,321,5,1
1,27,7580,82,82,1,6150,5,1
1,1,281858,149,149,1,279111,5,0
0,54,581031,237,237,0,580762,2,0
1,57,783875,65,65,1,783721,5,0
1,48,228,17,17,1,1,5,0
1,139,6341,58,58,1,3546,5,0
1,135,28634,137,137,1,28311,5,1
1,124,392192,100,100,1,389835,5,0
0,59,2270,55,55,0,1968,0,1
0,23,17833,29,29,0,17345,1,1
1,72,609376,203,203,1,606950,5,0
1,15,2735,213,213,1,1362,5,1
1,108,1444050,22,22,1,1442287,5,0
1,20,922,9,9,1,412,5,0
1,81,481120,103,103,1,478592,5,0
1,39,215,5,5,1,3,5,0
1,67,2208,139,139,1,1,5,1
1,93,15743,202,202,1,15195,5,1
1,2,4959,95,95,1,2632,5,0
1,38,38673,85,85,1,38134,5,1
1,1,317768,188,188,1,315381,5,0
1,7,781276,163,163,1,779186,5,0
1,52,46181,179,179,1,45609,5,1
1,19,703894,109,109,1,701207,5,0
0,94,2011553,3,3,0,2010699,3,0
1,0,4564,43,43,1,2810,5,1
0,102,1066,0,0,0,947,1,1
1,64,3052,53,53,1,605,5,0
1,3,498493,235,235,1,497942,5,0
1,75,6017,218,218,1,3066,5,0
1,131,4965,122,122,1,2173,5,1
1,91,585603,185,185,1,583600,5,0
1,83,2706,83,83,1,1,5,1
1,16,89160,178,178,1,86623,5,1
1,9,88412,90,90,1,86619,5,1
1,84,101201,24,24,1,100433,5,1
1,16,5632,13,13,1,4214,5,0
1,76,1161359,88,88,1,1159086,5,0
1,41,929,16,16,1,492,5,0
1,23,10351,173,173,1,7736,5,1
1,108,1338938,189,189,1,1337487,5,0
1,138,699100,68,68,1,696140,5,0
1,22,16367,30,30,1,13620,5,1
1,122,1153652,143,143,1,1152030,5,0
1,43,32383,198,198,1,29822,5,0
1,85,69602,78,78,1,68706,5,1
1,8,71222,124,124,1,69540,5,1
1,13,18217,114,114,1,15659,5,0
1,63,57820,32,32,1,56951,5,0
1,77,73875,207,207,1,71692,5,1
1,127,5666,165,165,1,3972,5,0
1,76,33980,160,160,1,31590,5,1
1,29,578251,159,159,1,576644,5,0
1,122,475584,91,91,1,473026,5,0
1,106,583,155,155,1,2,5,0
1,98,2783,37,37,1,909,5,1
1,74,56560,220,220,1,55610,5,1
1,17,453362,127,127,1,452610,5,0
1,28,11981,99,99,1,9216,5,0
1,100,915785,187,187,1,913926,5,0
1,132,772241,46,46,1,769332,5,0
0,101,1231,12,12,0,899,1,1
1,6,1575,18,18,1,712,5,1
1,30,74451,228,228,1,72187,5,1
1,128,3080,51,51,1,735,5,1
1,97,45115,199,199,1,42281,5,0
1,56,2190,93,93,1,1,5,1
1,11,147,10,10,1,1,5,0
1,127,521339,130,130,1,518895,5,0
1,135,612431,128,128,1,611934,5,0
1,1,750468,63,63,1,747616,5,0
1,80,24991,110,110,1,22313,5,0
0,75,1238,209,209,0,288,1,1
1,14,4197,144,144,1,3526,5,1
1,36,6226,11,11,1,4295,5,0
1,4,1020701,158,158,1,1018377,5,0
1,135,63967,206,206,1,63425,5,1
1,16,8168,47,47,1,5343,5,0
1,126,1852084,64,64,1,1850486,5,0
1,50,382722,96,96,1,380155,5,0
1,26,9729,84,84,1,7402,5,1
1,2,17064,73,73,1,15238,5,0
1,58,521580,38,38,1,519241,5,0
1,104,814312,217,217,1,811961,5,0
1,66,34273,7,7,1,33176,5,1
1,106,58454,108,108,1,55821,5,1
1,29,504842,69,69,1,502038,5,0
1,106,26773,106,106,1,26201,5,1
1,18,856711,126,126,1,855554,5,0
1,142,112160,80,80,1,109194,5,0
1,132,752571,45,45,1,750136,5,0
1,118,6087,15,15,1,4936,5,1
1,84,630925,167,167,1,630173,5,0
0,121,795045,186,186,0,794215,1,0
0,71,587282,66,66,0,586959,2,0
1,5,617,52,52,1,1,5,0
1,127,478396,131,131,1,477242,5,0
1,121,822273,208,208,1,821002,5,0
1,76,2334536,193,193,1,2334039,5,0
1,123,4194,214,214,1,3232,5,0
1,22,957,164,164,1,103,5,1
1,88,13228,190,190,1,10472,5,1
