EntityType,GenomicEndPosition,GeneDbId,EncodedProtein,GenomicStartPosition,StrandOrientation
0,1037760,369,4,1037092,1
1,18293,404,3,17649,0
0,7200,135,4,6637,0
0,55025,359,4,54438,0
0,1464254,87,4,1463646,0
0,487260,203,4,486679,1
0,2016292,330,4,2015537,0
0,9057,388,4,8128,0
0,4555,132,4,3962,0
0,683253,97,4,682675,0
0,807166,153,4,806492,1
1,112468,401,1,111971,0
0,4870,341,4,4217,0
0,2682,266,4,1954,0
0,163066,8,4,162521,1
0,1955674,333,4,1955171,0
0,756041,98,4,755460,1
0,1368555,310,4,1367977,1
0,1487064,91,4,1486369,1
0,36247,71,4,35642,1
0,1187163,347,4,1186465,0
0,120884,33,2,120498,0
0,1921473,107,4,1920904,1
0,438865,352,4,438233,0
0,308712,370,4,308044,0
0,1033564,300,4,1032920,0
0,1604078,115,4,1603452,0
0,85370,60,4,84681,0
0,17407,263,4,16820,0
0,497483,125,4,496893,0
1,1738968,27,3,1738420,0
0,6677,379,4,6162,1
0,278070,224,4,277438,1
0,1731530,337,4,1730895,0
0,477620,208,4,476973,0
0,565167,382,2,564760,0
0,10321,126,4,9749,0
0,1686468,111,4,1685914,0
0,7629,232,4,6979,0
0,1645,356,4,1004,0
0,376974,54,4,376393,1
0,767988,273,4,767290,0
0,426818,138,4,426186,1
0,39701,51,4,39237,1
0,265007,261,4,264339,0
0,782,45,4,129,1
0,1132814,318,4,1132212,1
0,30799,72,4,30158,1
0,159847,66,4,159101,1
0,694973,308,4,694383,0
0,1637787,113,4,1637185,1
0,487905,170,4,487330,0
1,356421,430,3,355831,1
0,1932015,106,4,1931470,0
0,2027,38,4,1341,0
0,1743790,336,4,1743146,0
0,515441,209,4,514617,0
0,1118634,320,4,1117975,1
1,347837,17,3,347313,0
0,250738,324,4,250097,0
0,1579,3,4,1004,1
0,570400,75,4,569783,0
1,544317,147,1,543658,0
0,52129,267,4,51491,0
1,19103,380,3,18480,1
0,4829,260,4,4128,0
0,599763,235,4,598996,1
0,430625,12,4,430509,0
0,1142859,409,4,1142287,1
0,339516,227,4,338926,0
0,1413348,212,4,1412725,1
0,1066542,405,4,1065931,1
0,15668,345,4,15015,0
0,6518,305,4,5874,1
0,26110,307,4,25487,1
1,504309,428,3,503911,1
0,610947,367,4,610288,1
0,1995197,219,4,1994529,0
0,216763,323,4,216122,0
1,588625,158,3,587969,1
0,416038,383,4,415541,0
1,463493,100,3,462885,1
0,14001,394,4,13402,1
0,276224,137,4,275592,0
0,602338,321,4,601643,1
0,1845,389,2,1489,1
0,314714,122,4,314181,0
0,1473130,86,4,1472456,0
0,1100102,407,4,1099440,1
0,444695,30,4,444042,0
0,42175,386,4,41594,0
0,9261,128,4,8539,0
0,382637,56,4,382086,0
0,35038,304,4,34388,1
0,410050,250,4,409331,0
1,13194,350,3,12661,1
0,641578,82,4,640880,1
0,320021,423,4,319437,1
0,70385,301,4,69732,0
0,2893,384,4,2228,0
0,36160,19,4,35462,1
1,628319,185,3,627354,1
1,978860,278,1,978390,0
0,288480,175,4,287506,0
0,331967,154,4,331098,0
0,467996,365,4,467418,0
0,1344856,200,4,1344239,0
0,340144,413,4,339536,0
0,218124,167,4,217234,0
0,17055,47,4,16375,0
0,1049,287,4,204,1
0,789660,152,4,789061,1
0,855201,23,4,854569,1
0,281,10,5,3,1
0,16035,343,4,15472,0
0,301818,281,4,301183,1
0,6125,11,4,5631,1
0,578960,76,4,578253,0
0,1670681,28,4,1670067,0
0,538452,146,4,537880,1
0,278450,246,4,277617,0
0,473006,256,4,472107,0
0,16573,166,4,15977,0
0,1236,124,4,691,0
0,2152710,105,4,2152117,1
0,750998,202,4,750414,0
0,497850,297,4,497083,1
0,653543,83,4,652923,1
0,729959,95,4,729363,0
0,350824,414,2,350453,1
0,584282,133,4,583626,1
0,425782,142,2,425384,0
0,1183104,326,4,1182499,0
0,160801,403,4,160181,0
1,10872,103,3,10210,0
0,412598,283,4,411981,1
0,514088,296,4,513441,1
0,667099,4,4,666332,1
0,244449,291,4,243556,0
0,223254,292,4,222562,0
0,260483,177,4,259935,0
0,1078119,194,4,1077559,0
0,198335,41,4,197730,1
0,1243238,188,4,1242540,1
0,1109266,398,4,1108595,0
0,6197,387,4,5628,0
0,38888,78,4,38181,1
0,374682,40,4,374062,0
0,1420673,90,4,1420101,0
0,388432,196,2,388043,1
0,70633,58,4,70109,0
0,11230,374,4,10535,0
0,673589,186,4,672981,1
0,1677970,117,4,1677395,0
0,5761,375,4,5141,0
0,1886263,220,4,1885670,0
0,311313,422,4,310645,1
0,274287,173,4,273715,1
0,433446,207,4,432955,0
0,36542,385,4,35961,1
0,541203,102,4,540331,0
0,375081,121,4,374536,1
0,1134002,408,4,1133424,1
0,1481322,92,4,1480762,1
1,1261581,325,3,1260970,0
0,1739,6,4,1236,1
0,405277,141,4,404699,0
0,1581481,217,4,1580900,1
0,2442,288,4,1612,1
0,327963,424,4,327337,1
0,1411596,21,4,1410949,0
0,253089,178,4,252442,0
0,897457,275,4,896894,0
0,358436,280,2,358038,1
0,11470,46,2,11081,1
0,371048,279,4,370350,1
0,1943209,9,4,1942577,0
0,7470,271,4,6853,1
0,76266,282,4,75574,1
0,21243,14,4,20602,1
0,605996,241,4,605367,1
0,332148,411,4,331510,0
1,844685,368,3,844098,0
0,1875155,221,4,1874526,0
0,617680,236,4,617066,1
0,59685,48,4,58891,0
0,1591262,332,4,1590720,0
0,31626,357,4,31012,0
0,67780,415,4,67067,0
0,425359,251,4,424565,0
0,281837,179,4,281250,0
0,1169771,348,4,1169145,0
0,1200244,313,4,1199621,0
0,18926,390,4,18276,0
0,2115566,25,4,2114982,1
0,1109679,317,4,1109041,1
0,1559,50,4,987,1
0,413954,418,4,413337,0
0,128464,416,2,128075,0
0,1139142,316,4,1138561,1
1,385637,20,3,384969,0
0,1348,168,4,512,1
0,567879,381,2,567310,0
0,190891,65,4,190256,1
0,3660,197,4,3085,1
0,1001979,94,4,1001410,0
1,1671935,118,3,1671336,0
0,3008,164,4,2760,1
0,17644,349,4,17072,0
0,393310,284,4,392783,0
0,1025055,193,4,1024453,0
0,1611491,331,4,1610868,0
0,11006,13,4,10434,1
0,1840810,109,4,1840178,0
0,1182146,314,4,1181541,1
0,377041,363,4,376496,1
0,389569,252,4,388676,0
0,1235855,189,2,1235211,1
0,1806636,338,4,1806064,0
0,7249,52,4,6641,0
0,452612,285,4,451995,0
0,410649,143,2,410251,0
0,1121,2,4,531,0
1,690105,149,3,689434,0
0,7534,344,2,7151,0
0,14571,377,4,14272,0
0,237931,289,4,237338,0
0,622513,26,4,621803,0
0,253619,171,4,252897,0
0,244194,181,4,243160,0
0,1176204,399,4,1175530,0
0,668902,150,4,668282,1
0,22995,306,2,22609,1
0,47042,79,4,46335,1
0,6670,230,4,6140,1
0,462219,364,4,461563,1
0,1079,127,2,750,0
0,1784731,334,4,1784156,1
0,1392058,309,4,1391459,0
0,170789,67,4,170208,1
1,44727,395,3,44119,1
0,917604,276,4,916954,0
0,7294,264,4,6638,0
0,9111,131,2,8734,0
0,633393,81,4,632488,1
0,2852,16,4,2211,0
0,1610144,114,4,1609563,0
0,219644,70,4,218985,1
0,873,5,4,262,1
0,462632,140,4,462006,0
0,1707,378,4,1054,0
0,555039,77,4,554104,0
1,891600,274,1,891058,1
0,522983,295,4,522417,1
0,897652,243,4,897068,0
0,445439,134,4,444747,0
0,8892,376,4,8245,0
0,407298,184,4,406639,0
0,95645,63,4,95094,1
0,296809,421,4,296102,1
0,438791,31,4,438168,1
0,296422,247,4,295724,0
0,311595,412,2,311224,1
0,22912,57,2,22523,0
0,20624,73,4,19953,1
0,262228,36,4,261515,0
0,603114,240,4,602248,1
0,610905,157,4,610333,0
1,862102,244,3,861431,0
0,9993,32,4,9376,1
0,1448091,88,4,1447573,1
0,12594,199,4,11959,1
0,367683,155,4,367096,0
0,28027,43,4,27344,0
0,406686,139,4,406078,0
0,32545,265,4,31979,0
1,11424,39,3,10828,0
0,465000,354,4,464038,0
1,874302,277,3,873739,1
0,1570983,120,4,1570405,1
0,456160,322,4,455483,0
1,28680,129,3,27985,0
0,478938,101,4,478315,0
0,494817,204,4,494134,1
0,21792,346,4,21193,0
0,649380,239,4,648745,1
1,499409,366,3,498789,0
0,21840,233,4,21079,0
0,551183,229,2,550740,0
0,53116,397,5,52718,0
0,302673,248,4,302005,0
0,633183,237,2,632827,1
0,1148872,410,4,1148204,0
0,548259,144,2,547909,0
0,627298,99,4,626603,1
0,555039,429,4,554545,1
0,269583,420,4,268954,0
0,1587490,214,4,1586741,0
0,1060193,191,4,1059636,1
0,266589,176,4,265723,0
0,21892,340,4,21179,0
0,400683,55,4,400036,1
0,11825,44,4,11139,0
0,564291,148,4,563632,1
0,1722444,339,4,1721857,1
0,1871216,108,4,1870641,0
0,1081012,406,4,1080440,1
0,217404,22,4,216745,0
0,2130876,104,4,2130250,1
0,5418,234,4,4696,1
0,266951,174,4,266226,0
0,643220,201,4,642618,0
0,238595,172,4,237978,1
0,174019,64,4,173294,1
0,33533,391,4,32910,1
0,66227,303,4,65685,0
0,1038285,192,4,1037734,1
0,1299223,187,4,1298663,0
0,549268,74,4,548651,0
0,1790185,222,4,1789544,1
0,110877,156,5,110344,1
1,44362,302,3,43754,1
0,375323,426,4,374682,1
0,1894275,110,4,1893637,1
0,48963,358,4,48349,0
0,63431,62,4,62859,0
0,559332,145,2,558976,0
1,1947,15,3,1330,1
1,807869,24,3,807330,1
0,17246,269,4,16593,0
0,11667,262,4,10975,1
0,1192370,315,4,1191744,1
0,777907,151,4,777242,0
0,474095,355,4,473496,0
0,548591,228,2,548190,0
0,1654543,29,4,1654004,1
0,15815,361,4,15231,0
0,417430,206,4,416753,1
0,50225,396,4,49587,0
0,23909,362,4,23259,0
0,1935320,218,4,1934724,0
0,1439745,89,4,1439215,1
0,1628056,215,4,1627475,0
0,5356,351,4,4736,1
0,272757,180,4,271798,0
0,422988,183,4,422386,0
0,431207,427,4,430704,0
0,563485,93,2,563114,0
0,4939,7,4,4241,1
0,488252,254,4,487683,0
0,2159962,327,4,2159390,0
0,305429,372,4,304515,0
1,210445,136,3,209840,1
0,636879,160,4,636250,1
0,2103139,223,4,2102468,1
0,211634,419,5,211245,0
0,34921,270,4,34262,1
0,1578872,119,4,1578312,0
0,596495,161,4,595866,0
0,9539,198,4,8904,1
0,491431,298,4,490859,1
0,458814,353,4,458125,0
0,283286,425,4,282588,0
0,1863,42,4,1279,0
0,1306828,211,4,1306226,1
0,10499,37,2,10110,1
0,6256,130,2,5888,0
0,77237,59,4,76545,0
0,1685667,116,0,1685527,0
0,566496,299,4,565864,1
0,1212108,312,4,1211533,0
0,8071,393,4,7124,1
0,631273,159,4,630704,1
0,1357417,311,4,1356881,1
1,1337715,213,3,1337152,0
1,893116,242,3,892445,1
0,102031,0,4,101630,1
0,460277,286,4,459570,0
0,542828,293,4,542232,1
0,2082607,34,4,2081918,1
0,632235,85,4,631654,1
0,253563,290,4,252895,0
0,1069989,195,4,1069351,0
0,54130,400,4,53294,1
1,225709,68,3,225092,1
0,2039757,329,4,2039173,1
0,55031,268,4,54300,0
0,42738,392,4,42403,1
0,698962,96,4,698387,1
0,930600,245,4,929947,1
0,510533,431,4,509916,0
0,1653046,112,4,1652444,1
0,602022,162,4,601444,0
0,9693,360,4,9067,0
0,325661,371,4,325122,0
0,57983,61,4,57381,1
0,482096,257,4,481446,0
0,152203,402,4,151562,0
0,7816,169,4,6941,1
0,459742,253,4,459083,0
0,8984,259,4,8412,1
0,285006,249,4,284026,0
0,786,373,4,88,0
0,521226,210,4,520573,0
0,1896,258,4,1198,1
0,423275,205,4,422700,0
0,297265,226,4,296609,0
0,421453,417,4,420860,0
0,10738,165,4,10142,1
0,410431,182,4,409799,0
0,717564,272,4,716974,1
0,497547,255,4,496699,0
0,2021354,35,4,2020752,1
1,22510,53,3,21845,0
0,12963,342,4,12349,0
0,1279824,190,4,1279111,1
0,2141017,328,4,2140400,0
0,203566,69,2,203195,1
0,641268,238,4,640657,1
1,1773473,335,3,1772775,1
0,537100,294,4,536468,1
0,3185,163,4,2544,1
0,1094415,319,4,1093786,1
0,567898,123,2,567485,0
0,4704,231,4,4066,0
0,55203,80,4,54550,0
0,288418,225,4,287768,0
0,165971,18,4,165327,0
0,627125,84,4,626559,1
0,1646736,216,4,1646206,0
0,11303,49,4,10641,1
0,661517,1,4,660867,1
