STRAND_ORIENTATION,GENOMIC_END_POSITION,GENE_ID,GENE_DB_ID,ENCODED_PROTEIN,CHROMOSOME_ID,GENOMIC_START_POSITION
1,1786847,66,66,0,0,1785821
0,2123033,226,226,0,9,2121981
1,154819,176,176,0,6,154022
1,2005679,75,75,1,0,2004696
1,545737,18,18,0,0,544797
0,727451,27,27,0,0,726416
0,1764239,163,163,0,4,1763508
0,2175621,228,228,0,9,2174909
0,2631052,246,246,0,12,2630098
1,1528688,55,55,1,0,1527763
1,13907,142,142,0,2,12933
0,3185796,109,109,0,0,3184809
1,1211877,137,137,0,1,1210906
0,2741232,210,210,1,7,2740189
0,3350446,112,112,0,0,3349469
1,69437,173,173,0,6,68407
0,2236648,80,80,0,0,2235660
0,2958958,257,257,1,12,2958174
0,3374873,113,113,0,0,3373889
0,2126124,78,78,1,0,2125348
0,845231,33,33,0,0,844259
1,117913,234,234,0,10,116867
1,132449,264,264,0,13,131407
0,1287410,149,149,0,2,1286397
0,914773,35,35,1,0,913902
0,3087645,107,107,0,0,3086711
0,1317363,140,140,0,1,1316438
1,1775441,65,65,0,0,1774454
0,2604343,244,244,1,12,2603401
0,434763,14,14,0,0,433749
0,240684,6,6,0,0,239723
1,83058,233,233,0,10,82100
0,2663503,208,208,0,7,2662569
1,2708277,92,92,0,0,2707301
0,841681,32,32,0,0,840713
0,694956,25,25,0,0,693924
1,2960312,101,101,1,0,2959559
1,292637,160,160,1,4,291670
1,1701321,62,62,0,0,1700384
1,42295,172,172,0,6,41246
0,312759,8,8,0,0,311723
1,69433,220,220,0,9,68481
1,20656,231,231,0,10,19677
0,2269235,82,82,0,0,2268255
0,1771461,164,164,0,4,1770454
1,1123510,44,44,0,0,1122552
0,2571118,242,242,0,12,2570141
1,2987289,103,103,0,0,2986294
0,407514,12,12,1,0,406664
1,90623,190,190,0,7,89650
1,155111,218,218,1,8,154099
1,3591099,120,120,0,0,3590238
1,3943402,132,132,0,0,3942518
1,1925586,71,71,0,0,1924600
0,2700655,209,209,0,7,2699685
1,566514,19,19,0,0,565550
1,173724,193,193,0,7,172733
0,2991514,258,258,0,12,2990543
0,1253998,146,146,0,2,1253021
1,605384,20,20,0,0,604369
1,220934,195,195,0,7,219956
1,2664333,90,90,0,0,2663373
1,1989967,74,74,0,0,1988968
0,2642245,207,207,0,7,2641489
1,2811023,94,94,0,0,2810056
