SportType,FreebaseId,CommonsCategory
1,14,18
1,7,7
1,23,36
1,15,14
1,33,15
1,8,30
1,9,35
1,32,24
1,23,36
1,19,12
1,1,28
1,28,31
1,36,6
1,3,8
1,28,31
1,26,1
1,31,17
1,23,36
1,31,17
1,33,15
1,18,24
1,19,12
1,17,3
1,13,34
1,24,16
1,25,22
1,16,33
1,4,20
1,3,8
1,36,24
1,12,32
1,7,7
1,10,0
1,8,30
1,35,24
1,25,22
1,6,11
1,31,17
1,21,5
1,36,24
1,36,24
1,2,25
1,35,24
1,30,13
1,8,30
1,27,29
1,18,24
1,36,6
1,36,2
1,1,28
1,34,27
1,16,33
1,11,19
1,23,36
0,36,24
1,19,12
1,0,21
1,26,1
1,28,31
1,20,23
1,7,7
1,12,32
1,13,34
1,5,26
1,36,9
1,22,37
1,36,24
1,15,14
1,34,27
1,29,4
1,18,24
1,33,15
1,13,34
1,10,0
1,36,24
1,36,10
1,36,24
