EncodedProtein,OrthologId,GenomicEndPosition,GeneDbId,ChromosomeId,GenomicStartPosition
1,8,4428060,158,0,4427278
1,11,54050,184,3,53050
1,8,3991057,146,0,3990489
1,8,809644,6,0,808668
2,2,1540684,198,5,1539719
1,8,3922084,133,0,3921204
2,3,3479864,115,0,3478912
1,8,2348993,59,0,2348378
1,8,2795416,80,0,2794433
1,8,3875858,130,0,3874863
1,8,2375390,66,0,2374390
1,8,1052365,20,0,1051429
1,13,1539502,220,8,1538500
1,8,2476103,68,0,2475134
2,3,3942505,137,0,3941590
1,8,2371632,65,0,2371039
1,8,1003686,16,0,1002743
1,8,826044,9,0,825257
1,8,2980375,97,0,2979374
1,8,2355855,61,0,2354884
1,8,3085309,100,0,3083844
1,8,1330950,36,0,1330142
1,8,1007599,17,0,1006603
1,8,2840902,88,0,2839937
1,8,3511547,118,0,3510660
2,3,702779,0,0,701800
1,8,2352377,60,0,2351473
1,1,838943,178,2,837978
1,8,3979724,143,0,3978714
1,8,3013872,98,0,3012883
1,8,3134531,101,0,3133584
1,10,33815,191,4,32835
1,8,2827124,84,0,2826149
1,8,1048548,19,0,1047554
1,8,4049767,148,0,4048793
1,8,2568455,75,0,2567453
1,2,1639490,207,5,1638522
1,5,41331,169,1,40400
1,8,4270736,153,0,4269712
1,8,2975921,96,0,2975048
1,8,4266476,152,0,4265571
1,5,949235,170,1,948584
1,8,2124567,51,0,2123632
1,8,4058883,150,0,4058242
1,0,3111097,227,10,3110193
1,3,1726768,212,6,1725811
1,8,1369830,37,0,1368947
1,8,4562145,160,0,4561270
1,11,125238,187,3,124273
1,8,2237284,53,0,2236253
1,8,4507129,159,0,4506258
1,8,3938451,136,0,3937813
1,8,2879567,91,0,2878703
1,10,1520249,195,4,1519281
1,8,3928035,135,0,3927312
1,8,1234293,31,0,1233356
2,3,1205691,27,0,1204738
1,7,2480301,69,0,2479394
1,11,61219,185,3,60328
1,8,3604682,120,0,3604001
1,3,1713820,209,6,1712806
2,3,959824,13,0,958735
1,8,2823781,83,0,2822807
