Gene_Classification,Genomic_End_Position,Gene_Db_Id,Gene_Label,Entity_Type,Genomic_Start_Position,Strand_Orientation
1,447558,84,84,1,447142,1
1,9446,79,79,1,7647,0
0,5255,73,73,0,2763,0
1,994934,12,12,1,993237,0
1,2113129,5,5,1,2112008,1
1,339503,95,95,1,338613,1
1,571876,60,60,1,570902,0
0,409340,94,94,0,408633,0
0,747945,61,61,0,745645,0
0,415,76,76,0,74,0
1,34900,81,81,1,34403,0
0,1568049,34,34,0,1567459,1
1,796821,75,75,1,795886,0
1,677663,24,24,1,676746,0
1,1037381,92,92,1,1036476,1
0,434997,7,7,0,434554,1
1,787501,70,70,1,786539,0
0,514049,83,83,0,513210,1
1,1751697,6,6,1,1751281,0
1,767190,27,27,1,766081,0
1,155295,90,90,1,154171,0
0,14817,15,15,0,14209,0
1,74492,20,20,1,73803,0
1,1021876,58,58,1,1021316,0
1,1605890,77,77,1,1605162,0
1,310242,37,37,1,309811,0
1,1067748,78,78,1,1067248,0
1,810033,68,68,1,808633,0
1,524283,29,29,1,523744,0
1,1162532,40,40,1,1161927,0
1,796791,69,69,1,795304,0
1,1226536,45,45,1,1225625,1
0,292232,52,52,0,291777,0
1,493953,85,85,1,493609,0
0,579,47,47,0,1,1
1,1575106,51,51,1,1574483,0
1,1285729,44,44,1,1284860,1
1,738027,49,49,1,736090,0
1,624101,25,25,1,623469,1
0,6256,13,13,0,4343,1
1,3678,43,43,1,1996,1
0,415202,8,8,0,414870,0
1,456990,38,38,1,456034,0
1,26464,57,57,1,24623,1
0,43740,66,66,0,43105,0
0,556441,28,28,0,555500,0
1,302448,35,35,1,301999,0
1,408301,93,93,1,407363,0
0,14261,88,88,0,11517,1
0,69017,91,91,0,68592,1
1,1643722,32,32,1,1642802,1
1,84542,19,19,1,84111,1
0,2665,11,11,0,1541,1
1,1145346,89,89,1,1144930,0
1,1078009,0,0,1,1077569,1
0,598,63,63,0,2,1
0,743148,41,41,0,742618,0
1,1445532,21,21,1,1444765,1
0,828817,3,3,0,828224,1
1,1493,80,80,1,471,1
1,752839,23,23,1,752246,1
1,2418,10,10,1,715,1
1,405646,54,54,1,404846,1
0,1735532,71,71,0,1734645,0
0,995699,86,86,0,995106,1
0,2026309,9,9,0,2025506,1
1,483,18,18,1,1,1
0,1708125,2,2,0,1707238,0
1,571767,74,74,1,570709,1
1,888037,87,87,1,886754,0
0,18905,65,65,0,17574,1
0,1735953,72,72,0,1735636,0
1,846780,4,4,1,844948,1
1,3924,64,64,1,2239,1
0,287968,36,36,0,286817,0
1,776048,26,26,1,775092,0
1,15756,46,46,1,14755,1
1,232541,30,30,1,231249,0
1,322283,56,56,1,321357,0
1,75990,1,1,1,74263,1
1,156954,97,97,1,155782,0
1,389254,82,82,1,388238,1
0,12112,17,17,0,11726,0
0,3821,14,14,0,1521,1
1,1680779,33,33,1,1680060,0
0,11816,48,48,0,9516,1
1,446968,59,59,1,445976,0
1,1658775,31,31,1,1658077,1
1,1430208,22,22,1,1429318,0
1,1217,96,96,1,24,0
1,145136,62,62,1,143469,1
1,703062,67,67,1,702091,0
1,1786875,50,50,1,1786159,1
1,1000,42,42,1,2,0
0,457660,39,39,0,457121,0
1,2307,53,53,1,1621,1
0,309976,55,55,0,309383,0
0,11716,16,16,0,11321,0
