SportType,StageLabel,StageDistanceKm,ProCyclingStatsRaceId,StartLocation,StageType,StageDate,RaceEvent,NextStage,StageWinner,PreviousStage,GeneralClassificationLeader,StageDescription
1,4,177.6,,2,2,2,3,4,21,4,21,2
1,13,205.0,,30,23,10,8,11,22,13,22,0
1,2,835.0,102045.0,22,13,39,1,2,2,2,2,2
1,25,186.0,172903.0,12,6,23,14,27,31,22,30,2
1,6,256.3,109369.0,6,15,3,4,7,25,6,23,2
1,29,159.6,180531.0,27,16,27,18,32,18,25,18,0
1,24,199.2,172791.0,17,5,21,14,26,0,21,0,2
1,32,145.0,209960.0,31,23,35,19,28,4,33,33,3
1,8,185.5,,21,23,6,5,6,35,10,5,0
1,37,179.2,219379.0,26,22,32,21,33,8,35,7,4
1,40,200.8,,29,10,16,25,39,15,36,15,0
1,3,206.5,,20,11,1,2,3,33,3,31,0
1,19,185.0,150809.0,33,8,17,10,19,16,9,16,2
1,17,221.5,,32,21,14,8,15,7,17,6,0
1,23,241.2,178829.0,16,4,26,13,25,1,20,1,0
1,12,162.5,,21,23,9,8,10,23,35,22,0
0,10,542.0,,4,18,39,6,17,29,11,28,2
1,7,216.4,111051.0,14,9,4,4,8,10,7,9,2
1,36,140.1,227935.0,34,17,30,20,41,34,29,32,0
1,14,180.0,,36,23,11,8,12,18,14,18,0
1,18,195.5,,23,21,15,8,16,36,18,6,0
1,30,208.3,180592.0,5,20,28,18,34,20,26,20,2
1,16,153.0,,11,21,13,8,14,7,16,12,0
1,33,221.0,209961.0,8,23,36,19,29,6,30,33,3
1,1,209.0,102315.0,13,7,0,1,1,37,1,34,2
1,41,,,1,12,18,24,40,19,37,19,0
1,5,248.3,111135.0,28,1,5,4,5,14,5,14,2
1,34,238.0,209955.0,9,21,33,19,30,13,31,33,3
1,27,150.5,172909.0,37,19,24,14,38,28,24,27,0
1,22,261.0,171016.0,19,0,25,15,24,27,19,26,2
1,31,192.5,218507.0,2,2,31,20,35,26,28,24,2
1,9,211.0,116778.0,15,3,7,7,9,12,8,11,2
1,26,178.9,170997.0,7,22,22,16,22,9,35,8,0
1,21,27.8,163745.0,10,24,20,12,21,32,35,25,0
1,39,189.4,281469.0,25,22,38,23,37,5,35,4,0
1,20,145.0,166962.0,3,22,19,11,20,24,23,13,0
1,0,1237.1,,38,14,39,0,0,17,0,17,2
1,35,239.0,209957.0,35,21,34,19,31,6,32,33,3
1,11,178.0,,2,2,8,9,18,30,12,29,2
1,15,201.5,,24,21,12,8,13,36,15,12,0
1,38,192.4,264763.0,18,20,37,22,36,3,34,3,2
1,28,154.0,,0,23,29,17,23,11,27,10,1
