SportType,StageLabel,HostCountry,StageDistanceKm,StartLocation,StageType,StageWinner,RaceEvent,NextStage,StageDate,PreviousStage,StageNumber,GeneralClassificationLeader,StageDescription
1,4,9,177.6,2,2,21,3,4,2,4,10,21,2
1,13,7,205.0,30,23,22,8,11,10,13,3,22,0
1,2,0,835.0,22,13,2,1,2,39,2,10,2,2
1,25,9,186.0,12,6,31,14,27,23,22,10,30,2
1,6,1,256.3,6,15,25,4,7,3,6,10,23,2
1,29,9,159.6,27,16,18,18,32,27,25,10,18,0
1,24,5,199.2,17,5,0,14,26,21,21,10,0,2
1,32,5,145.0,31,23,4,19,28,35,33,1,33,3
1,8,7,185.5,21,23,35,5,6,6,10,3,5,0
1,37,9,179.2,26,22,8,21,33,32,35,0,7,4
1,40,9,200.8,29,10,15,25,39,16,36,10,15,0
1,3,3,206.5,20,11,33,2,3,1,3,10,31,0
1,19,5,185.0,33,8,16,10,19,17,9,10,16,2
1,17,7,221.5,32,21,7,8,15,14,17,7,6,0
1,23,2,241.2,16,4,1,13,25,26,20,10,1,0
1,12,7,162.5,21,23,23,8,10,9,35,0,22,0
0,10,9,542.0,4,18,29,6,17,39,11,10,28,2
1,7,4,216.4,14,9,10,4,8,4,7,10,9,2
1,36,9,140.1,34,17,34,20,41,30,29,4,32,0
1,14,7,180.0,36,23,18,8,12,11,14,4,18,0
1,18,7,195.5,23,21,36,8,16,15,18,8,6,0
1,30,9,208.3,5,20,20,18,34,28,26,10,20,2
1,16,7,153.0,11,21,7,8,14,13,16,6,12,0
1,33,5,221.0,8,23,6,19,29,36,30,2,33,3
1,1,1,209.0,13,7,37,1,1,0,1,10,34,2
1,41,9,,1,12,19,24,40,18,37,10,19,0
1,5,3,248.3,28,1,14,4,5,5,5,10,14,2
1,34,5,238.0,9,21,13,19,30,33,31,7,33,3
1,27,9,150.5,37,19,28,14,38,24,24,10,27,0
1,22,6,261.0,19,0,27,15,24,25,19,10,26,2
1,31,9,192.5,2,2,26,20,35,31,28,10,24,2
1,9,1,211.0,15,3,12,7,9,7,8,10,11,2
1,26,9,178.9,7,22,9,16,22,22,35,0,8,0
1,21,9,27.8,10,24,32,12,21,20,35,0,25,0
1,39,9,189.4,25,22,5,23,37,38,35,0,4,0
1,20,9,145.0,3,22,24,11,20,19,23,5,13,0
1,0,8,1237.1,38,14,17,0,0,39,0,10,17,2
1,35,5,239.0,35,21,6,19,31,34,32,9,33,3
1,11,9,178.0,2,2,30,9,18,8,12,10,29,2
1,15,7,201.5,24,21,36,8,13,12,15,5,12,0
1,38,9,192.4,18,20,3,22,36,37,34,10,3,2
1,28,10,154.0,0,23,11,17,23,29,27,3,10,1
