StrandOrientation,GenomicEndPosition,GeneDbId,EncodedProtein,ChromosomeId,GenomicStartPosition
0,320234,144,23,14,319014
1,81801,39,11,44,80905
1,15410,226,2,37,14340
0,2162466,64,11,18,2161639
0,779639,93,2,13,778437
1,1098996,239,3,17,1097833
1,444826,201,11,13,443996
0,1077230,227,11,14,1076451
0,46924,168,18,2,46142
0,1422032,53,15,18,1421220
0,745129,160,2,7,744176
0,432927,247,14,4,431740
0,18040,106,23,57,16886
1,402910,136,11,13,402068
0,1153229,240,22,17,1151997
1,750678,153,24,17,750031
1,9906,4,22,22,8728
1,12258,152,23,68,11053
1,2202990,63,24,18,2202343
0,1011398,156,1,17,1010715
0,375897,23,26,18,375253
1,992655,211,11,13,991897
1,4632,134,22,31,3406
0,581117,205,15,13,580287
1,493669,118,34,14,492404
1,749602,54,16,18,748862
0,1832,59,22,46,591
0,223492,245,34,4,222386
1,1088191,238,16,17,1087412
0,822069,208,18,13,821287
0,10709,218,2,77,9531
0,23056,193,18,73,22262
0,691455,90,11,13,690643
0,196658,242,14,4,195561
1,375903,35,20,3,374896
0,9985,148,0,65,9303
0,4174,29,2,41,2966
0,1070767,196,11,13,1069991
1,599280,204,11,13,598465
1,26139,27,11,41,25351
1,226729,41,0,11,226322
0,204825,243,12,4,203728
1,394684,22,1,13,394031
0,1897997,125,11,17,1897239
1,1860,161,0,69,1114
0,589228,206,23,13,588062
0,400728,175,0,14,399566
0,617253,207,11,13,616495
0,381597,14,2,8,380962
0,1428734,52,26,18,1428093
1,1968229,123,11,17,1967444
0,13702,26,2,40,12743
0,1193619,232,1,14,1192936
0,217780,244,12,4,216641
0,17599,77,2,50,16553
0,1057942,130,22,13,1056725
1,663709,103,11,17,662936
0,1471918,183,5,16,1470884
1,884301,138,2,13,883339
0,18090,95,30,52,17131
1,1783506,127,11,17,1782673
0,1194158,233,0,14,1193721
1,5205,96,2,53,4201
0,177073,104,2,19,175745
0,153559,235,30,79,152606
0,4472,216,23,75,3321
1,979496,114,30,18,978543
1,1905082,67,11,18,1904309
1,27009,43,2,27,25858
0,38006,197,11,74,37197
0,1221966,178,14,16,1220947
1,227094,18,1,11,226831
0,76658,38,0,44,76494
1,987733,112,0,18,987176
1,937169,155,2,17,936387
1,416187,119,23,14,415021
1,983808,113,30,18,982858
1,497744,117,34,14,496932
1,3831,169,2,72,3070
0,3587,162,2,70,2544
1,10011,37,11,43,9199
0,1474427,51,27,18,1473666
0,36547,223,9,36,35690
1,531335,173,0,1,530982
1,477748,116,2,14,476525
1,1925877,66,2,18,1925107
1,1564778,72,16,18,1564014
0,1106541,228,22,14,1105297
1,15525,108,8,30,14710
1,2102,110,2,58,1101
1,178084,109,21,15,176870
1,712890,91,18,13,712129
1,652441,50,2,6,651695
0,855470,137,7,13,854496
1,1677,75,29,48,712
0,301271,145,18,14,300510
0,11639,198,2,74,10170
1,2202884,185,24,17,2202237
1,1487286,181,14,16,1486264
1,2879,132,11,61,2091
0,12102,220,0,34,11231
1,563168,88,2,13,561921
1,12897,5,0,23,11857
0,878597,140,11,13,877761
0,2640,171,2,32,1327
1,2089274,122,24,17,2088630
0,422034,16,14,3,420934
0,137805,158,2,11,136807
1,77581,8,20,6,76523
0,684782,56,30,18,683826
0,914563,154,26,17,913814
0,31139,60,22,47,29922
0,1247221,180,2,16,1246121
1,1222996,105,16,18,1222181
0,297062,79,22,13,295851
0,1049347,131,15,13,1048619
1,36628,44,23,27,35402
1,1131697,170,2,18,1130438
0,31870,222,11,36,31118
1,363876,157,0,11,363610
1,946792,6,22,13,945539
0,2901,221,2,35,1762
0,1639752,121,19,16,1638709
0,550504,47,11,5,549704
1,17814,236,29,79,16873
1,826530,12,18,17,825718
0,335,10,0,24,3
1,7239,184,2,0,5971
0,41030,150,2,67,39978
0,19059,166,11,71,18244
0,1188618,194,31,13,1187623
0,1745136,192,16,18,1744339
1,2521,107,2,57,1283
0,250812,143,22,14,249592
0,731234,55,11,18,730422
1,1075329,3,1,13,1075195
1,182780,40,2,11,181743
0,492438,202,22,13,491209
0,1604402,189,17,17,1603254
1,11189,48,23,45,10047
1,13960,13,2,25,13361
0,39296,61,22,47,38151
0,384191,36,14,3,383100
0,12268,237,22,80,10958
1,2097143,191,11,18,2096334
0,13009,151,23,67,11804
0,571633,46,11,5,570836
1,11743,224,11,36,10985
0,556235,172,2,1,555144
0,1165493,230,11,14,1164663
1,613080,200,2,9,611866
1,9178,74,11,28,8375
1,2165485,186,24,17,2164835
0,41345,78,33,29,40839
0,29968,164,2,71,28721
0,358168,101,24,17,357524
1,517373,21,2,13,516597
0,37518,31,11,26,36670
