Gene_Classification,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,1713823,10,10,2,0,86,1711409,0
1,32772,101,101,1,1,116,29866,1
0,373899,32,32,2,0,27,371611,1
0,721934,79,79,2,0,34,719244,1
0,428427,92,92,3,0,83,425755,0
0,1324430,93,93,2,0,61,1322082,0
0,465591,162,162,2,0,112,462814,0
0,54199,35,35,2,0,45,51578,1
1,952113,118,118,1,1,38,949273,1
0,1024944,233,233,2,0,85,1022305,0
1,199898,39,39,1,1,93,197364,1
0,404584,120,120,2,0,92,402206,0
0,473501,202,202,3,0,121,470631,0
0,246580,91,91,2,0,5,243767,0
0,33755,30,30,2,0,55,30969,0
0,355891,244,244,2,0,116,353552,0
0,602339,48,48,2,0,61,600009,0
1,1100880,194,194,1,1,38,1098211,1
1,1123469,221,221,1,1,94,1120611,0
0,1147282,168,168,2,0,61,1144757,1
1,32977,216,216,1,1,114,30248,1
0,33431,29,29,2,0,98,30843,1
0,184674,7,7,2,0,95,182293,0
0,1516533,47,47,2,0,61,1514173,1
0,553480,173,173,3,0,65,550610,0
0,16153,33,33,2,0,45,13502,0
0,292921,245,245,2,0,118,290183,1
0,256062,178,178,2,0,120,253732,0
0,25495,54,54,2,0,98,22811,0
0,8691,195,195,2,0,30,6085,1
0,180436,213,213,2,0,43,177890,1
0,15222,212,212,2,0,7,12538,1
0,849988,205,205,2,0,79,847319,0
0,1919214,107,107,2,0,73,1916677,1
0,546874,143,143,2,0,105,544250,0
1,1014233,136,136,1,1,29,1011738,0
0,519004,251,251,2,0,74,516413,0
0,1161129,167,167,2,0,111,1158613,0
0,82609,139,139,3,0,41,79808,1
1,316755,121,121,1,1,94,314314,0
0,622377,45,45,2,0,9,620053,0
0,483376,100,100,2,0,107,480707,1
0,1176004,166,166,2,0,104,1173581,0
0,1015945,209,209,2,0,71,1013150,1
0,204433,67,67,2,0,44,201761,1
0,1745786,15,15,2,0,73,1743231,0
0,125132,85,85,2,0,46,122370,1
1,17633,25,25,1,1,64,14982,0
0,4209,123,123,2,0,67,1423,0
0,187941,232,232,2,0,36,185287,0
0,1035713,62,62,2,0,49,1032837,0
0,425184,137,137,2,0,53,422410,0
0,513629,257,257,3,0,82,510834,0
0,565358,87,87,2,0,111,563163,1
0,1115182,220,220,2,0,77,1112378,0
1,432436,159,159,1,1,61,429818,0
0,218715,59,59,2,0,70,215884,1
1,86749,153,153,1,1,68,84020,1
1,396102,74,74,1,1,93,393418,0
1,107074,254,254,1,1,72,104540,0
0,602587,46,46,2,0,85,600077,0
1,389747,164,164,1,1,125,387120,0
0,422008,200,200,2,0,32,419294,0
0,1065877,198,198,2,0,110,1063010,0
0,378614,163,163,2,0,87,375975,0
0,309384,112,112,2,0,120,306937,0
0,585607,86,86,2,0,118,583331,1
0,7162,23,23,2,0,45,4697,0
0,650434,43,43,3,0,37,647633,1
0,23290,218,218,2,0,73,20606,1
0,9867,65,65,2,0,98,7462,0
1,442799,201,201,1,1,47,439932,1
0,1695278,9,9,2,0,40,1692543,1
0,700388,17,17,2,0,106,697620,0
0,14845,51,51,3,0,50,11996,0
0,8092,214,214,2,0,42,5759,0
1,13979,197,197,1,1,0,11352,1
0,1045611,208,208,3,0,71,1042786,0
0,15062,90,90,2,0,45,12438,0
0,1061168,114,114,4,0,71,1059124,0
0,8115,172,172,3,0,44,5269,1
0,10893,95,95,2,0,59,8359,1
0,1966199,106,106,2,0,39,1963551,1
0,585177,204,204,3,0,23,582301,0
0,475012,142,142,2,0,113,472298,0
0,1314205,94,94,2,0,111,1311887,0
0,1096585,235,235,2,0,101,1093946,1
1,9580,196,196,1,1,37,6749,1
0,50888,152,152,2,0,51,48174,1
0,1062895,234,234,2,0,85,1060310,1
0,758419,49,49,2,0,22,756089,0
0,12594,151,151,2,0,45,9967,0
0,9089,217,217,2,0,24,6579,1
1,45075,126,126,1,1,26,42286,0
1,1578209,103,103,1,1,109,1575672,1
0,1818146,111,111,2,0,101,1815771,0
0,466038,176,176,2,0,64,463714,0
0,1851640,109,109,2,0,80,1848668,0
0,139709,253,253,2,0,90,138117,0
1,290907,119,119,1,1,18,288478,0
0,1171520,42,42,2,0,8,1169280,1
0,2047179,184,184,2,0,80,2044399,1
0,800723,165,165,2,0,3,798375,0
0,12158,13,13,2,0,54,9363,1
0,21771,88,88,2,0,45,19363,0
0,488327,203,203,3,0,23,485541,0
0,454333,158,158,2,0,106,451748,0
0,262330,243,243,2,0,83,259847,0
0,568854,259,259,2,0,105,566233,0
0,16377,145,145,2,0,45,13513,1
0,180486,38,38,2,0,41,177754,1
0,1596686,185,185,2,0,39,1594209,0
0,301826,242,242,2,0,89,299487,0
0,736453,83,83,3,0,71,733583,0
0,1006971,2,2,5,0,81,1005142,0
0,20976,61,61,2,0,9,18310,0
0,5331,150,150,2,0,98,2932,0
0,629809,115,115,3,0,6,627020,1
0,1816759,189,189,2,0,111,1814429,0
1,590672,258,258,1,1,61,588504,0
0,6553,122,122,2,0,62,4166,1
0,1152306,222,222,2,0,115,1149583,0
0,13678,156,156,2,0,16,10931,1
0,468388,72,72,3,0,79,465485,0
1,476059,149,149,1,1,103,473501,0
1,1152001,179,179,1,1,109,1149578,1
0,1007699,206,206,2,0,71,1005114,1
0,1129346,169,169,2,0,61,1126764,1
0,696919,77,77,2,0,23,694046,0
0,1156973,236,236,2,0,31,1154469,0
0,221070,141,141,2,0,85,218443,1
0,463778,84,84,2,0,35,460986,0
0,7513,6,6,2,0,122,4757,1
0,1553361,181,181,2,0,40,1550629,1
0,280853,68,68,2,0,126,278046,0
0,546370,50,50,2,0,95,543824,0
0,399549,238,238,2,0,53,396772,0
0,57145,60,60,3,0,91,54284,0
0,817323,82,82,2,0,71,814468,0
1,408107,19,19,1,1,24,405750,0
0,60414,227,227,2,0,13,57859,1
0,988200,207,207,2,0,34,985546,1
0,7898,12,12,2,0,63,5274,1
0,245264,52,52,2,0,2,242583,0
0,4732,125,125,2,0,98,2051,0
0,21506,63,63,2,0,98,18858,0
0,23129,128,128,3,0,98,20358,1
0,428401,73,73,2,0,75,425663,0
0,950785,134,134,2,0,39,948302,1
0,34218,64,64,2,0,98,31414,0
1,2065088,104,104,1,1,29,2062416,0
0,15093,157,157,3,0,127,12226,0
0,1251196,180,180,2,0,119,1248512,0
0,352788,249,249,2,0,110,350182,1
0,565683,140,140,2,0,116,563344,1
0,10603,8,8,3,0,1,7772,1
0,212927,0,0,5,0,25,211077,1
0,1200167,193,193,2,0,34,1197396,0
0,652210,99,99,2,0,12,649424,0
0,2201057,58,58,2,0,111,2198634,1
0,4709,34,34,2,0,50,2067,1
0,119436,255,255,2,0,14,116878,0
0,14331,230,230,2,0,25,11776,1
1,1633076,186,186,1,1,29,1630521,0
0,7054,124,124,2,0,50,4541,0
0,456596,18,18,2,0,36,453903,1
0,3590,211,211,2,0,30,942,1
0,1757922,188,188,2,0,33,1755496,1
0,1984371,187,187,2,0,61,1981915,0
0,529696,175,175,2,0,65,526820,1
0,272153,69,69,2,0,71,269451,0
0,423886,70,70,2,0,116,421607,1
0,379418,170,170,2,0,51,376740,1
0,1189938,225,225,2,0,108,1187140,0
0,25731,11,11,3,0,57,22858,0
0,35248,55,55,2,0,98,32438,0
0,3982,4,4,2,0,69,1541,0
0,867065,117,117,2,0,71,864531,0
0,460231,148,148,2,0,25,457457,1
1,2113696,56,56,1,1,29,2111357,0
0,783613,81,81,2,0,34,780839,0
0,35322,191,191,2,0,62,32611,1
0,506933,22,22,3,0,71,504105,0
0,41459,219,219,3,0,107,38613,1
0,584285,174,174,0,0,22,581721,0
0,404953,161,161,2,0,87,402317,0
0,16042,113,113,3,0,50,13142,0
1,574686,147,147,1,1,92,571897,1
0,596823,98,98,2,0,117,594229,1
1,71558,154,154,1,1,76,69066,0
0,1102343,226,226,2,0,77,1099539,0
0,556640,252,252,2,0,97,553878,0
0,22835,146,146,2,0,98,20457,0
0,65602,28,28,2,0,45,62846,0
0,2171498,182,182,2,0,101,2169063,1
0,3099,89,89,2,0,50,313,1
0,2180588,57,57,2,0,56,2178147,1
0,1865809,108,108,2,0,73,1862957,0
0,2060220,183,183,2,0,101,2057611,1
0,8030,144,144,2,0,50,5538,1
0,54570,31,31,3,0,55,51787,1
0,12466,229,229,2,0,102,9926,1
0,1650945,14,14,2,0,124,1648582,1
0,1181628,224,224,2,0,77,1179322,0
0,580806,97,97,5,0,84,578836,1
0,321121,171,171,2,0,96,318503,0
0,880730,135,135,2,0,39,877992,1
0,7331,96,96,3,0,60,4482,1
0,156435,37,37,3,0,85,153649,1
0,249052,76,76,2,0,3,246272,1
0,344245,16,16,2,0,99,341906,1
0,194602,248,248,3,0,85,191840,1
0,536061,256,256,2,0,87,533287,0
0,1828534,110,110,2,0,85,1825916,0
