SportType,StartLocation,HostCountry,GeneralClassificationWinner
1,30,7,10
1,34,7,8
1,8,7,7
1,11,2,8
1,7,7,15
1,6,7,4
1,22,8,6
1,36,7,7
1,20,2,7
1,28,4,7
1,26,1,8
1,40,2,7
1,23,2,8
1,14,7,5
1,39,2,8
1,16,2,8
1,27,7,8
1,17,2,0
1,33,7,1
1,15,6,0
1,41,7,7
1,13,7,3
1,4,2,8
1,31,3,8
1,24,1,8
1,21,7,7
1,2,5,2
1,1,0,7
1,32,7,8
1,25,7,1
1,19,4,13
1,35,7,8
1,3,7,8
1,9,2,7
1,48,7,7
1,36,7,8
1,44,2,11
1,29,2,0
1,12,7,9
1,37,7,8
1,0,7,8
1,31,7,8
1,43,7,0
1,18,2,14
1,1,0,12
1,46,7,7
1,42,2,8
1,38,7,8
1,5,7,8
0,45,7,8
1,32,7,7
1,10,2,8
1,47,7,7
