Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Genomic_Start_Position,Strand_Orientation
1,435022,85,85,434327,1
1,905931,42,42,905182,0
1,570089,26,26,569511,0
1,435780,38,38,435106,0
1,1654501,40,40,1653854,1
1,9043,54,54,8369,0
1,605502,67,67,604933,1
1,1565614,1,1,1565111,1
1,37689,21,21,37021,0
1,4852,23,23,4175,1
1,509037,87,87,508240,0
1,1091842,80,80,1091081,0
1,624606,14,14,623983,0
0,1204819,52,52,1204091,0
1,1064488,66,66,1063814,0
1,1153891,10,10,1153361,0
0,226568,58,58,225903,0
0,1728460,2,2,1728161,0
1,2105453,22,22,2104848,1
1,179239,36,36,178622,1
1,1142124,78,78,1141357,0
1,430900,25,25,430274,0
1,23414,74,74,22770,1
1,1104782,82,82,1104102,0
1,743660,15,15,742947,1
0,487905,30,30,487330,0
1,1560119,60,60,1559271,1
1,674303,16,16,673725,0
1,40393,24,24,39713,0
1,947466,43,43,947014,1
1,458055,68,68,457426,1
1,17347,19,19,16595,0
1,16318,34,34,15653,0
1,829209,72,72,828511,0
0,388745,86,86,388080,1
1,28212,63,63,27637,0
1,1690792,3,3,1690151,1
1,547641,32,32,547144,1
1,10697,76,76,10023,0
1,738855,27,27,738181,0
1,590414,56,56,589821,1
1,136301,83,83,135930,0
1,1192387,81,81,1191707,0
1,17274,12,12,16765,1
0,430064,8,8,429414,1
1,18257,75,75,17595,1
1,7133,45,45,6462,0
1,17466,29,29,16792,0
1,1732531,55,55,1731896,0
1,1702393,4,4,1701380,1
1,7796,50,50,7137,0
1,1607447,39,39,1606965,1
1,1832,11,11,1149,1
1,1682099,7,7,1681482,0
1,11162,77,77,10509,0
1,20358,62,62,19783,1
1,1507852,59,59,1507205,1
1,840636,5,5,840031,1
1,1661430,18,18,1660327,1
1,9429,44,44,8836,0
1,696859,33,33,696377,0
1,755,53,53,93,0
1,478865,37,37,478194,1
1,4297,73,73,3704,1
1,974933,46,46,974307,0
1,2154696,61,61,2154196,0
1,5579,84,84,4953,1
1,1172053,79,79,1171373,0
1,1154177,65,65,1153497,1
1,25270,48,48,24593,0
1,468982,17,17,468374,0
1,1728056,35,35,1727928,0
1,490761,70,70,490084,0
1,524975,57,57,524382,1
1,587573,71,71,586902,0
1,4340,20,20,3579,0
1,5600,51,51,4947,1
1,2529,28,28,1873,1
1,3403,13,13,2810,0
1,71817,9,9,71311,0
1,1266,0,0,595,0
1,475933,69,69,475256,0
1,989314,47,47,988862,0
1,7594,6,6,6935,1
1,472195,49,49,471323,1
1,4574,31,31,3870,0
0,1721960,41,41,1721430,0
1,68829,64,64,68515,1
