Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position
0,15360565,26,26,0,0,15358853
1,12513680,23,23,1,4,12512236
1,2887522,5,5,0,4,2884196
1,7460551,12,12,0,4,7459967
1,2385948,3,3,0,4,2384263
0,1224915,2,2,1,0,1223366
1,17428676,32,32,3,3,17427897
1,9603600,20,20,3,4,9602386
0,20084058,37,37,0,2,20081842
1,19880381,36,36,0,2,19879143
1,21851320,41,41,0,3,21850049
1,7156671,10,10,0,4,7153471
0,3388596,6,6,0,0,3386035
0,7442496,11,11,3,0,7441054
1,8721067,18,18,1,4,8720480
1,13088041,24,24,1,0,13087050
0,22919345,42,42,1,2,22917489
0,20691680,38,38,0,2,20687577
0,8892434,19,19,0,0,8890575
1,5683900,8,8,0,4,5682041
0,14601803,25,25,0,0,14599311
0,21160683,39,39,1,2,21158294
1,16695976,28,28,0,3,16693409
1,9862316,22,22,3,4,9860879
1,17427877,31,31,0,3,17426891
0,767777,0,0,2,1,765565
1,8493706,15,15,1,0,8492307
1,996955,1,1,0,4,994757
0,18876950,34,34,1,3,18876013
1,17031788,30,30,3,2,17030570
1,15535592,27,27,0,4,15533634
1,8720335,17,17,1,0,8719457
1,19878843,35,35,0,2,19877605
0,4764197,7,7,0,4,4763523
1,8719393,16,16,1,4,8718089
0,8100373,13,13,0,4,8099708
1,24181479,43,43,1,2,24178167
1,8285550,14,14,3,0,8284912
0,2743380,4,4,3,4,2741554
1,18569916,33,33,0,2,18567811
1,6803015,9,9,0,0,6802419
1,9660409,21,21,4,0,9659774
0,21357511,40,40,0,2,21354926
1,16883348,29,29,1,2,16882523
