StrandOrientation,GeneType,GenomicStartPosition,ChromosomeId,EncodedProtein,GeneDbId,GenomicEndPosition
1,1,1661937,17,2,12,1662950
0,1,394080,7,2,78,395492
0,0,1956215,19,8,59,1957918
0,0,739299,15,9,21,740372
1,0,1354634,19,8,50,1356346
0,1,427162,6,2,45,428550
0,1,544815,15,23,20,545819
0,0,806025,13,16,73,807440
1,0,222355,4,20,43,223767
0,0,965,25,13,4,2350
1,1,501994,5,2,26,503592
1,0,95182,37,5,72,96204
1,1,2120788,19,2,1,2122182
0,1,439477,7,2,74,440871
1,1,371496,20,2,53,373406
1,0,374896,2,6,6,375903
1,0,2133172,18,1,57,2133734
0,1,1719919,17,23,30,1720929
0,0,801154,12,15,80,802557
1,1,462872,8,2,18,464293
0,1,460189,6,2,48,461547
0,0,405529,19,11,79,406809
0,0,431323,8,21,17,432759
0,0,489063,2,0,5,489416
1,1,602953,15,2,62,603942
1,0,647746,19,10,2,649350
1,0,1052240,19,17,27,1053526
0,0,433358,7,10,75,434782
0,1,585836,6,2,82,587224
0,1,5479,24,23,3,6897
0,0,419701,7,10,40,421131
1,1,1478512,19,2,10,1480218
0,1,1109698,16,23,70,1111176
0,1,384458,6,2,49,385849
0,1,412408,7,2,41,413826
1,1,4406,1,23,44,5338
0,1,471442,6,2,47,472830
0,1,189334,11,2,64,190053
0,1,119065,3,23,13,120630
0,0,1805,21,20,16,3277
0,0,488378,2,1,25,488962
0,0,444157,19,11,42,445437
0,1,399644,9,2,19,401095
1,0,4375,29,16,23,5790
1,1,16488,23,2,67,17774
0,0,1622425,17,10,29,1623870
0,0,1176633,16,17,71,1178108
0,0,1204937,19,0,52,1206373
0,0,915636,15,1,35,915863
1,0,9875,34,0,65,10843
0,0,2076276,18,10,31,2077637
1,0,3,35,1,66,161
0,0,2898,32,19,60,4346
0,1,410611,14,2,36,411951
0,1,1612028,18,2,58,1613551
1,1,484647,16,23,28,486119
1,0,20227,28,0,11,21672
1,0,847224,18,10,0,848504
1,0,1884423,19,12,14,1885991
1,0,222680,8,19,34,224155
0,0,40730,33,19,61,42175
0,0,1860490,18,13,33,1861827
1,1,2137184,18,2,56,2138530
1,1,5179,36,2,69,6645
1,1,19890,10,2,8,21584
0,0,450994,7,18,22,452391
0,0,128835,0,14,81,129767
1,0,1181490,17,0,55,1181813
0,0,382887,7,4,76,384182
1,0,407386,0,0,24,407538
0,0,405110,7,10,39,406516
0,1,17999,27,2,9,19699
0,1,1,31,2,38,1461
0,0,1672462,19,6,15,1673448
1,0,55425,26,18,7,56906
0,1,3925,22,2,63,5370
0,1,375671,7,2,77,377047
0,0,1875676,18,20,32,1876953
1,0,1343381,19,3,51,1345315
0,0,400292,6,0,46,401051
0,0,17966,30,1,37,18574
0,0,1140743,17,22,54,1142020
1,0,37485,36,7,68,39044
