Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,InstagramUsername,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,CyclistName,CyclistDescription,TwitterUsername,BirthPlace,UciRiderId,WeightKg,BirthDate,SportsTeam,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,HeightCm,FreebaseId,SportCountry
0,9,71992.0,26637.0,7,6,,201838,7,0,2,4,111683,76.0,9,8,4,6,125323,61988,5,176.0,4,4
0,2,82827.0,30643.0,9,9,,217465,9,4,2,7,227110,,10,10,6,8,151350,97547,5,184.0,4,4
0,7,65955.0,26396.0,3,11,12337.0,189441,12,3,4,1,92304,,5,4,8,11,110201,41293,2,186.0,4,1
0,1,,,8,7,,239223,8,7,2,3,221617,,11,5,10,7,137570,96312,6,,4,3
0,5,27804.0,15286.0,0,5,,137756,6,10,2,11,55839,,1,9,0,5,39975,5273,3,170.0,3,6
0,8,,26392.0,6,4,,193131,5,1,2,6,148275,69.0,7,1,9,4,89152,45363,4,176.0,4,0
0,10,,,10,8,,259695,10,8,2,10,199947,,12,10,5,9,166006,127939,7,,4,4
0,11,41076.0,13362.0,11,10,56034.0,139405,11,5,3,12,65995,70.0,2,2,1,10,51551,3277,8,177.0,2,5
0,0,56070.0,20777.0,5,3,203494.0,179769,4,2,1,5,86568,71.0,4,7,8,3,79781,18575,0,180.0,4,4
0,6,69671.0,28448.0,4,2,,197781,3,1,2,2,152803,,6,6,7,2,101978,53489,5,191.0,4,0
0,4,,26965.0,1,1,,206730,1,6,2,0,162997,70.0,8,11,3,0,128820,71333,5,176.0,4,2
0,10,,2762.0,0,8,,138150,2,11,2,9,30887,,0,0,8,1,10624,9030,5,,1,4
0,3,52038.0,20697.0,2,0,9866.0,156131,0,9,0,8,86630,68.0,3,3,2,0,68186,20584,1,180.0,0,2
