GENDER,SIBLING_NAME,BIRTH_DATE,DEATH_DATE,GOOGLE_KNOWLEDGE_GRAPH_ID,MIDDLE_NAME,MOTHER_NAME,POSTHUMOUS_TITLE
1,0,30,6,17,1,17,75
0,0,79,44,54,0,17,28
1,0,69,53,31,1,15,3
1,0,27,26,37,1,27,59
0,0,41,75,63,0,10,79
0,0,46,80,42,0,3,47
0,0,84,74,41,0,15,38
1,0,40,82,10,0,2,64
1,0,67,16,48,1,9,55
1,0,0,86,13,0,15,47
1,2,55,17,34,1,3,23
1,0,73,64,39,1,0,4
1,0,45,33,22,1,15,71
1,0,56,36,76,1,8,78
1,0,59,43,2,0,13,25
0,0,70,79,52,0,15,47
0,0,38,77,81,0,7,35
0,0,9,31,57,0,19,52
0,0,14,56,73,1,17,30
1,0,17,61,27,1,23,15
1,0,11,23,6,1,6,74
1,0,81,76,18,0,10,69
0,0,20,38,71,0,5,48
1,0,80,52,19,1,15,72
0,0,42,46,74,0,9,43
0,0,8,63,83,1,6,31
1,0,51,41,35,1,9,17
0,0,66,27,85,0,0,61
0,0,54,24,70,0,25,45
1,0,48,14,33,1,9,68
0,0,4,0,26,0,14,0
0,0,10,67,50,0,1,41
0,0,71,28,55,0,13,70
1,0,39,12,4,1,1,22
1,1,24,39,84,1,22,1
0,0,32,65,53,0,8,47
1,0,49,49,8,1,3,11
1,0,63,78,38,1,18,47
0,0,75,85,64,0,17,47
1,0,36,47,20,1,11,9
1,1,15,72,77,1,4,65
0,0,6,3,1,0,5,24
1,0,2,45,21,1,22,73
0,0,33,25,72,0,21,58
0,0,28,66,80,0,7,18
0,0,5,35,60,1,14,53
0,0,58,14,69,0,17,54
0,0,31,20,40,0,3,46
1,0,37,30,25,1,5,76
1,0,22,22,28,1,15,49
0,0,52,8,43,0,20,47
1,0,34,86,7,1,15,47
0,0,66,58,61,0,13,39
1,0,74,59,75,0,26,5
0,0,19,73,46,0,11,40
0,0,25,55,85,0,24,36
1,0,44,71,30,1,12,14
1,0,53,37,11,1,13,20
1,0,83,19,32,1,17,47
0,0,64,21,66,0,9,44
1,0,47,54,14,1,26,12
0,0,65,51,85,0,17,42
1,0,78,48,12,1,9,8
0,0,12,2,45,0,2,66
1,0,62,69,24,1,8,6
1,0,60,70,29,1,26,2
0,0,72,15,67,0,9,62
1,0,3,1,15,1,14,51
1,0,61,68,5,1,14,10
0,0,57,18,68,0,9,50
1,0,13,42,78,1,7,63
1,0,26,9,23,1,11,77
1,0,23,4,16,1,2,19
1,1,16,13,79,1,2,16
1,0,35,29,3,1,10,26
0,0,82,83,65,0,0,32
0,0,43,34,58,0,25,56
0,0,41,7,62,0,17,57
0,0,68,84,85,0,17,37
0,0,29,81,49,0,15,47
0,0,50,62,47,1,26,33
1,0,7,50,0,1,11,7
1,0,76,60,9,1,10,13
0,0,85,32,51,0,15,29
0,0,18,11,59,0,1,60
1,0,1,57,82,1,16,67
0,0,77,40,56,0,13,34
1,0,21,10,36,0,15,27
0,0,31,5,44,0,4,21
