Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,InstagramUsername,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,TwitterUsername,BirthPlace,UciRiderId,NativeName,Languages,WeightKg,BirthDate,FirstName,GoogleKnowledgeGraphId,CyclingArchivesCyclistId,FirstCyclingRiderId,HeightCm,CyclingDiscipline,SportCountry
0,0,57256.0,23463,11,17,15,189196,6,17,89712.0,1,8,72.0,13,9,12,72654.0,34624,180.0,4,2
0,14,,5242,0,15,15,138108,6,2,,4,8,,3,16,12,18977.0,8492,,3,7
1,11,2747.0,3448,0,10,0,140768,5,7,32923.0,3,2,70.0,1,12,12,16824.0,14,175.0,4,7
0,20,54395.0,20730,15,21,7,168961,9,13,75859.0,9,1,70.0,12,21,12,74709.0,18258,187.0,1,0
0,13,,22472,0,12,15,168796,6,18,86976.0,4,5,,16,14,6,70650.0,16943,176.0,3,7
0,0,57256.0,23463,11,17,15,189196,6,17,89712.0,1,8,72.0,13,9,12,72654.0,34624,180.0,4,2
0,12,56938.0,20257,0,11,3,167585,15,8,86480.0,4,5,64.0,5,13,12,81851.0,16569,175.0,3,1
0,17,49272.0,17881,9,14,2,140294,7,11,76092.0,5,0,56.0,6,15,12,38092.0,4863,169.0,3,9
0,1,46381.0,18610,1,8,13,137427,10,19,71557.0,2,3,62.0,9,10,12,63999.0,12474,173.0,1,7
1,3,,7450,0,7,15,140113,6,16,30346.0,4,8,,2,8,10,17333.0,5389,,4,7
0,10,58428.0,21992,8,9,6,168776,4,21,86895.0,4,5,,17,11,12,77835.0,16793,179.0,3,3
0,4,62255.0,24189,3,2,11,187231,2,5,79522.0,4,3,64.0,15,2,4,82930.0,34011,176.0,3,7
0,5,52673.0,19070,0,3,1,137769,1,4,79921.0,4,8,,8,3,11,71836.0,7639,178.0,3,7
0,8,19558.0,3828,6,6,12,140870,14,10,34012.0,4,5,69.0,0,7,12,21215.0,264,182.0,2,3
0,9,65118.0,23940,2,0,15,182127,11,9,422863.0,4,0,,14,0,1,84375.0,27307,178.0,3,9
0,2,69634.0,26526,13,19,9,194619,8,15,149727.0,7,7,66.0,21,19,7,115790.0,45992,176.0,3,8
0,15,83295.0,28377,10,16,14,212377,3,0,587366.0,6,5,62.0,22,17,9,141854.0,84019,171.0,3,0
0,7,50317.0,18455,7,1,4,138294,0,3,68778.0,4,5,70.0,10,1,12,61900.0,6230,175.0,3,5
0,18,61537.0,24873,14,20,15,185567,6,22,111336.0,8,5,,20,20,3,104450.0,37297,184.0,0,7
0,16,46998.0,16666,12,18,5,140492,16,6,64680.0,4,4,71.0,7,18,12,48356.0,2338,176.0,3,4
0,6,62573.0,23503,4,4,10,181270,12,20,92264.0,4,8,63.0,18,4,0,91205.0,27124,174.0,3,2
0,21,,24123,0,22,15,185275,6,14,97648.0,4,8,,11,22,8,97121.0,22206,,3,7
0,13,,10234,0,13,15,138160,6,1,60602.0,4,6,,4,6,5,,8956,,0,7
0,19,49495.0,23426,5,5,8,177246,13,12,87061.0,0,5,,19,5,2,88470.0,37748,181.0,3,6
