host_country,general_classification_winner,official_website,pro_cycling_stats_race_id,edition_number,start_location,google_knowledge_graph_id,end_location
1,1,8,210024.0,106.0,1,5,4
1,4,0,247301.0,107.0,6,6,4
1,0,4,171088.0,104.0,2,0,4
4,6,1,173152.0,30.0,4,3,1
1,5,3,124228.0,101.0,5,7,4
1,0,4,171088.0,104.0,2,0,4
2,3,6,164399.0,40.0,9,4,0
0,3,0,,,7,7,3
4,6,1,173152.0,30.0,4,3,1
3,3,5,164129.0,21.0,3,2,2
2,2,7,139069.0,97.0,0,7,5
1,1,8,210024.0,106.0,1,5,4
4,0,2,171127.0,72.0,8,1,1
1,3,8,,,7,7,3
1,4,0,247301.0,107.0,6,6,4
2,2,7,139069.0,97.0,0,7,5
1,1,8,210024.0,106.0,1,5,4
0,3,0,,,7,7,3
4,0,2,171127.0,72.0,8,1,1
0,3,0,,,7,7,3
4,0,2,171127.0,72.0,8,1,1
