Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Genomic_Start_Position
0,1169344,41,41,1158920
1,7614,2,0,1030
1,609988,159,159,605538
0,1211309,164,164,1200861
1,71128,82,82,60752
1,18759,153,153,8548
1,52109,56,56,41772
1,64484,128,128,55971
0,424181,139,139,413739
0,225503,223,223,215040
0,1026196,142,142,1015775
0,330111,110,110,322282
1,458221,51,51,447770
0,685626,120,120,675331
0,18045,175,175,7588
1,108909,131,131,98518
1,47512,125,125,39092
0,775910,132,132,765552
1,22103,172,172,14689
0,332104,169,169,321641
1,7780,8,8,2
1,11317,87,87,5433
0,573981,160,160,563530
1,459416,62,62,449073
1,5380,25,25,2
1,214744,9,9,206012
1,31572,76,76,21127
1,63253,176,176,52823
0,286931,192,192,283691
0,149649,116,116,143326
1,14171,181,181,4392
1,11492,32,32,5925
1,26884,61,61,16478
1,45907,207,207,38978
0,13390,162,162,2987
0,698669,83,83,688299
0,9732,193,193,1
1,1233807,179,179,1224493
1,62951,95,95,52593
1,970184,186,186,959784
1,138304,216,216,127910
1,13701,154,154,3220
0,689245,14,14,678794
1,5595,6,6,1
0,213628,101,101,203258
0,24168,113,113,13795
1,31191,122,122,20812
0,3034,92,92,2
1,347060,220,220,339083
1,127990,151,151,117557
1,390898,219,219,380639
1,60872,208,208,50520
1,225073,35,35,217409
0,842551,213,213,832124
0,475972,78,78,470489
1,534898,114,114,529028
1,59093,70,70,53591
0,2345983,167,167,2335691
0,33876,201,201,23431
0,2017022,4,4,2011656
0,796435,42,42,786038
0,908777,38,38,898398
0,1020605,202,202,1014285
1,25728,94,94,21774
0,13163,66,66,2601
0,789447,214,214,779023
0,7954,194,194,2
0,743366,12,12,733188
0,1028641,19,19,1018586
1,69531,218,218,59128
0,5243,69,69,2
0,9826,22,22,2831
1,12411,134,134,1858
0,6482,3,3,3
1,78813,198,198,72588
1,12312,197,197,7990
1,40663,199,199,30197
1,51361,102,102,40991
0,288082,210,210,277652
0,328819,65,65,318764
1,127475,173,173,117093
1,32850,188,188,28143
0,207695,53,53,204667
1,36235,217,217,25871
0,11147,33,33,4143
0,1351353,156,156,1340908
0,30892,75,75,20468
0,745319,40,40,734937
1,353296,98,98,348857
0,7476,0,1,127
1,21015,77,77,14486
0,5481,157,157,1
1,5231,27,27,1
1,78745,64,64,68291
0,574518,143,143,565420
1,27113,195,195,16665
0,647211,117,117,636820
1,802151,13,13,791817
0,65194,21,21,54806
1,6388,124,124,323
0,296067,111,111,288610
0,62219,39,39,51870
1,19188,34,34,11071
1,34912,171,171,27714
0,239506,163,163,231410
0,595061,49,49,584655
1,52443,44,44,42064
0,5929,152,152,3
1,35770,43,43,25298
0,5956,20,20,733
0,586972,47,47,576509
1,88568,200,200,78117
0,13525,109,109,3143
0,623676,91,91,613279
1,11537,177,177,1098
0,505288,11,11,494840
1,39653,24,24,33702
1,158064,215,215,147781
1,54831,126,126,44338
1,1392969,106,106,1382515
0,2345195,168,168,2334792
0,5893,36,36,1
0,1174010,190,190,1168695
1,563694,144,144,556752
1,89016,119,119,78604
1,487135,86,86,478468
0,3341,191,191,3
0,5467,74,74,2
1,6015,149,149,103
1,6046,80,80,2
1,24830,103,103,14646
0,548110,155,155,541838
0,8611,118,118,3
1,940675,90,90,930293
0,566844,204,204,556376
1,94486,148,148,84056
1,19647,55,55,9304
1,1142692,89,89,1136952
1,17336,68,68,6891
1,6309,71,71,1
0,6144,63,63,3
0,818767,121,121,810066
0,252780,212,212,242332
0,6275,17,17,3
1,9243,23,23,3028
0,230403,211,211,222871
0,638425,174,174,628055
1,54812,5,5,50482
0,5690,79,79,3
1,6239,136,136,3
0,47046,58,58,36631
0,1352921,108,108,1342479
0,536745,48,48,531839
0,1415129,7,7,1406220
1,53597,31,31,43140
0,6877,30,30,2
1,82139,165,165,71676
1,571446,183,183,561022
1,97751,81,81,91272
1,40882,93,93,30431
0,64329,99,99,53935
0,19778,84,84,9420
1,409474,182,182,399029
0,501262,104,104,494255
0,1441553,107,107,1431102
0,796416,189,189,789632
0,18102,16,16,7759
0,635740,97,97,625292
1,29124,137,137,18715
0,510863,221,221,500484
0,347622,85,85,337195
0,8750,10,10,352
1,12299,147,147,2049
0,816094,67,67,805796
0,746001,146,146,735628
1,18044,37,37,13358
0,902706,96,96,892584
0,656937,158,158,646543
0,406298,26,26,400980
0,490459,112,112,480062
1,188433,129,129,178087
0,191125,46,46,180626
0,400877,72,72,396354
0,571102,15,15,563645
0,508446,161,161,497998
1,22907,1,2,17262
1,192236,130,130,185259
1,7036,196,196,1
0,1048694,138,138,1038261
1,14711,135,135,4479
1,5905,54,54,1
1,8139,180,180,1
1,15047,123,123,4680
0,610602,141,141,600223
1,46671,100,100,36289
0,138943,50,50,131411
0,682115,115,115,675892
0,656716,88,88,646334
0,56068,178,178,45617
0,2370774,166,166,2360422
1,107347,18,18,100946
1,364951,60,60,356759
1,79790,209,209,69342
1,34480,145,145,24017
0,545365,222,222,535076
1,7213,73,73,1
1,12287,133,133,1776
0,572820,185,185,566630
1,1301475,105,105,1291027
1,53674,205,205,43286
0,7785,140,140,1726
0,1049310,59,59,1038856
1,22220,224,224,11901
1,934030,203,203,926063
0,243214,170,170,232769
1,76316,29,29,71757
1,5029,28,28,2
0,780586,127,127,770171
1,12152,206,206,4158
1,102066,45,45,91621
1,19621,52,52,13649
1,72152,150,150,61794
1,600090,184,184,589645
0,9497,187,187,3
1,364064,57,57,353619
