Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
1,2058,40,40,1,1,5,0
1,326018,97,97,1,323649,5,0
1,476915,37,37,1,476025,5,0
1,114401,60,60,1,112584,5,1
1,2332647,195,195,1,2330257,5,0
1,80177,230,230,1,78453,5,1
1,8014,80,80,1,5234,5,1
1,38673,85,85,1,38134,5,1
1,74182,14,14,1,73355,5,1
0,346408,201,201,0,346178,4,1
1,921959,61,61,1,919047,5,0
1,1129891,141,141,1,1128836,5,0
1,1242,4,4,1,1100,5,0
1,40192,221,221,1,38090,5,1
1,612,67,67,1,103,5,1
1,929,170,170,1,3,5,0
1,9109,148,148,1,6119,5,1
1,35665,146,146,1,33647,5,1
1,223303,151,151,1,221369,5,0
1,30441,191,191,1,27628,5,1
1,1639600,194,194,1,1637255,5,0
1,67398,219,219,1,66466,5,1
1,122795,35,35,1,121053,5,0
1,1121147,211,211,1,1120731,5,0
1,216652,229,229,1,216302,5,1
1,53404,239,239,1,53066,5,1
1,20561,115,115,1,20007,5,1
1,215357,59,59,1,214062,5,1
1,543960,132,132,1,542011,5,0
1,23503,234,234,1,21764,5,1
1,56787,222,222,1,55507,5,1
1,857583,104,104,1,854629,5,0
1,615828,182,182,1,612868,5,0
0,282,113,113,0,1,2,1
1,640889,119,119,1,638082,5,0
1,119855,177,177,1,118959,5,1
0,202126,73,73,0,201683,2,0
0,157631,180,180,0,157230,2,0
0,218,150,150,0,3,1,0
1,578507,183,183,1,577500,5,0
0,1238,209,209,0,288,1,1
1,12423,123,123,1,10753,5,1
1,100170,26,26,1,98553,5,1
1,74123,118,118,1,73479,5,1
1,17384,120,120,1,15111,5,1
1,3521,171,171,1,564,5,0
0,1415811,19,19,0,1415230,1,0
1,229154,238,238,1,227562,5,0
1,47729,117,117,1,46503,5,1
1,10942,196,196,1,10619,5,1
1,45868,107,107,1,44981,5,1
1,10805,101,101,1,10074,5,0
1,706956,36,36,1,704473,5,0
1,6341,58,58,1,3546,5,0
0,2270,55,55,0,1968,0,1
1,1034156,71,71,1,1031220,5,0
1,1842055,205,205,1,1840004,5,0
1,7838,212,212,1,7741,5,1
1,4117,6,6,1,2168,5,1
0,1411,1,1,0,1097,2,0
1,51751,102,102,1,49106,5,0
1,2184398,82,82,1,2181870,5,1
1,76293,27,27,1,74227,5,1
1,28437,215,215,1,25624,5,1
1,1399795,23,23,1,1397420,5,0
1,8610,75,75,1,7165,5,0
1,46358,88,88,1,44298,5,1
1,1122061,140,140,1,1121249,5,0
1,57738,223,223,1,56893,5,1
1,11717,172,172,1,11061,5,0
1,629366,204,204,1,627348,5,0
1,34648,28,28,1,31775,5,1
1,41471,152,152,1,39177,5,1
1,42976,227,227,1,42014,5,1
1,2400,162,162,1,211,5,0
1,3058,134,134,1,647,5,0
0,71748,32,32,0,71398,0,1
0,202086,210,210,0,201577,2,0
1,368350,47,47,1,367493,5,0
1,83691,192,192,1,83233,5,1
1,33312,76,76,1,32212,5,1
1,1050263,154,154,1,1049748,5,0
1,358301,168,168,1,355485,5,0
1,23148,135,135,1,20869,5,1
1,1686,2,2,1,1,5,1
1,1381,98,98,1,2,5,0
0,1130987,142,142,0,1130442,1,0
1,33975,34,34,1,32362,5,1
1,47107,231,231,1,46339,5,1
1,25397,147,147,1,23602,5,1
1,2035,125,125,1,1445,5,0
1,254233,176,176,1,251879,5,1
1,6051,105,105,1,3256,5,0
1,270124,225,225,1,267929,5,0
1,3364,166,166,1,1112,5,0
1,8105,56,56,1,5802,5,1
1,27721,87,87,1,25157,5,0
1,88109,216,216,1,87465,5,0
1,794,8,8,1,3,5,0
1,36817,145,145,1,35931,5,1
0,2248,20,20,0,1520,1,1
1,903359,156,156,1,902475,5,0
1,513917,236,236,1,513297,5,0
1,24472,184,184,1,23342,5,1
1,46075,232,232,1,44094,5,1
1,4117,224,224,1,1346,5,1
1,1991,174,174,1,321,5,1
1,6985,78,78,1,4031,5,1
1,281858,149,149,1,279111,5,0
0,581031,237,237,0,580762,2,0
1,783875,65,65,1,783721,5,0
1,228,17,17,1,1,5,0
1,8634,57,57,1,6310,5,0
1,28634,137,137,1,28311,5,1
1,392192,100,100,1,389835,5,0
1,1874,54,54,1,3,5,1
0,17833,30,30,0,17345,1,1
1,609376,203,203,1,606950,5,0
1,2735,213,213,1,1362,5,1
1,1444050,22,22,1,1442287,5,0
1,922,9,9,1,412,5,0
1,481120,103,103,1,478592,5,0
1,215,5,5,1,3,5,0
1,2208,139,139,1,1,5,1
1,15743,202,202,1,15195,5,1
1,4959,95,95,1,2632,5,0
1,7580,83,83,1,6150,5,1
1,317768,188,188,1,315381,5,0
1,781276,163,163,1,779186,5,0
1,46181,179,179,1,45609,5,1
1,703894,109,109,1,701207,5,0
0,2011553,3,3,0,2010699,3,0
1,563,43,43,1,3,5,1
0,1066,0,0,0,947,1,1
1,617,52,52,1,1,5,0
1,498493,235,235,1,497942,5,0
1,6017,218,218,1,3066,5,0
1,4965,122,122,1,2173,5,1
1,585603,185,185,1,583600,5,0
0,805,62,62,0,2,1,0
1,89160,178,178,1,86623,5,1
1,88412,91,91,1,86619,5,1
1,101201,25,25,1,100433,5,1
1,5632,13,13,1,4214,5,0
1,1161359,89,89,1,1159086,5,0
1,929,16,16,1,492,5,0
1,10351,173,173,1,7736,5,1
1,1338938,189,189,1,1337487,5,0
1,699100,68,68,1,696140,5,0
1,16367,31,31,1,13620,5,1
1,1153652,143,143,1,1152030,5,0
1,32383,198,198,1,29822,5,0
1,69602,79,79,1,68706,5,1
1,71222,124,124,1,69540,5,1
1,18217,114,114,1,15659,5,0
1,57820,33,33,1,56951,5,0
1,73875,207,207,1,71692,5,1
1,5666,165,165,1,3972,5,0
1,33980,160,160,1,31590,5,1
1,578251,159,159,1,576644,5,0
1,475584,92,92,1,473026,5,0
1,583,155,155,1,2,5,0
1,3829,29,29,1,839,5,1
1,56560,220,220,1,55610,5,1
1,453362,127,127,1,452610,5,0
1,11981,99,99,1,9216,5,0
1,915785,187,187,1,913926,5,0
1,772241,46,46,1,769332,5,0
0,1231,12,12,0,899,1,1
1,1575,18,18,1,712,5,1
1,74451,228,228,1,72187,5,1
1,17714,48,48,1,16719,5,1
1,45115,199,199,1,42281,5,0
1,7904,93,93,1,5580,5,1
1,147,10,10,1,1,5,0
1,521339,130,130,1,518895,5,0
1,612431,128,128,1,611934,5,0
1,750468,63,63,1,747616,5,0
1,24991,110,110,1,22313,5,0
1,10537,197,197,1,8039,5,1
1,4197,144,144,1,3526,5,1
1,6226,11,11,1,4295,5,0
1,1020701,158,158,1,1018377,5,0
1,63967,206,206,1,63425,5,1
1,2783,38,38,1,909,5,1
1,1852084,64,64,1,1850486,5,0
1,382722,96,96,1,380155,5,0
1,2706,84,84,1,1,5,1
1,8632,69,69,1,7892,5,0
1,521580,39,39,1,519241,5,0
1,814312,217,217,1,811961,5,0
1,34273,7,7,1,33176,5,1
1,58454,108,108,1,55821,5,1
1,504842,70,70,1,502038,5,0
1,26773,106,106,1,26201,5,1
1,856711,126,126,1,855554,5,0
1,112160,81,81,1,109194,5,0
