Profession,Profile_Image,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Instagram_Username,Commons_Category,Pro_Cycling_Stats_Cyclist_Id,Twitter_Username,Birth_Place,Uci_Rider_Id,Weight_Kg,Birth_Date,Sports_Team,Last_Name,First_Name,Citizenship_Country,Cycling_Archives_Cyclist_Id,Languages_Spoken,First_Cycling_Rider_Id,Height_Cm,Sport_Country
1,3,20237.0,6686.0,2,1,137172.0,4,3,57762.0,70.0,0,5,9,1,0,35734.0,0,1867.0,182.0,0
0,6,,,0,6,197975.0,2,5,152927.0,,6,12,4,12,1,,2,,,5
0,6,,,0,6,261467.0,2,7,304474.0,,11,1,9,9,5,,2,,,5
0,6,,,0,6,273035.0,2,5,,,13,10,11,8,4,,2,,,5
0,8,71935.0,28298.0,1,0,192457.0,2,1,98774.0,66.0,8,13,3,0,5,114071.0,1,45987.0,176.0,3
0,9,3083.0,3366.0,0,8,140270.0,3,4,30329.0,63.0,1,3,2,11,0,15181.0,0,568.0,175.0,5
0,0,58206.0,20196.0,0,2,161575.0,2,2,77425.0,63.0,3,0,6,2,5,73120.0,1,20466.0,172.0,3
0,6,,,0,6,195695.0,2,5,148600.0,,7,8,9,9,8,,2,,,5
0,4,51602.0,20770.0,4,4,138672.0,5,8,86539.0,60.0,4,9,1,4,6,81864.0,2,18564.0,178.0,4
0,1,,29513.0,0,5,209666.0,2,10,234791.0,,10,2,7,5,7,138956.0,3,78950.0,175.0,6
0,6,,19608.0,0,6,132338.0,2,5,79740.0,,2,7,10,6,8,72627.0,2,9206.0,,5
0,7,83295.0,28377.0,6,7,212377.0,1,0,587366.0,62.0,9,11,5,10,1,141854.0,2,84019.0,171.0,1
0,5,104375.0,,5,6,273882.0,2,6,,,12,6,8,7,2,185469.0,2,181011.0,,5
0,2,65688.0,24926.0,3,3,198937.0,0,9,95844.0,60.0,5,4,0,3,3,100412.0,4,58275.0,175.0,2
