Viaf_Id,Gnd_Id,Freebase_Id,Library_Of_Congress_Authority_Id,Commons_Category,World_Cat_Identities_Id_Superseded,Social_Media_Followers,Main_Category,Id_Ref_Id,National_Library_Of_Israel_J9u_Id,Nl_Cr_Aut_Id,Quora_Topic_Id
134281470.0,45,68,144,0,132,5251.0,0,31506348.0,9.870073408184051e+17,13,0
142523323.0,41,86,15,63,17,,50,,9.870074567575052e+17,0,47
145844349.0,16,103,24,96,26,32337.0,104,28101138.0,9.870072690968051e+17,52,91
156563841.0,92,119,47,78,0,,60,28210972.0,9.870073001226052e+17,39,55
243856473.0,55,58,0,5,139,,129,,,0,3
137430799.0,22,115,76,58,71,6010.0,46,180690493.0,9.870072662015052e+17,28,112
145023311.0,37,66,13,40,15,54900.0,58,27918459.0,9.870075839249052e+17,62,30
141240524.0,117,24,48,110,45,1258349.0,95,,9.870074059973052e+17,0,68
147726875.0,3,47,132,135,121,15624.0,129,,,0,43
150022947.0,6,27,54,142,50,17322.0,122,26432838.0,9.870076043577052e+17,50,108
136078439.0,70,95,28,118,30,2453.0,105,27891623.0,9.870072694815052e+17,76,92
140714422.0,117,84,53,16,49,2737.0,15,138508518.0,,0,12
130740537.0,117,13,31,144,33,46851.0,124,134361148.0,9.870072698828051e+17,26,109
133612333.0,24,33,37,19,37,91929.0,18,26583267.0,9.870072602806052e+17,78,16
164513884.0,117,53,1,50,1,,41,130711551.0,,79,43
137080884.0,66,40,63,42,59,5059.0,87,148421784.0,9.870072634976051e+17,42,78
138323566.0,96,32,82,83,77,,66,,9.870073010915052e+17,31,60
127559410.0,117,137,90,92,84,57899.0,74,,9.870073155214052e+17,75,43
132501376.0,114,89,16,97,18,,75,,9.870072633376051e+17,0,69
145023311.0,37,66,13,40,15,54900.0,58,27918459.0,9.870075839249052e+17,62,30
159033739.0,61,93,128,134,9,,14,26583836.0,9.870074148476051e+17,86,11
135593396.0,107,39,113,133,80,5000.0,92,26431025.0,9.870072693789052e+17,90,43
133411557.0,63,88,45,132,43,27061.0,91,29966477.0,9.870072693799052e+17,4,82
128922850.0,35,112,74,37,69,,30,26453797.0,9.870072627986052e+17,95,27
155567035.0,17,57,22,124,24,20802.0,111,28041224.0,9.870072689946052e+17,94,98
148943624.0,27,71,143,130,131,,118,71341609.0,9.870112574995052e+17,99,104
181230204.0,31,36,0,9,106,,129,,,0,6
136173993.0,86,12,105,122,97,8241.0,109,33936056.0,9.870072688459052e+17,37,96
122028935.0,0,136,141,139,129,1167.0,114,,9.870072975183052e+17,57,101
137201631.0,75,105,55,86,51,4715.0,69,30180988.0,9.870072690251052e+17,65,62
134409977.0,7,104,20,140,22,21899.0,120,26431661.0,9.870072694505052e+17,9,106
127404613.0,67,22,32,131,34,5514.0,89,26458543.0,9.870072694730052e+17,3,80
133611292.0,116,61,41,49,0,,40,28162722.0,9.870072828242052e+17,0,43
131237411.0,102,25,84,143,78,14100.0,123,33565066.0,9.870072698877052e+17,29,43
132258348.0,91,45,133,141,122,4011.0,121,27294560.0,9.870072696657052e+17,56,107
143949988.0,5,21,33,106,0,28100.0,86,,9.870074592587052e+17,33,77
153037232.0,44,130,67,98,63,,76,28968832.0,9.870112575218052e+17,0,43
140902903.0,105,42,112,81,104,,63,,9.870073144164051e+17,0,43
132225788.0,113,63,79,146,74,,126,76004457.0,9.870072701642052e+17,0,43
128638237.0,81,4,7,45,7,142739.0,36,28090624.0,9.870072639313052e+17,64,34
128638237.0,81,4,7,45,7,142739.0,36,28090624.0,9.870072639313052e+17,64,34
149131869.0,72,110,25,145,27,361000.0,125,73277886.0,9.870072701842052e+17,92,110
156242131.0,94,94,137,79,125,,61,29152798.0,9.870073022865052e+17,40,43
141943129.0,103,72,147,17,0,3332.0,16,110347196.0,9.870073400554052e+17,89,13
140720861.0,10,16,73,38,108,222832.0,31,,9.870075281002052e+17,96,28
248753693.0,34,43,95,71,89,,54,196722233.0,,0,35
132071179.0,117,78,109,59,100,,129,101563108.0,9.870073204606052e+17,0,43
129553616.0,83,98,21,82,23,6690.0,64,34281290.0,9.870075117609052e+17,21,58
284976748.0,23,1,43,54,41,3426435.0,44,27627063.0,9.870074406488051e+17,61,43
9.89114929617978e+21,117,152,117,64,0,,129,,9.870074014998052e+17,0,43
284976748.0,23,1,43,54,41,3426435.0,44,27627063.0,9.870074406488051e+17,61,43
155908975.0,117,126,12,59,14,19067.0,129,,9.870074017000051e+17,27,43
140454679.0,101,124,125,59,115,,129,,,0,43
313138723.0,47,49,78,113,0,1903.0,98,26430398.0,9.870075765020051e+17,74,88
151304574.0,42,69,34,108,35,29494.0,93,27927512.0,9.870075808069052e+17,18,83
122555271.0,76,34,51,6,48,273979.0,5,27788350.0,9.870073658138052e+17,82,4
311473249.0,117,81,126,35,116,65400.0,28,,9.870075878217052e+17,38,25
138323566.0,96,32,82,83,77,,66,,9.870073010915052e+17,31,60
131602626.0,117,101,122,7,0,,6,,,0,43
145844349.0,16,103,24,96,26,32337.0,104,28101138.0,9.870072690968051e+17,52,91
131698021.0,117,141,121,93,111,21875.0,129,,,0,67
261059942.0,8,0,36,85,0,81300.0,68,33602573.0,9.870075263818052e+17,70,63
235679765.0,100,152,0,28,138,,25,,,0,24
157729247.0,2,85,42,62,40,6130.0,49,28891597.0,9.870072661666052e+17,88,45
129103035.0,88,50,100,111,118,8056.0,96,34251022.0,9.870076043611052e+17,25,86
155567035.0,17,57,22,124,24,20802.0,111,28041224.0,9.870072689946052e+17,94,98
146041997.0,28,152,87,26,82,,129,95816364.0,9.870075754149052e+17,0,43
157738780.0,33,46,80,30,75,4466.0,26,172331781.0,9.870072614049052e+17,0,21
145898321.0,90,111,89,10,96,1064.0,8,26431149.0,9.870072980861052e+17,60,7
126752257.0,30,20,88,89,83,26460.0,71,122268415.0,9.870072691745052e+17,0,65
136008754.0,14,10,5,55,5,,45,29586968.0,9.870076052871052e+17,22,41
157813765.0,80,54,86,148,81,5000.0,128,26375249.0,9.870073260129052e+17,0,39
129103035.0,88,50,100,111,118,8056.0,96,34251022.0,9.870076043611052e+17,25,86
248312936.0,108,6,0,39,140,,32,,,0,29
134355515.0,117,152,97,59,90,,129,,9.870074381641052e+17,0,43
137865316.0,12,64,50,100,47,2468.0,79,29004799.0,9.870072694614052e+17,59,71
159447334.0,117,60,64,14,60,,12,,9.870074619542052e+17,0,43
150587139.0,117,19,83,126,0,11657.0,113,,9.870076018581052e+17,68,100
133382129.0,117,152,145,59,133,,129,146527593.0,,12,43
313138723.0,47,49,78,113,0,1903.0,98,26430398.0,9.870075765020051e+17,74,88
127404613.0,67,22,32,131,34,5514.0,89,26458543.0,9.870072694730052e+17,3,80
4.271456764009052e+20,26,150,30,47,32,9540.0,38,27370208.0,9.870072669925052e+17,43,37
284976748.0,23,1,43,54,41,3426435.0,44,27627063.0,9.870074406488051e+17,61,43
129103035.0,88,50,100,111,118,8056.0,96,34251022.0,9.870076043611052e+17,25,86
125487104.0,77,48,61,70,57,30477.0,53,,9.870072669124051e+17,100,50
155886025.0,40,15,26,101,28,27744.0,81,26430479.0,9.870072694849052e+17,17,73
150382964.0,117,74,131,59,120,,129,,,0,56
150695858.0,115,102,85,103,79,5720.0,17,150194080.0,9.870075856587052e+17,0,14
169604735.0,117,59,98,59,91,63939.0,33,,9.870073501995052e+17,0,43
156242131.0,94,94,137,79,125,,61,29152798.0,9.870073022865052e+17,40,43
155908975.0,117,126,12,59,14,19067.0,129,,9.870074017000051e+17,27,43
128035475.0,39,142,11,127,13,14300.0,115,30684595.0,9.870072694878052e+17,58,102
6.814766285956055e+19,117,152,127,59,117,3886.0,129,,,0,43
154703624.0,46,2,93,87,87,,129,,9.870072694889052e+17,80,43
148091513.0,117,129,119,99,109,,78,,,0,70
140454679.0,101,124,125,59,115,,129,,,0,43
132258348.0,91,45,133,141,122,4011.0,121,27294560.0,9.870072696657052e+17,56,107
158592004.0,117,7,140,59,128,,129,,9.870074542399052e+17,69,43
137201631.0,75,105,55,86,51,4715.0,69,30180988.0,9.870072690251052e+17,65,62
124447220.0,57,35,103,21,94,,19,112746004.0,9.870074040386052e+17,24,17
134355515.0,117,152,97,59,90,,129,,9.870074381641052e+17,0,43
153872312.0,117,82,115,59,0,,129,,,0,31
137991167.0,79,106,23,121,25,16459.0,108,,9.870072691913052e+17,54,95
164159683.0,29,133,0,66,136,,129,,,0,43
313138723.0,47,49,78,113,0,1903.0,98,26430398.0,9.870075765020051e+17,74,88
122555271.0,76,34,51,6,48,273979.0,5,27788350.0,9.870073658138052e+17,82,4
133396889.0,117,107,35,90,36,130998.0,72,32222998.0,9.870072691371052e+17,16,43
131984911.0,36,55,10,46,12,62278.0,37,,9.870112573840051e+17,0,36
157362130.0,68,120,46,107,44,132601.0,88,,9.870072692115052e+17,11,79
164513884.0,117,53,1,50,1,,41,130711551.0,,79,43
124469989.0,117,152,106,59,98,,129,,9.870074035606052e+17,0,43
135762705.0,117,152,0,41,102,,129,,,0,43
148171951.0,15,113,123,22,112,,20,,,30,18
133411557.0,63,88,45,132,43,27061.0,91,29966477.0,9.870072693799052e+17,4,82
159033739.0,61,93,128,134,9,,14,26583836.0,9.870074148476051e+17,86,11
159033739.0,61,93,128,134,9,,14,26583836.0,9.870074148476051e+17,86,11
144196611.0,112,92,66,4,62,,4,186295138.0,9.870072632340051e+17,0,2
149568785.0,93,17,0,147,10,22301.0,127,26374943.0,9.870076037566052e+17,0,111
311352877.0,117,152,0,31,142,,129,,,0,43
150404666.0,97,138,138,43,126,,34,,9.870073302603052e+17,14,32
122152455.0,13,114,8,117,8,,103,29717523.0,9.870072997127052e+17,48,90
157518001.0,117,144,124,67,113,,129,,,0,43
156242131.0,94,94,137,79,125,,61,29152798.0,9.870073022865052e+17,40,43
158301808.0,64,23,38,136,0,17600.0,119,28035747.0,9.870073192662052e+17,93,105
150382964.0,117,74,131,59,120,,129,,,0,56
134409977.0,7,104,20,140,22,21899.0,120,26431661.0,9.870072694505052e+17,9,106
125327305.0,11,51,44,123,42,17292.0,110,,9.870075991134052e+17,71,97
149011192.0,106,11,99,33,0,,129,,,0,22
154205442.0,52,9,70,32,66,19836.0,90,26581698.0,9.870072694725052e+17,47,81
