ViafId,GndId,LibraryOfCongressAuthorityId
42170021.0,33,29
52499070.0,20,6
36997562.0,18,1
10080169.0,35,22
100896749.0,2,24
76319000.0,11,10
17636.0,15,11
15920105.0,26,26
261536411.0,32,23
203431504.0,31,4
209612970.0,3,0
1.9114609436260037e+20,35,0
68945166.0,14,9
86496671.0,35,2
79194350.0,27,25
10164443.0,8,16
12322472.0,21,15
96192363.0,16,21
103595097.0,1,31
90640988.0,29,30
7154077.0,28,27
6.814711812842634e+19,7,32
14818660.0,22,8
33008467.0,35,33
4.031511726895392e+20,9,0
36922880.0,12,7
233282161.0,35,0
100184045.0,13,5
1.5153593818451671e+19,35,0
90362670.0,5,3
267459200.0,24,28
44384726.0,4,12
12254448.0,30,34
29560744.0,17,17
187235315.0,0,0
2989931.0,35,13
311325494.0,25,0
164841341.0,35,35
8520.0,10,14
93340709.0,19,19
76325040.0,23,20
16068511.0,6,18
122143855.0,34,0
315543509.0,35,0
