Gene_Subclass,Gene_Type,Genomic_Start_Position,Strand_Orientation,Gene_Label,Encoded_Protein,Gene_Db_Id,Orthologous_Gene,Chromosome_Location,Genomic_End_Position
1,1,24,0,50,9,51,10,40,1474
1,1,106153,0,138,9,139,57,11,107750
0,0,4728247,1,69,8,70,23,15,4728447
0,0,671973,1,115,7,116,11,14,673514
1,1,111766,0,158,9,159,13,12,113223
1,1,2961642,0,152,9,153,13,12,2963001
0,0,96665,1,60,11,61,23,15,98113
0,0,233464,1,103,7,104,5,14,234927
0,0,1527,1,33,7,33,3,30,3074
1,1,106202,1,3,9,3,48,17,106612
1,1,183067,1,16,9,16,50,19,184616
1,1,36916,0,135,9,136,46,11,38437
0,0,1672390,1,127,0,128,43,8,1673892
1,1,20999,1,1,9,1,57,17,22525
1,1,4096637,0,85,9,86,19,13,4097911
1,1,12274,0,44,10,45,1,35,13747
1,1,4695357,0,90,4,91,37,16,4696555
1,1,40324,1,41,9,42,0,33,41821
1,1,3127,1,24,9,24,30,24,4496
1,1,1175359,1,117,9,118,20,5,1176353
1,1,9201,1,21,9,21,18,21,10546
1,1,222215,0,161,9,162,41,12,222454
0,0,1337821,0,61,8,62,56,15,1338858
0,0,139203,0,160,7,161,36,12,140801
0,0,3299619,0,66,7,67,23,15,3300734
1,1,41978,0,99,13,100,21,14,43444
0,0,4810350,1,73,7,74,23,15,4811681
1,1,1189121,1,119,9,120,53,5,1190683
1,1,394,1,48,9,49,55,39,1134
1,1,2750562,0,64,7,65,25,15,2751752
0,0,4591225,0,86,7,87,51,16,4592637
1,1,156706,1,101,9,102,21,14,158094
1,1,133507,0,14,9,14,50,19,135030
0,0,4789134,1,72,8,73,56,15,4790735
1,1,32568,0,98,11,99,21,14,34085
1,1,3087307,1,156,9,157,13,12,3088628
0,0,24893,1,56,11,57,56,15,26455
1,1,9589,1,55,6,56,25,15,10376
1,1,2556965,1,141,9,142,41,12,2557165
1,1,2990299,1,154,9,155,41,12,2991723
0,0,95058,0,120,7,121,32,6,96632
1,1,1582390,1,121,9,122,33,7,1583995
0,0,4916846,1,76,8,77,56,15,4918348
1,1,4070196,0,84,9,85,23,13,4070879
1,1,4768519,0,91,3,92,37,16,4769841
1,1,1553302,1,131,9,132,7,9,1554901
1,1,85747,1,59,11,60,15,15,87159
0,0,4108888,0,67,7,68,23,15,4109268
1,1,2842087,1,150,9,151,13,12,2842847
0,0,26588,0,38,7,39,36,32,28198
0,0,592108,1,112,7,113,5,14,593688
1,1,130001,0,13,9,13,11,19,131645
1,1,11830,0,46,9,47,17,37,13271
0,0,2161053,0,63,7,64,23,15,2161844
0,0,136702,0,159,8,160,36,12,138222
1,1,31464,0,49,9,50,55,39,32771
1,1,4551,0,12,9,12,50,19,6149
0,0,1782018,0,128,0,129,4,8,1783574
0,0,46340,1,57,11,58,38,15,47692
1,1,11360,1,45,9,46,18,36,12451
0,0,1628255,1,125,7,126,4,8,1629760
0,0,1798304,1,62,0,63,56,15,1799779
1,1,2774642,1,145,9,146,41,12,2775177
1,1,4866255,1,94,1,95,37,16,4866989
1,1,146312,1,15,9,15,50,19,147872
1,1,4813653,1,93,2,94,37,16,4815043
0,0,125412,0,139,8,140,12,11,126989
0,0,29741,1,39,8,40,52,33,31216
1,1,3083824,1,155,9,156,41,12,3085393
1,1,15187,1,36,9,36,47,31,16779
1,1,4080,1,20,9,20,18,21,4912
0,0,38597,1,7,7,7,34,0,40024
1,1,20639,0,31,10,31,23,28,21634
1,1,116413,1,4,9,4,48,17,117932
1,1,23117,0,8,9,8,29,1,24394
1,1,333937,1,107,9,108,21,14,335414
0,0,9100,1,51,7,52,54,41,10563
0,0,4876315,1,75,8,76,23,15,4877715
1,1,4683882,1,89,1,90,37,16,4685459
0,0,74915,1,58,11,59,23,15,76678
0,0,4781585,1,71,8,72,56,15,4782124
1,1,2809842,1,149,9,150,24,12,2810144
1,1,242828,1,105,9,106,21,14,244383
1,1,137305,1,6,9,6,48,17,138167
1,1,187760,0,102,9,103,21,14,189308
1,1,10562,0,10,9,10,40,18,11536
0,0,681272,1,116,8,117,5,14,682801
0,0,615417,1,113,7,114,11,14,616961
1,1,55260,1,2,9,2,57,17,56811
1,1,4874521,1,96,5,97,37,16,4875012
1,1,1564291,1,123,9,124,8,8,1565816
0,0,4776225,1,70,8,71,56,15,4776857
1,1,1291,1,19,9,19,24,21,2436
0,0,4966602,1,77,7,78,23,15,4967327
1,1,33178,0,157,9,158,41,12,34744
1,1,14452,1,30,10,30,56,27,15756
0,0,4872705,1,74,7,75,23,15,4874210
1,1,4625572,0,87,3,88,44,16,4626801
0,0,1577859,1,124,8,125,43,8,1579460
1,1,2789186,1,146,9,147,13,12,2790703
0,0,4802227,1,92,8,93,51,16,4803585
1,1,580638,1,111,9,112,1,14,582162
1,1,4160,1,34,9,34,47,31,5571
1,1,7986,1,25,9,25,42,25,8894
