SportType,StageLabel,StageDistanceKm,EditionNumber,StartLocation,StageType,StageWinner,RaceEvent,NextStage,StageDate,PreviousStage,GeneralClassificationLeader,StageDescription,EndLocation
1,72,270.8,108.0,3,23,28,43,71,69,63,21,14,39
1,18,45.7,3.0,25,8,51,14,21,16,13,39,8,20
1,25,714.9,63.0,5,15,50,20,29,70,20,41,4,47
1,43,177.25,16.0,1,6,38,27,43,42,36,29,14,12
1,10,203.4,72.0,46,5,53,8,15,8,9,41,6,58
1,22,177.0,,26,28,23,16,19,27,23,14,18,15
1,56,157.0,,37,28,41,31,50,52,55,40,8,55
1,5,201.1,,32,28,2,1,5,5,6,23,8,26
1,60,175.7,,40,31,12,35,52,59,58,8,8,28
1,2,231.0,109.0,14,18,29,2,6,6,2,22,1,54
1,67,171.2,,0,28,32,36,57,64,61,36,8,19
1,44,257.7,118.0,16,17,15,28,44,45,40,33,14,44
1,19,1.6,,44,32,3,11,16,20,68,1,19,42
1,71,170.9,,15,31,37,41,60,56,65,32,8,8
1,7,860.0,62.0,18,9,4,4,8,70,4,2,14,13
1,42,241.0,104.0,3,23,28,25,40,39,33,21,14,39
1,36,673.1,64.0,61,15,18,24,38,70,27,12,5,49
1,29,8.9,,36,29,13,18,23,22,68,9,8,33
1,13,203.4,,42,31,53,9,12,12,14,41,9,22
1,69,271.1,90.0,20,27,28,38,68,61,57,21,14,20
1,28,257.0,117.0,16,17,36,21,32,25,21,28,0,44
1,6,6.85,,10,33,30,1,3,3,68,23,8,6
1,26,7.4,,5,29,43,17,22,29,28,34,19,2
1,51,257.2,119.0,16,17,9,34,55,46,45,7,14,44
1,79,192.7,1.0,41,12,34,12,71,19,68,25,8,62
1,75,154.2,,34,31,10,6,70,10,67,34,7,31
1,63,177.0,18.0,1,6,38,37,65,58,50,29,14,12
1,16,182.2,,45,28,17,10,14,18,16,20,17,48
1,53,202.2,,47,31,12,31,47,49,52,40,8,37
1,41,188.6,44.0,13,3,53,25,34,40,30,41,15,11
1,9,40.0,23.0,39,26,49,5,10,7,8,38,14,52
1,15,12.7,,56,29,43,10,13,17,15,34,17,56
1,3,253.5,113.0,16,17,21,3,7,2,3,15,14,44
1,74,9.0,,57,29,43,6,69,9,66,34,13,57
1,30,159.6,,35,30,25,19,24,26,31,17,20,32
1,4,178.5,,38,31,48,1,4,4,7,23,8,28
1,49,2.7,,58,32,13,30,0,53,68,9,12,59
1,8,764.8,86.0,7,22,7,4,9,70,5,5,16,53
1,47,254.3,105.0,3,23,23,28,51,41,41,17,14,39
1,24,201.1,71.0,33,14,3,20,28,23,19,1,14,29
1,65,,18.0,9,0,46,39,67,70,43,36,14,4
1,38,181.3,,4,28,27,23,31,33,38,12,19,63
1,73,150.0,21.0,43,24,16,42,71,68,64,11,14,40
1,37,7.1,,61,28,18,23,30,32,37,12,19,64
1,35,238.0,82.0,60,10,26,25,37,38,25,19,14,60
1,45,197.7,10.0,11,19,14,27,45,44,26,10,14,23
1,27,142.1,,30,28,11,17,71,30,29,41,19,47
1,46,,90.0,7,22,39,27,41,70,32,30,14,3
1,34,8.14,,45,29,44,22,27,37,35,19,8,43
1,61,172.6,,19,28,28,35,53,60,59,21,8,14
1,57,34.2,29.0,59,26,47,33,59,55,46,37,14,61
1,23,160.0,,21,30,42,16,71,28,24,14,18,17
1,77,191.4,,51,31,35,26,71,43,68,27,8,46
1,40,200.0,75.0,24,16,20,25,39,31,69,14,14,36
1,66,13.6,,50,29,22,36,56,63,60,16,8,50
1,39,171.7,,53,28,40,23,71,34,39,12,19,49
1,48,169.9,,40,31,26,29,42,47,68,19,8,34
1,78,182.8,74.0,46,5,28,21,36,24,18,21,15,58
1,59,,92.0,49,22,28,37,62,70,48,21,14,9
1,32,132.1,,9,31,19,22,25,35,68,13,8,1
1,54,182.0,,55,31,8,31,48,50,53,40,8,51
1,64,29.5,8.0,22,8,22,40,66,66,51,16,8,16
1,21,703.0,34.0,28,4,20,20,35,70,17,14,3,17
1,14,197.4,31.0,8,1,6,12,18,21,11,4,8,5
1,0,205.0,52.0,31,20,24,0,1,0,0,18,8,27
1,52,13.2,,17,29,53,31,46,48,68,41,8,10
1,17,206.5,61.0,29,7,33,13,20,15,12,26,14,25
0,1,197.5,7.0,52,21,45,0,2,1,1,35,8,21
1,20,192.6,,2,31,8,15,17,14,68,6,11,30
1,58,204.0,26.0,27,13,26,39,61,62,47,19,14,24
1,62,190.6,82.0,54,2,1,37,63,67,56,0,14,35
1,50,197.6,89.0,23,11,5,32,54,54,44,3,14,18
1,76,211.0,47.0,13,3,19,39,64,57,49,13,14,11
1,70,1143.0,39.0,48,25,31,37,71,70,42,24,14,45
1,11,234.5,111.0,12,18,29,7,72,13,10,22,2,54
1,33,157.0,,0,31,26,22,26,36,34,19,8,0
1,55,171.5,,18,28,52,31,49,51,54,40,8,7
1,12,13.7,,42,34,0,9,11,11,68,31,10,38
1,68,179.4,,6,31,46,36,58,65,62,36,8,41
1,31,689.2,16.0,9,0,28,25,33,70,22,21,14,19
